Gene symbol	Fold change	Gene title	Function
PPARG	210.7	PPA receptor, gamma	Receptors
ESR1	26	Estrogen receptor 1	Receptors
LPHN3	24.6	Alpha-latrotoxin receptor 3	Receptors
AR	24.6	Androgen receptor	Receptors
PDGFRL	24.4	PDGF receptor-like	Receptors
EDG2	23.6	Lysophosphatidic acid G-protein-coupled receptor	Receptors
IL1R2	23.4	Interleukin 1 receptor, type II	Receptors
LOC440684 /// LOC	23.4	Dopamine D1/D5 receptor	Receptors
TGFBR3	23.2	TGF beta receptor III	Receptors
EDNRA	23.1	Endothelin receptor type A	Receptors
MRGPRF	22.7	MAS-related G protein-coupled receptor, member F	Receptors
FZD4	22.7	Frizzled homolog 4	Receptors
SCARB1	22.7	Scavenger receptor class B, member 1	Receptors
NR2F2	22.7	Nuclear receptor subfamily 2, group F, member 2	Receptors
GHR	22.6	Growth hormone receptor	Receptors
FGFR1	22.6	FGF receptor 1	Receptors
GPR143	22.6	G protein-coupled receptor 143	Receptors
FY	22.5	Duffy blood group, chemokine receptor	Receptors
DDR2	22.5	Discoidin domain receptor family, member 2	Receptors
FZD7	22.4	Frizzled homolog 7	Receptors
GPR124	22.4	G protein-coupled receptor 124	Receptors
NR3C2	22.3	Nuclear receptor subfamily 3, group C, member 2	Receptors
AXL	22.3	AXL receptor tyrosine kinase	Receptors
PTPRM	22.2	Protein tyrosine phosphatase, receptor type, M	Receptors
EDNRB	22.2	Endothelin receptor type B	Receptors
KIT	22	Steel Factor Receptor	Receptors
PGRMC2	22	Progesterone receptor membrane component 2	Receptors
CXADR	2.3	Coxsackie virus and adenovirus receptor	Receptors
PAQR4	2.5	Progestin and adipoQ receptor family member IV	Receptors
FZD6	3	Frizzled homolog 6	Receptors
NETO2	4.8	neuropilin (receptor for VEGF165)-like 2	Receptors
EDN3	212.1	Endothelin 3	Ligands
APOE	28.1	Apolipoprotein E	Ligands
SLIT2	24.1	Slit homolog 2 (Drosophila)	Ligands
IGF1	24	Insulin-like growth factor 1 (somatomedin C)	Ligands
CCL14/15	23.8	Chemokine (C-C motif) ligand 14/15	Ligands
DKK3	23.2	Dickkopf bomolog 3 (Xenopus laevis)	Ligands
PTN	22.8	Pleiotrophin (heparin binding growth factor 8)	Ligands
EFNB2	22.5	Ephrin-B2	Ligands
GAS6	22.1	Growth arrest-specific 6	Ligands
CORT	3.5	Cortistatin	Ligands
NUDT1	2	Nudix-type motif 1	DNA repair
RAD21	2	RAD21 homolog	DNA repair
MBD4	2.1	Methyl-CpG binding domain protein 4	DNA repair
KUB3	2.1	Ku70-binding protein 3	DNA repair
BRCA2	2.1	Breast cancer 2, early onset	DNA repair
RAD54B	2.1	RAD54 homolog B	DNA repair
RAD54L	2.2	RAD54-like	DNA repair
DCLRE1B	2.2	DNA cross-link repair 1B	DNA repair
BLM	2.2	Bloom syndrome	DNA repair
EXO1	2.4	Exonuclease 1	DNA repair
PRKDC	2.5	Protein kinase, DNA-activated, catalytic polypeptide	DNA repair
CHEK1	2.5	CHK1 checkpoint homolog	DNA repair
FANCL	2.6	Fanconi anemia, complementation group L	DNA repair
ORCIL ORC6L	2.0 2.1	Origin recognition complex, subunit 1 Origin recognition complex, subunit 6	Pre-replicative complex
MCM3	2.5	Minichromosome maintenance deficient 3	Pre-replicative complex
