Gene Name	Gene description	Assay
18S	eukaryotic 18S ribosomal RNA	Hs99999901_s1
ADM	adrenomedullin	Hs00181605_m1
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	Hs00608066_m1
BATF	basic leucine zipper transcription factor, ATF-like	Hs00232390_m1
BCL2L1	BCL2-like 1	Hs00236329_m1
C13orf18	chromosome 13 open reading frame 18	Hs00228336_m1
CCND1	cyclin D1	Hs00277039_m1
CD14	CD14 molecule	Hs00169122_g1
CD44	CD44 molecule (Indian blood group)	Hs00153304_m1
CD9	CD9 molecule	Hs00233521_m1
CHSY1	carbohydrate (chondroitin) synthase 1	Hs00208704_m1
CISH	cytokine inducible SH2-containing protein	Hs00367082_g1
CRX	cone-rod homeobox	Hs00230899_m1
EMILIN2	elastin microfibril interfacer 2	Hs00230757_m1
F2R	coagulation factor II (thrombin) receptor	Hs00169258_m1
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Hs99999905_m1
GUSB	glucuronidase, beta	Hs99999908_m1
HBG1;HBG2	hemoglobin, gamma A;hemoglobin, gamma G	Hs00361131_g1
HBLD2	HESB like domain containing 2	Hs00832784_sH
HCP1	heme carrier protein 1	Hs00611081_m1
HEMGN	hemogen	Hs00218346_m1
HMOX1	heme oxygenase (decycling) 1	Hs00157965_m1
HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	Hs99999909_m1
HRH4	histamine receptor H4	Hs00222094_m1
IL3RA	interleukin 3 receptor, alpha (low affinity)	Hs00174356_m1
LDHA	lactate dehydrogenase A	Hs00855332_g1
LTBP1	latent transforming growth factor beta binding protein 1	Hs00386448_m1
MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	Hs00269119_m1
MYOM2	myomesin (M-protein) 2, 165kDa	Hs00187676_m1
NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	Hs00221478_m1
NEBL	nebulette	Hs00255521_m1
NQO2	NAD(P)H dehydrogenase, quinone 2	Hs00168552_m1
OPLAH	5-oxoprolinase (ATP-hydrolysing)	Hs00417215_m1
P2RX5	purinergic receptor P2X, ligand-gated ion channel, 5	Hs00531938_m1
PIM1	pim-1 oncogene	Hs00171473_m1
PLB1	phospholipase B1	Hs00290809_m1
PLEK2	pleckstrin 2	Hs00212774_m1
PWP1	PWP1 homolog (S. cerevisiae)	Hs00199991_m1
SLAMF1	signaling lymphocytic activation molecule family member 1	Hs00234149_m1
SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	Hs00197884_m1
SLC4A10	solute carrier family 4, sodium bicarbonate transporter-like, member 10	Hs00222849_m1
SOCS1	suppressor of cytokine signaling 1	Hs00705164_s1
SOCS2	suppressor of cytokine signaling 2	Hs00919620_m1
SOCS3	suppressor of cytokine signaling 3	Hs00269575_s1
SPATS2	spermatogenesis associated, serine-rich 2	Hs00225008_m1
TRPM6	transient receptor potential cation channel, subfamily M, member 6	Hs00214306_m1
UGCG	UDP-glucose ceramide glucosyltransferase	Hs00234293_m1
ZDHHC20	zinc finger, DHHC-type containing 20	Hs00708514_s1
