Probe Set ID	Symbol	Description	Map	Fold Change	P
35835_at	ANAPC5, PDL108	anaphase promoting complex subunit 5, periodontal ligament fibroblast protein	12	1.5	6.75E-09
41651_at	KIAA1033	KIAA1033 protein	12	1.79	4.21E-08
36741_at	GIT2	G protein-coupled receptor kinase-interactor 2	12q24.1	1.38	4.85E-08
34188_at	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	12q21	1.73	7.09E-08
35260_at	MONDOA	KIAA0867 protein	12q21.31	1.55	7.68E-08
35688_g_at	MTCP1	mature T-cell proliferation 1	Xq28	0.71	1.97E-07
39126_at	PMF1	polyamine-modulated factor 1	1q12	0.8	3.51E-07
37006_at			4q13	3.45	5.10E-07
41403_at	SNRPF	small nuclear ribonucleoprotein polypeptide F	12q23	1.34	5.90E-07
39519_at	KIAA0692	KIAA0692 protein	12	1.64	9.75E-07
32573_at	SFRS9	splicing factor, arginine/serine-rich 9	12	1.27	1.06E-06
531_at	RTVP1	glioma pathogenesis-related protein	12	1.68	1.36E-06
38340_at	KIAA0655	huntingtin interacting protein-1-related protein	12q24	1.97	1.46E-06
37845_at	HEM1	hematopoietic protein 1	12q13.1	1.63	1.54E-06
40816_at	PWP1	nuclear phosphoprotein similar to S. cerevisiae PWP1	12	1.64	2.15E-06
35810_at	ARPC3	actin related protein 2/3 complex, subunit 3 (21 kD)	12q24	1.34	2.35E-06
40604_at	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	12	1.71	3.19E-06
33898_at	MCRS1	microspherule protein 1	12	1.23	3.79E-06
32547_at	M6PR	mannose-6-phosphate receptor (cation dependent)	12p13	1.32	4.12E-06
36009_at	CL683	weakly similar to glutathione peroxidase 2	1q24-q41	0.64	5.12E-06
36601_at	VCL	vinculin	10q22.1-q23	1.56	6.12E-06
41366_at			12q13	1.34	8.72E-06
39676_at	MYF6	myogenic factor 6 (herculin)	12q21	4.16	9.42E-06
35316_at	RAGA	Ras-related GTP-binding protein	9	0.76	1.18E-05
41626_at	TIMELESS	timeless (Drosophila) homolog	12q12-q13	1.4	1.18E-05
39336_at	ARF3	ADP-ribosylation factor 3	12q13	1.32	1.25E-05
36996_at	OS-9	amplified in osteosarcoma	12q13	1.28	1.50E-05
33731_at	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	14q11.2	1.67	1.81E-05
41314_at	CS	citrate synthase	12p11-qter	1.25	1.81E-05
39401_at				1.22	2.22E-05
36604_at	UBE2N	ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)	12	1.32	2.47E-05
37661_at	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	12q21-q23	1.54	2.58E-05
38544_at	INHA	inhibin, alpha	2q33-q36	0.73	2.74E-05
40438_at	PPP1R12A	protein phosphatase 1, regulatory (inhibitory) subunit 12A	12q15-q21	1.42	3.13E-05
39428_at	LNK	lymphocyte adaptor protein	12q24	1.68	3.22E-05
38839_at	PFN2	profilin 2	3q25.1-q25.2	0.54	3.23E-05
37253_at	PIP5K1B	phosphatidylinositoal-4-phosphate 5-kinase, type I, beta	9q13	2.08	3.25E-05
39672_at	PTPN	protein tyrosine phosphatase, non-receptor type 7	1q32.1	0.68	3.29E-05
39133_at	GCN5L1	GCN5 (general control of amino-acid synthesis, yeast homolog)-like 1	12q13-q14	1.49	3.57E-05
33819_at	LDHB	lactate dehydrogenase B	12p12.2-p12.1	1.39	3.86E-05
38081_at	LTA4H	leukotriene A4 hydrolase	12q22	1.52	4.16E-05
35657_at	TARBP2	TAR (HIV) RNA-binding protein 2	12q12-q13	1.52	4.36E-05
38086_at	IGSF3	immunoglobulin superfamily, member 3	1p13	0.27	5.15E-05
40146_at	RAP1B	RAP1B, member of RAS oncogene	12q14	1.31	5.35E-05
1903_at				1.41	5.56E-05
36616_at	DAZAP2	DAZ associated protein 2	2q33-q34	1.25	5.70E-05
1433_g_at	MADH3	MAD (mothers against decapentaplegic, Drosophila) homolog 3	15q21-q22	1.65	5.77E-05
1984_s_at	ARHGDIB, GAP1IP4BP	RAS p21 protein activator (GTPase activating protein) 3 (Ins(1,3,4,5)P4-binding protein), Rho GDP dissociation inhibitor (GDI) beta	12p12.3, 13q34	1.51	6.82E-04
34801_at	KIAA0710	KIAA0710 gene product	12q13.2-q13.3	1.56	6.87E-05
40581_at	TRIO	triple functional domain (PTPRF interacting)	5p15.1-p14	1.93	7.15E-05
32842_at	BCL7A	B-cell CLL/lymphoma 7A	12q24.13	2.64	7.18E-05
34142_at				2.07	7.66E-05
36178_at	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	12q12-q14	1.38	8.12E-05
38254_at	KIAA0882	KIAA0882 protein	4	1.76	8.83E-05
40792_s_at	TRIO	triple functional domain (PTPRF interacting)	5p15.1-p14	1.45	9.52E-05
41649_at	FHX	FOXJ2 forkhead factor	12pter-p13.31	1.33	9.66E-05
36089_at	SAC2	Sac domain-containing inositol phosphatase 2	10q24.1-q25.3	0.58	1.03E-04
1760_s_at	PTPN7	protein tyrosine phosphatase, non-receptor type 7	1q32.1	0.83	1.03E-04
35259_s_at	SFRS21P	splicing factor, arginine/serine-rich 2, interacting protein	12q12-12q14.3	1.41	1.05E-04
582_g_at	NR2C1	nuclear receptor subfamily 2, group C, member 1	12	1.44	1.13E-04
760_at	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	12	1.37	1.21E-04
39110_at	EIF4B	eukaryotic translation initiation factor 4B	12q13.11-12q14.3	1.21	1.28E-04
38944_at	MADH3	MAD (mothers against decapentaplegic, Drosophila) homolog 3	15q21-q22	1.83	1.29E-04
631_g_at	DCTD	dCMP deaminase	4	0.78	1.29E-04
39045_at	FLJ21432	hypothetical protein FLJ21432	12p13.31	1.37	1.33E-04
38443_at	MGC14433	hypothetical protein MGC14433	12	1.38	1.41E-04
38359_at	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	11q13	1.37	1.42E-04
442_at	TRA1	tumor rejection antigen (gp96) 1	12q24.2-q24.3	1.35	1.44E-04
36998_s_at	SCA2	spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant, ataxin 2)	12q24	1.66	1.50E-04
40527_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily member 1	11p15.5	1.48	1.50E-04
32251_at	FLJ21174	hypothetical protein FLJ21174	X	0.73	1.50E-04
34684_at	RECQL	RecQ protein-like (DNA helicase Q1-like)	12p12	1.42	1.58E-04
38188_s_at	MAN2A2	mannosidase, alpha, class 2A, member 2	15q25	1.32	1.60E-04
35258_f_at	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein	12q12-12q14.3	1.41	1.60E-04
34011_at	HRK	harakiri, BCL2-interacting protein (contains only BH3 domain)	12	1.89	1.63E-04
37869_at	ELKS	ELKS protein	12p13.3	1.39	1.78E-04
1785_at	RBBP2	retinoblastoma-binding protein 2	12p11	1.33	1.83E-04
32716_at	DGKA	diacylglycerol kinase, alpha (80kD)	12q13.3	1.38	2.09E-04
1454_at	MADH3	MAD (mothers against decapentaplegic, Drosophila) homolog 3	15q21-q22	1.46	2.34E-04
33847_s_at	CDKN1B	cyclin-dependent kinase inhibitor qB (p27, Kip1)	12p13.1-p12	1.41	2.82E-04
40924_at	FLJ14627	hypothetical protein FLJ14627	12	1.46	3.00E-04
41201_at	DNM1L	dynamin 1-like	12q13.11-12q14.3	1.39	3.20E-04
36093_at	KIAA0614	KIAA0614 protein	12	1.31	3.20E-04
31907_at	RPL14	ribosomal protein L14	3p22-p21.2	0.84	3.51E-04
38840_s_at	PFN2	profilin 2	3q25.1-q25.2	0.46	3.53E-04
38574_at	ABCA5	ATP-binding cassette, sub-family A (ABC1) member 5	17q24	0.65	3.62E-04
367_at	NEK3	NIMA (never in mitosis gene a)-related kinase 3	13q14.2-q21.1	0.57	3.69E-04
31925_s_at	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1	15q24	0.56	3.78E-04
34362_at	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	1p36.2	1.92	3.79E-04
40410_at	DCTN3	dynactin 3 (p22)		0.84	4.13E-04
288_s_at	LBR	larnin B receptor	1q42.1	1.41	4.21E-04
37362_at	RAB5B	RAB5B, member RAS oncogene family	12q13	1.32	4.31E-04
1444_at	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	12q24.31-q24.32	1.33	4.31E-04
36553_at	ASMTL	acetylserotonin O-methyltransferase-like	Xp22.3, Yp11.3	0.79	4.32E-04
36834_at	DKFZP564G202	DKFZP564G202 protein	6q23.1-23.3	1.55	4.44E-04
1660_at	UBE2N	ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)	12	1.31	4.57E-04
34755_at	ADPRTL2	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2	14q11.2-q12	0.81	4.66E-04
39860_at	FUBP1	far upstream element (FUSE) binding protein 1	1pter-p22.2	0.77	4.71E-04
32662_at	KIAA0170	KIAA0170 gene product	6pter-p21.31	0.81	4.88E-04
