Gene bank accession number	Gene name	Symbol	Fold change (Adnull)	Fold change (Ad5Delta24)
AF511652	Caspase recruitment domain family, member 8	CARD8	3.36	3.81
NM_005894	CD5 antigen-like (scavenger receptor cysteine-rich family)	CD5L	2.25	2.85
AF348491	Chemokine (C-X-C motif) receptor 4/// chemokine (C-X-C motif) receptor 4	CXCR4	8.75	10.7
BF686824	Death-associated protein kinase 3	DAPK3	3.2	3.29
NM_003824	Fas (TNFRSF6)-associated via death domain	FADD	2.51	2.69
BC005352	TNF-induced protein	GG2-1	7.01	7.57
NM_002656	Pleiomorphic adenoma gene-like1	PLAGL	2.64	2.41
NM_006663	RelA-associated inhibitor	RAI	2.43	3.18
NM_004760	Serine/threonine kinase 17a (apoptosis-inducing)	STK17A	2.77	3.46
NM_003844	Tumor necrosis factor receptor superfamily, member 10a	TNFRSF 10A	281	4.56
AF021233	Tumor necrosis factor receptor superfamily, member l0d, decoy with truncated death domain	TNFRSF 10D	7.21	7.94
AI084226	Regulator of Fas-induced apoptosis	TOSO	14.93	17.03
NM_005426	Tumor protein p53 binding protein, 2	TP53BP	2.3	2.39
NM_004619	TNF receptor-associated factor 5	TRAF5	7.11	4.96
NM_002507	Nerve growth factor receptor (TNFR superfamily, member 16)	NGFR	-16.22	-14.72
D32201	Adrenergic, alpha-lA-, receptor	ADRA1	-4.32	-5.46
BF448201	Cullin 5	CUL5	-2.33	-2.93
A1760495	Cytochrome c, somatic	CYCS	-2.33	-2.77
NM_006705	Growth arrest and DNA-damage-inducible, gamma	GADD4	-2.41	-2.55
