gene	geneid	Z-ESR1	Z-ERBB2	Z-AURKA	Z-survival	cytoband	alias	description
ERBB2	2064	0	inf	0	3.92671	17q11.2-q12|17q21.1	HER-2|HER-2/neu|HER2|NEU|NGL|TKR1|c-erb B2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
GRB7	2886	-6.87092	43.352	3.78861	4.4098	17q12	-	growth factor receptor-bound protein 7
STARD3	10948	-4.37348	35.0519	3.97933	3.31689	17q11-q12	CAB1|FLJ41370|MLN64|es64	START domain containing 3
PERLD1	93210	3.73606	34.1108	0.868838	1.96273	17q12	AGLA546|CAB2|MGC9753|PP1498	per1-like domain containing 1
PSMD3	5709	-0.932188	30.5271	10.6772	3.16331	17q12-q21.1	P58|RPN3|S3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
THRAP4	9862	3.6668	26.1964	7.14254	2.50204	17q21.1	ARC100|DRIP100|KIAA0130|MED24|MGC8748|TRAP100	thyroid hormone receptor associated protein 4
C17orf37	84299	1.80751	24.9801	8.41015	4.22075	17q12	C35|MGC14832|ORB3|XTP4	chromosome 17 open reading frame 37
PNMT	5409	-3.44367	23.9089	0.312935	1.67861	17q21-q22	MGC34570|PENT|PNMTase	phenylethanolamine N-methyltransferase
GSDML	55876	-4.53568	22.6833	5.22972	3.13028	17q12	PP4052|PRO2521	gasdermin-like
ORMDL3	94103	2.23505	22.3712	0.720046	2.38668	17q12-q21.1	-	ORM1-like 3 (S. cerevisiae)
TCAP	8557	-0.766794	21.7784	2.22035	3.68427	17q12	CMD1N|LGMD2G|T-cap|TELE|telethonin	titin-cap (telethonin)
PPARBP	5469	-1.27185	20.5129	6.05034	1.55234	17q12-q21.1	CRSP1|CRSP200|DRIP205|DRIP230|MED1|MGC71488|PBP|PPARGBP|RB18A|TRAP220|TRIP2	PPAR binding protein
CRKRS	51755	-1.45418	20.2619	6.25918	4.37771	17q12	CRK7|CRKR|KIAA0904	Cdc2-related kinase, arginine/serine-rich
PSMB3	5691	1.85017	19.9335	12.718	4.41325	17q12	HC10-II|MGC4147	proteasome (prosome, macropain) subunit, beta type, 3
LASP1	3927	10.0974	19.3189	2.9911	-1.05533	17q11-q21.3	Lasp-1|MLN50	LIM and SH3 protein 1
PCGF2	7703	10.7434	17.3048	-0.616883	0.321129	17q12	MEL-18|MGC10545|RNF110|ZNF144	polycomb group ring finger 2
PRODH	5625	-1.20557	16.9161	-3.05117	-0.730195	22q11.21	FLJ33744|HSPOX2|MGC148078|MGC148079|PIG6|PRODH1|PRODH2|SCZD4|TP53I6	proline dehydrogenase (oxidase) 1
ABCC11	85320	6.2287	16.3907	-3.73669	-1.06174	16q12.1	EWWD|MRP8|WW	ATP-binding cassette, sub-family C (CFTR/MRP), member 11
GALNT7	51809	14.7916	16.0586	-5.65164	-1.82458	4q31.1	GALNAC-T7|GalNAcT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
ITGB6	3694	-4.12561	16.012	-6.60112	1.92003	2q24.2	-	integrin, beta 6
