Rank	Pathway Name	Gene Symbol
1	Complement and coagulation cascades	FGG, THBD, A2M, SERPINA5
2	Antigen processing and presentation	LTA, CANX
3	Dentatorubropallidoluysian atrophy (DRPLA)	MAGI1
4	Amyotrophic lateral sclerosis (ALS)	SLC1A2
5	Alzheimers disease	A2M
6	Cell adhesion molecules (CAMs)	NRXN2, ITGAV
7	Regulation of autophagy	ATG5
8	SNARE interactions in vesicular transport	C1orf142
9	Type I diabetes mellitus	LTA
10	ECM-receptor interaction	ITGAV
11	Cell cycle	PTTTG1
12	Tight junction	MAGI1
13	Axon guidance	SLIT2
14	Insulin signaling pathway	PHKA2
15	Jak-STAT signaling pathway	ISGF3G
16	Calcium signaling pathway	PHKA2
17	Focal adhesion	ITGAV
18	Regulation of actin cytoskeleton	ITGAV
19	Cytokine-cytokine receptor interaction	LTA
20	MAPK signaling pathway	MAPK8IP3
