Gene symbol	Name of the gene	logFC	Adjusted p-value
Hist1h2ac	Histone cluster 1, H2ac	2.56	0.0001
Hist1h2bp	Histone cluster 1, H2bp	2.55	0.0008
Hist1h2bc	Histone cluster 1, H2bc	2.54	1.29E-05
Hist2h3c1	Histone cluster 2, H3c1	2.2	0.0002
Hist3h2a	Histone cluster 3, H2a	2.01	1.01E-05
Jun	Jun	1.84	5.55E-05
Fos	Fos	1.75	0.0026
Hist1h2ab	Histone cluster 1, H2ab	1.71	0.001
Hist2h2bb	Histone cluster 2, H2bb	1.55	5.86E-06
Hist4h4	Histone cluster 4, H4	1.36	4.32E-06
Hist2h2be	Histone cluster 2, H2be	1.26	2.11E-05
Hist2h4	Histone cluster 2, H4	1.24	4.32E-06
Hist3h2bb	Histone cluster 3, H2bb	1.23	0.0027
Myd116	Myeloid differentiation primary response gene 116	1.21	0.0002
Hist1h2be	Histone cluster 1, H2be	1.16	0.0001
Hist1h3i	Histone cluster 1, H3i	1.08	0.0707
Hist1h2bb	Histone cluster 1, H2bb	1.01	0.0043
Hist1h3g	Histone cluster 1, H3g	1.01	0.0056
Hist1h1t	Histone cluster 1, H1t	0.98	0.0109
Gadd45g	Growth arrest and DNA-damage-inducible 45 gamma	0.97	0.0008
Hist1h1c	Histone cluster 1, H1c	0.93	0.0015
Hist2h3c2	Histone cluster 2, H3c2	0.87	9.71E-05
Junb	Jun-B oncogene	0.65	0.0005
Jund1	Jun proto-oncogene related gene D	0.63	0.0059
Gadd45a	Growth arrest and DNA-damage-inducible 45 alpha	0.59	0.0006
