Gene Name	Gene ID	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)	Gene
204304_s_at	NM_006017	-9.6	-1164.48	121.28	0.13994	0.66	PROM1
221004_s_at	NM_030926	-7.09	-3418.57	482.19	0.2706	0.66	ITM2C
202760_s_at	NM_007203	-6.91	-953.89	138.04	0.22239	0.66	PALM2
205692_s_at	NM_001775	-6.9	-902.91	130.85	0.43879	0.66	CD38
206622_at	NM_007117	-6.48	-4629.87	714.13	0.01332	0.66	TRH
204159_at	NM_001262	-6.42	-680.09	105.99	0.31911	0.66	CDKN2C
206896_s_at	NM_005145	-6.41	-311.17	48.56	0.38353	0.66	
209543_s_at	M81104	-6.33	-2856.87	451.32	0.09382	0.66	CD34
215218_s_at	AC004144	-6.2	-127	20.5	0.42278	0.66	
50314_i_at	AI761506	-6.15	-608.7	99.04	0.43212	0.66	C20orf27
221760_at	BG287153	-6.15	-1438.92	234.16	0.27196	0.66	MAN1A1
219694_at	NM_019018	-6.12	-190.24	31.09	0.24216	0.66	FLJ11127
202759_s_at	BE879367	-6.1	-868.21	142.4	0.35026	0.66	PALM2
203509_at	NM_003105	-6.04	-3735.01	618.57	0.41455	0.66	SORL1
212560_at	AV728268	-5.88	-1813.76	308.65	0.46585	0.66	SORL1
222144_at	AA909345	-5.85	-136.89	23.39	0.19623	0.66	KIF17
208116_s_at	NM_005907	-5.83	-384.74	66.02	0.298	0.66	MAN1A1
218872_at	NM_017899	-5.79	-1511.53	260.9	0.35205	0.66	TSC
201163_s_at	NM_001553	-5.79	-2441.96	421.55	0.41477	0.66	IGFBP7
217979_at	NM_014399	-5.76	-999.25	173.6	0.23554	0.66	TM4SF13
205356_at	NM_003940	-5.75	-379.03	65.88	0.43113	0.66	USP13
218510_x_at	AI816291	-5.57	-135.6	24.37	0.26091	0.66	FLJ20152
216026_s_at	AL080203	-5.56	-436	78.46	0.41194	0.66	POLE
202242_at	NM_004615	-5.52	-372.63	67.49	0.16942	0.66	TM4SF2
219648_at	NM_018000	-5.48	-145.81	26.62	0.30264	0.66	FLJ10116
202283_at	NM_002615	-5.44	-774.6	142.39	0.10706	0.66	SERPINF1
219789_at	AI628360	-5.43	-1256.8	231.47	0.19155	0.66	NPR3
219686_at	NM_018401	-5.41	-356.23	65.81	0.2152	0.66	STK32B
201162_at	NM_001553	-5.41	-3791.55	700.5	0.3828	0.66	IGFBP7
202747_s_at	NM_004867	-5.41	-6399.48	1183.78	0.19269	0.66	ITM2A
212912_at	AI992251	-5.35	-144.71	27.04	0.31803	0.66	RPS6KA2
204417_at	NM_000153	-5.35	-1110.73	207.67	0.28786	0.66	GALC
206726_at	NM_014485	-5.33	-2004.89	376.21	0.06487	0.66	PGDS
202746_at	AL021786	-5.33	-4397.46	825.42	0.22081	0.66	
205379_at	NM_001236	-5.32	-124.04	23.3	0.25943	0.66	CBR3
204917_s_at	AV756536	-5.23	-257.97	49.37	0.31189	0.66	MLLT3
219790_s_at	NM_000908	-5.16	-219.25	42.5	0.14347	0.66	NPR3
217080_s_at	Y19026	-5.16	-183.8	35.63	0.37479	0.66	HOMER2
202564_x_at	NM_001667	-5.14	-944.43	183.73	0.45981	0.66	SNX15
217362_x_at	AF005487	-5.12	-1081.64	211.24	0.38216	0.66	HLA-DRB3
219734_at	NM_017699	-5.11	-240.76	47.14	0.29819	0.66	FLJ20174
202481_at	NM_004753	-5.09	-726.25	142.62	0.21848	0.66	DHRS3
205412_at	NM_000019	-4.97	-1225.8	246.42	0.4689	0.66	ACAT1
214953_s_at	X06989	-4.97	-563.73	113.47	0.25986	0.66	APP
219054_at	NM_024563	-4.93	-1437.44	291.31	0.26816	0.66	FLJ14054
200602_at	NM_000484	-4.93	-331.9	67.31	0.09873	0.66	APP
202016_at	NM_002402	-4.79	-4975.44	1039.61	0.23805	0.66	MEST
219667_s_at	NM_017935	-4.78	-184.53	38.58	0.372	0.66	BANK1
217010_s_at	AF277724	-4.78	-62.67	13.11	0.47251	0.66	CDC25C
209686_at	BC001766	-4.78	-274.43	57.46	0.12412	0.66	S100B
209773_s_at	BC001886	-4.74	-1767.99	373.17	0.34775	0.66	RRM2
202095_s_at	NM_001168	-4.73	-455.09	96.12	0.43684	0.66	BIRC5
213484_at	AI097640	-4.7	-119.49	25.45	0.28271	0.66	
220811_at	NM_006093	-4.69	-188.04	40.08	0.34642	0.66	PRG3
202947_s_at	NM_002101	-4.64	-4580.48	987.51	0.28548	0.66	GYPC
