Name	Symbol	UG Cluster	Known/probable Function	Fold change
B7 homolog 3	B7H3	Hs.77873	cell regulation	0.5
BCL2-associated X protein	BAX	Hs.159428	cell regulation	0.7
coronin, actin binding protein, 2A	CORO2A	Hs.439725	cell regulation	0.6
diaphanous homolog 1 (Drosophila)	DIAPH1	Hs.511896	cell regulation	0.5
fibroblast growth factor 12	FGF12	Hs.343809	cell regulation	0.5
myosin, heavy polypeptide 9, non-muscle	MYH9	Hs.146550	cell regulation	0.6
proopiomelanocortin (adrenocorticotropin/ beta-lipotropin)	POMC	Hs.1897	cell regulation	0.5
protein phosphatase 1, regulatory subunit 9B, spinophilin	PPP1R9B	Hs.110095	cell regulation	0.7
tetranectin (plasminogen binding protein)	TNA	Hs.65424	cell regulation	0.6
tumor necrosis factor receptor superfamily, member 12A	TNFRSF12A	Hs.355899	cell regulation	0.5
unc-84 homolog B (C. elegans)	UNC84B	Hs.406612	cell regulation	0.6
protease, serine, 25	PRSS25	Hs.115721	cell regulation	1.8
guanine nucleotide binding protein (G protein), gamma 8	GNG8	Hs.283961	GTP	0.5
prostaglandin E receptor 1 (subtype EP1), 42kDa	PTGER1	Hs.159360	GTP	0.7
RAB11B, member RAS oncogene family	RAB11B	Hs.433888	GTP	0.6
RAB3A, member RAS oncogene family	RAB3A	Hs.27744	GTP	0.4
RAB9B, member RAS oncogene family	RAB9B	Hs.522736	GTP	0.5
regulator of G-protein signalling 2, 24kDa	RGS2	Hs.78944	GTP	1.8
RAB38, member RAS oncogene family	RAB38	Hs.108923	GTP	1.7
Fc fragment of IgE, high affinity I, receptor for alpha polypeptide	FCER1A	Hs.897	immune response	0.6
HLA-B associated transcript 2	BAT2	Hs.436093	immune response	0.6
major histocompatibility complex, class I, C	HLA-C	Hs.274485	immune response	2.9
B-cell CLL/lymphoma 7B	BCL7B	Hs.408219	immune response	1.6
alanyl (membrane) aminopeptidase (aminopeptidase N)	ANPEP	Hs.1239	metabolism	0.7
alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B	Hs.4	metabolism	0.5
dimethylarginine dimethylaminohydrolase 1	DDAH1	Hs.380870	metabolism	0.6
glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	GNS	Hs.334534	metabolism	0.6
histidine decarboxylase	HDC	Hs.1481	metabolism	0.6
lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	LSS	Hs.442223	metabolism	0.6
ubiquitin specific protease 10	USP10	Hs.78829	metabolism	0.6
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1	Hs.397729	metabolism	2
cyclic AMP phosphoprotein, 19 kD	ARPP-19	Hs.7351	transport	0.5
gastric intrinsic factor (vitamin B synthesis)	GIF	Hs.110014	transport	0.5
glucose regulated protein, 58kDa	GRP58	Hs.308709	transport	0.6
glutathione reductase	GSR	Hs.414334	transport	0.5
golgi autoantigen, golgin subfamily a, 4	GOLGA4	Hs.434433	transport	0.6
KDEL (Lys-Asp-Glu-Leu) ER protein retention receptor 1	KDELR1	Hs.78040	transport	0.6
mitochondrial ribosomal protein L45	MRPL45	Hs.19347	transport	0.5
NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa	NDUFV3	Hs.199471	transport	0.5
phosphoglycerate dehydrogenase	PHGDH	Hs.3343	transport	0.6
pitrilysin metalloproteinase 1	PITRM1	Hs.26010	transport	0.5
potassium intermediate/small conductance ca-activated channel	KCNN3	Hs.89230	transport	0.5
prosaposin (variant Gaucher disease)	PSAP	Hs.406455	transport	0.3
protein transport protein SEC61 alpha subunit isoform 1	SEC61A1	Hs.306079	transport	0.6
transient receptor potential cation channel, subfamily V	TRPV2	Hs.279746	transport	0.8
translin-associated factor X	TSNAX	Hs.96247	transport	0.6
NADPH oxidase-related, C2 domain-containing protein	JFC1	Hs.25895	transport	2.1
Niemann-Pick disease, type C1	NPC1	Hs.404930	transport	1.5
potassium channel, subfamily K, member 12	KCNK12	Hs.252617	transport	11.1
CGI-109 protein	CGI-109	Hs.278391	transcription	0.6
heat shock 27kDa protein 1	HSPB1	Hs.76067	transcription	0.7
Heterogeneous nuclear ribonucleoprotein M	HNRPM		transcription	0.5
homeo box B8	HOXB8	Hs.183274	transcription	0.6
kinase interacting with leukemia-associated gene (stathmin)	KIS	Hs.127310	transcription	0.7
mediator of RNA polymerase II transcription, subunit 6 homolog	MED6	Hs.167738	transcription	0.7
poly(A) binding protein, cytoplasmic 1	PABPC1	Hs.387804	transcription	0.5
poly(A) polymerase alpha	PAPOLA	Hs.201085	transcription	0.6
Ribosomal protein S4, X-linked	RPS4X		transcription	0.5
ROD1 regulator of differentiation 1 (S. pombe)	ROD1	Hs.374634	transcription	0.5
Ste20-related serine/threonine kinase	SLK	Hs.105751	transcription	0.6
SWI/SNF related, matrix associated	SMARCD2	Hs.250581	transcription	0.6
TEA domain family member 1 (SV40 enhancer)	TEAD1	Hs.153408	transcription	0.7
tubby homolog (mouse)	TUB	Hs.54468	transcription	0.6
zinc finger protein 36 (KOX 18)	ZNF36	Hs.24758	transcription	0.6
DEAD (Asp-Glu-Ala-Asp) box polypeptide 48	DDX48	Hs.389649	transcription	1.5
a disintegrin and metalloproteinase domain 15 (metargidin)	ADAM15	Hs.312098	hydrolase	0.7
calcitonin gene-related peptide-receptor component protein	RCP9	Hs.300684	calcetonin receptor activity	0.6
likely ortholog of C. elegans anterior pharynx defective 1A	APH-1A	Hs.108408	proteolysis	0.7
protein tyrosine phosphatase, non-receptor type 11	PTPN11	Hs.83572	signalling	0.5
syntaxin binding protein 5 (tomosyn)	STXBP5	Hs.93534	vesicle docking/fusion	0.6
tankyrase, TRF1-interacting ankyrin-related ADP-ribose poly 2	TNKS2	Hs.280776	transferase	0.6
ankyrin repeat and FYVE domain containing 1	ANKFY1	Hs.512604	unknown	0.7
chromosome 1 open reading frame 22	C1orf22	Hs.308809	unknown	0.6
chromosome 13 open reading frame 11	C13orf11	Hs.27337	unknown	0.7
chromosome 14 open reading frame 111	C14orf111	Hs.343173	unknown	0.6
chromosome 2 open reading frame 6	C2orf6	Hs.196437	unknown	0.6
chromosome 20 open reading frame 177	C20orf177	Hs.504920	unknown	0.5
chromosome 6 open reading frame 57	C6orf57	Hs.71367	unknown	0.5
chromosome 7 open reading frame 16	C7orf16	Hs.227011	unknown	0.5
EMSY protein	C11ORF30	Hs.352588	unknown	0.6
eukaryotic translation initiation factor 2, subunit 3 g, 52kDa	EIF2S3	Hs.480368	unknown	0.6
eukaryotic translation initiation factor 5A	EIF5A	Hs.310621	unknown	0.4
F-box only protein 11	FBXO11	Hs.284289	unknown	0.7
F-box only protein 27	FBXO27	Hs.187461	unknown	0.5
general transcription factor II, i	GTF2I	Hs.408507	unknown	0.5
glial cell derived neurotrophic factor	GDNF	Hs.248114	unknown	0.6
Homo sapiens cDNA clone IMAGE:3628701, partial cds		Hs.98028	unknown	0.6
Homo sapiens cDNA FLJ10673 fis, clone NT2RP2006393		Hs.272939	unknown	0.6
Homo sapiens cDNA FLJ11612 fis, clone HEMBA1004011		Hs.210013	unknown	0.7
Homo sapiens cDNA FLJ13567 fis, clone PLACE1008331		Hs.188825	unknown	0.6
