HG-U133A probe set	Gene Symbol	Gene	NPM1-mutated	NPM1-WT, MLL-WT	Fold change	t statistic	P	q
213150_at	HOXA10	homeo box A10	1289.5	384.8	3.4	10.7	<0.0001	<0.0001
213147_at	HOXA10	homeo box A10	1693.8	491.6	3.4	11.2	<0.0001	<0.0001
205453_at	HOXB2	homeo box B2	2363.6	680.3	3.5	10.0	<0.0001	<0.0001
200009_at	GDI2	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	6573.7	7791.1	-1.2	-7.4	<0.0001	<0.0001
214651_s_at	HOXA9	homeo box A9	4234.5	698.7	6.1	10.5	<0.0001	<0.0001
201432_at	CAT	catalase	24168.4	11120.2	2.2	9.8	<0.0001	<0.0001
214655_at	GPR6	G protein-coupled receptor 6	11.6	49.4	-4.2	-8.4	<0.0001	<0.0001
204069_at	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	1241.5	324.2	3.8	9.8	<0.0001	<0.0001
213844_at	HOXA5	homeo box A5	3462.4	560.9	6.2	11.7	<0.0001	<0.0001
214719_at	LOC283537	hypothetical protein LOC283537	546.3	328.8	1.7	6.6	<0.0001	<0.0001
204399_s_at	EML2	echinoderm microtubule associated protein like 2	178.5	91.2	2.0	7.3	<0.0001	0.0002
211425_x_at	SSX4	synovial sarcoma, X breakpoint 4	231.7	132.3	1.8	6.6	<0.0001	0.0002
202283_at	SERPINF1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	45.0	451.1	-10.0	-6.6	<0.0001	0.0003
204286_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	140.8	378.9	-2.7	-6.4	<0.0001	0.0003
208072_s_at	DGKD	diacylglycerol kinase, delta 130kDa	839.8	1334.2	-1.6	-6.8	<0.0001	0.0004
208414_s_at	HOXB3	homeo box B3	263.1	104.0	2.5	8.1	<0.0001	0.0004
203582_s_at	RAB4A	RAB4A, member RAS oncogene family	462.0	676.8	-1.5	-7.4	<0.0001	0.0004
203589_s_at	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	599.4	295.3	2.0	8.0	<0.0001	0.0004
211523_at	GNRHR	gonadotropin-releasing hormone receptor	65.6	51.4	1.3	5.7	<0.0001	0.0005
207761_s_at	DKFZP586A0522	DKFZP586A0522 protein	4042.8	3177.5	1.3	5.6	<0.0001	0.0005
37384_at	PPM1F	protein phosphatase 1F (PP2C domain containing)	833.1	1308.6	-1.6	-5.8	<0.0001	0.0008
219322_s_at	WDR8	WD repeat domain 8	276.3	178.3	1.5	6.0	<0.0001	0.0009
203749_s_at	RARA	retinoic acid receptor, alpha	172.0	426.4	-2.5	-8.1	<0.0001	0.0009
209905_at	HOXA9	homeo box A9	2680.2	373.0	7.2	9.2	<0.0001	0.0009
201851_at	SH3GL1	SH3-domain GRB2-like 1	440.9	338.1	1.3	5.6	<0.0001	0.0011
211922_s_at	CAT	catalase /// catalase	9109.5	4342.4	2.1	7.7	<0.0001	0.0011
218257_s_at	UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1	399.9	285.0	1.4	5.8	<0.0001	0.0011
220856_x_at	---	---	3165.4	2305.0	1.4	7.7	<0.0001	0.0014
205366_s_at	HOXB6	homeo box B6	777.7	251.4	3.1	7.8	<0.0001	0.0015
204202_at	IQCE	IQ motif containing E	226.6	141.0	1.6	5.7	<0.0001	0.0018
201229_s_at	ARIH2	ariadne homolog 2 (Drosophila)	469.9	333.3	1.4	5.2	<0.0001	0.0018
218964_at	ARID3B	AT rich interactive domain 3B (BRIGHT- like)	54.7	122.4	-2.2	-5.6	<0.0001	0.0020
200023_s_at	EIF3S5	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa /// eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	6115.4	7765.1	-1.3	-6.7	<0.0001	0.0022
38918_at	SOX13	SRY (sex determining region Y)-box 13	141.4	88.1	1.6	6.0	<0.0001	0.0028
