ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
213485_s_at	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	89845	0.689178
201128_s_at	ACLY	ATP citrate lyase	47	0.587448
215867_x_at	AP1G1	Adaptor-related protein complex 1, gamma 1 subunit	164	0.643212
201879_at	ARIH1	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	25820	0.902445
222667_s_at	ASH1L	Data not found	55870	0.659572
218796_at	C20orf42	Chromosome 20 open reading frame 42	55612	0.725113
206011_at	CASP1	Caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	834	0.817318
213243_at	COH1	Vacuolar protein sorting 13B (yeast)	157680	0.654736
221900_at	COL8A2	Collagen, type VIII, alpha 2	1296	0.915105
229666_s_at	CSTF3	Data not found	1479	0.591071
206414_s_at	DDEF2	Development and differentiation enhancing factor 2	8853	0.762947
213279_at	DHRS1	Dehydrogenase/reductase (SDR family) member 1	115817	0.904913
203301_s_at	DMTF1	Cyclin D binding myb-like transcription factor 1	9988	0.836477
213865_at	ESDN	Discoidin, CUB and LCCL domain containing 2	131566	0.657747
225461_at	Eu-HMTase1	Euchromatic histone methyltransferase 1	79813	0.666836
209537_at	EXTL2	Exostoses (multiple)-like 2	2135	0.777862
218397_at	FANCL	Fanconi anemia, complementation group L	55120	0.608521
1568680_s_at	FLJ21940	YTH domain containing 2	64848	0.683727
31874_at	GAS2L1	Growth arrest-specific 2 like 1	10634	0.697586
213056_at	GRSP1	FERM domain containing 4B	23150	0.566433
206976_s_at	HSPH1	Heat shock 105kDa/110kDa protein 1	10808	0.560816
238933_at	IRS1	Insulin receptor substrate 1	3667	0.54307
235392_at	IRS1	Insulin receptor substrate 1	3667	0.444033
213352_at	KIAA0779	Transmembrane and coiled-coil domains 1	23023	0.732462
212492_s_at	KIAA0876	Jumonji domain containing 2B	23030	0.952351
213069_at	KIAA1237	HEG homolog 1 (zebrafish)	57493	0.500466
219181_at	LIPG	Lipase, endothelial	9388	0.548259
231866_at	LNPEP	leucyl/cystinyl aminopeptidase	4012	0.604196
229582_at	LOC125476	Chromosome 18 open reading frame 37	125476	0.6027
202245_at	LSS	Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	4047	0.649213
202569_s_at	MARK3	MAP/microtubule affinity-regulating kinase 3	4140	0.814345
242082_at	MMAB	Methylmalonic aciduria (cobalamin deficiency) type B	326625	1.257748
213164_at	MRPS6	Mitochondrial ribosomal protein S6	64968	0.727445
37028_at	PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	23645	2.248674
226065_at	PRICKLE1	Prickle-like 1 (Drosophila)	144165	0.745355
1552797_s_at	PROM2	Prominin 2	150696	0.579898
1556773_at	PTHLH	Parathyroid hormone-like hormone	5744	0.572043
211756_at	PTHLH	Parathyroid hormone-like hormone	5744	0.65821
206591_at	RAG1	Recombination activating gene 1	5896	2.541534
212044_s_at	RPL27A	Data not found	6157	2.130588
200908_s_at	RPLP2	Ribosomal protein, large P2	6181	3.079116
213350_at	RPS11	Ribosomal protein S11	6205	4.387419
202648_at	RPS19	Ribosomal protein S19	6223	3.211999
209773_s_at	RRM2	Ribonucleotide reductase M2 polypeptide	6241	0.72509
213262_at	SACS	Spastic ataxia of Charlevoix-Saguenay (sacsin)	26278	0.720517
224250_s_at	SBP2	SECIS binding protein 2	79048	0.800738
204614_at	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	5055	0.569268
204404_at	SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	6558	0.823197
212560_at	SORL1	Data not found	6653	0.608066
1558211_s_at	SRC	V-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	6714	26.32319
221284_s_at	SRC	V-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	6714	5.322983
202506_at	SSFA2	Sperm specific antigen 2	6744	0.687785
201737_s_at	TEB4	Membrane-associated ring finger (C3HC4) 6	10299	0.649725
201447_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	7072	0.672739
224321_at	TMEFF2	Transmembrane protein with EGF-like and two follistatin-like domains 2	23671	4.171491
202643_s_at	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	7128	0.555373
220687_at	TRRAP	Transformation/transcription domain-associated protein	8295	1.240009
212928_at	TSPYL4	TSPY-like 4	23270	0.632642
1554021_a_at	ZNF325	Data not found	51711	0.621751
219571_s_at	ZNF325	Data not found	51711	0.781625
204847_at	ZNF-U69274	Zinc finger and BTB domain containing 11	27107	0.727778
241617_x_at		Data not found		2.129722
229101_at		Data not found		0.943396
225640_at		Data not found		0.846531
212435_at		Data not found		0.71735
235423_at		Data not found		0.645465
230304_at		Data not found		0.39179
228955_at		Data not found		0.580122
1556006_s_at		Data not found		0.654334
227921_at		Data not found		0.533226
1556499_s_at		Data not found		0.591228
236251_at		Data not found		0.591523
1568408_x_at		Data not found		0.706237
