HG_U133A probe	Gene Symbol	Gene Title	NPM1-mutant	NPM1-WT	Fold change	t statistic	P	q
205453_at	HOXB2	homeo box B2	2363.6	602.5	3.9	11.5	<0.0001	<0.0001
213147_at	HOXA10	homeo box A10	1693.8	694.7	2.4	9.5	<0.0001	<0.0001
213150_at	HOXA10	homeo box A10	1289.5	578.7	2.2	9.1	<0.0001	<0.0001
200009_at	GDI2	GDP dissociation inhibitor 2	6573.7	7744	-1.2	-7.9	<0.0001	<0.0001
201432_at	CAT	catalase	24168.4	11948	2	9.5	<0.0001	<0.0001
214651_s_at	HOXA9	homeo box A9	4234.5	1097.2	3.9	9	<0.0001	<0.0001
214655_at	GPR6	G protein-coupled receptor 6	11.6	51.4	-4.4	-8.6	<0.0001	<0.0001
214719_at	LOC283537	hypothetical protein LOC283537	546.3	337.7	1.6	6.8	<0.0001	<0.0001
213844_at	HOXA5	homeo box A5	3462.4	902.1	3.8	10.1	<0.0001	0.0001
211425_x_at	SSX4	synovial sarcoma, X breakpoint 4	231.7	129.1	1.8	7.2	<0.0001	0.0001
202283_at	SERPINF1	serine (or cysteine) proteinase inhibitor, clade F , member 1	45	441	-9.8	-7.3	<0.0001	0.0002
207761_s_at	DKFZP586A0522	DKFZP586A0522 protein	4042.8	3189.8	1.3	6	<0.0001	0.0002
204069_at	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	1241.5	434.3	2.9	8.6	<0.0001	0.0002
203589_s_at	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	599.4	286	2.1	8.6	<0.0001	0.0003
201851_at	SH3GL1	SH3-domain GRB2-like 1	440.9	334.4	1.3	6	<0.0001	0.0004
208414_s_at	HOXB3	homeo box B3	263.1	98.1	2.7	8.9	<0.0001	0.0004
208072_s_at	DGKD	diacylglycerol kinase, delta 130kDa	839.8	1326.8	-1.6	-7.2	<0.0001	0.0005
204399_s_at	EML2	echinoderm microtubule associated protein like 2	178.5	100.3	1.8	6.8	<0.0001	0.0008
219322_s_at	WDR8	WD repeat domain 8	276.3	178.4	1.5	6.3	<0.0001	0.0008
211523_at	GNRHR	gonadotropin-releasing hormone receptor	65.6	55.5	1.2	5.5	<0.0001	0.0009
203582_s_at	RAB4A	RAB4A, member RAS oncogene family	462	666	-1.4	-7.4	<0.0001	0.001
218964_at	ARID3B	AT rich interactive domain 3B (BRIGHT- like)	54.7	124.6	-2.3	-6.2	<0.0001	0.001
203749_s_at	RARA	retinoic acid receptor, alpha	172	429.3	-2.5	-8.1	<0.0001	0.0012
214656_x_at	MYO1C	myosin IC	614.4	476	1.3	5.4	<0.0001	0.0012
201229_s_at	ARIH2	ariadne homolog 2 (Drosophila)	469.9	342.9	1.4	5.3	<0.0001	0.0017
205366_s_at	HOXB6	homeo box B6	777.7	221.5	3.5	8.5	<0.0001	0.0017
207324_s_at	DSC1	desmocollin 1	18.7	53.3	-2.8	-5.9	<0.0001	0.0018
37384_at	PPM1F	protein phosphatase 1F (PP2C domain containing)	833.1	1256.2	-1.5	-5.6	<0.0001	0.002
203517_at	MTX2	metaxin 2	642	482.6	1.3	5.7	<0.0001	0.0025
204286_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	140.8	345.7	-2.5	-5.5	<0.0001	0.0026
38918_at	SOX13	SRY (sex determining region Y)-box 13	141.4	87.2	1.6	6.3	<0.0001	0.0028
202067_s_at	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	18.3	108.2	-5.9	-6.3	<0.0001	0.0028
204943_at	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	254.2	186.9	1.4	5.5	<0.0001	0.0028
209905_at	HOXA9	homeo box A9	2680.2	613.5	4.4	7.8	<0.0001	0.003
206853_s_at	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	642.9	548.9	1.2	4.9	<0.0001	0.0031
211922_s_at	CAT	catalase /// catalase	9109.5	4603.6	2	7.4	<0.0001	0.0038
206194_at	HOXC4	homeo box C4	199.5	307.1	-1.5	-6.3	<0.0001	0.0047
210540_s_at	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	151.9	101.7	1.5	5.6	<0.0001	0.0047
220856_x_at	---	---	3165.4	2396.2	1.3	7.1	<0.0001	0.0047
218257_s_at	UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1	399.9	303	1.3	5.3	<0.0001	0.0054
200023_s_at	EIF3S5	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	6115.4	7635.8	-1.2	-6.3	<0.0001	0.0056
201113_at	TUFM	Tu translation elongation factor, mitochondrial	2409.3	3536.2	-1.5	-6.8	<0.0001	0.0065
201413_at	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	2070	1411.4	1.5	7.5	<0.0001	0.0065
211525_s_at	GP5	glycoprotein V (platelet)	95.2	46.2	2.1	6.7	<0.0001	0.0065
208212_s_at	ALK	anaplastic lymphoma kinase (Ki-1)	162.6	119.3	1.4	5.1	<0.0001	0.0065
205753_at	CRP	C-reactive protein, pentraxin-related	129.2	65.9	2	6.6	<0.0001	0.0071
212252_at	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	875.9	1197	-1.4	-5.9	<0.0001	0.0082
212535_at	MEF2A	MADS box transcription enhancer factor 2, polypeptide A	752.2	1189.3	-1.6	-5.8	<0.0001	0.0082
216417_x_at	HOXB9	homeo box B9	235.1	146.6	1.6	5.4	<0.0001	0.0082
209697_at	---	---	113.1	92.9	1.2	4.6	<0.0001	0.0085
204202_at	IQCE	IQ motif containing E	226.6	157.5	1.4	5.1	<0.0001	0.0092
205298_s_at	BTN2A2	butyrophilin, subfamily 2, member A2	318.2	430.5	-1.4	-5.5	<0.0001	0.01
208308_s_at	GPI	glucose phosphate isomerase	2757.3	4863.3	-1.8	-6.7	<0.0001	0.0102
211606_at	---	---	153.6	94.3	1.6	5.8	<0.0001	0.0103
206441_s_at	COMMD4	COMM domain containing 4	638.5	448.6	1.4	5.1	<0.0001	0.0115
210662_at	KYNU	kynureninase (L-kynurenine hydrolase)	32.7	22.4	1.5	5.3	<0.0001	0.0115
211326_x_at	HFE	hemochromatosis	280.4	196.7	1.4	5.2	<0.0001	0.0115
216612_x_at	---	---	96.2	67.9	1.4	5.2	<0.0001	0.0115
218886_at	PAK1IP1	PAK1 interacting protein 1	286.9	160.1	1.8	6.2	<0.0001	0.0115
201663_s_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3357.6	1355.4	2.5	9.5	<0.0001	0.0119
218446_s_at	FAM18B	family with sequence similarity 18, member B	268.9	219.2	1.2	4.6	<0.0001	0.0119
219360_s_at	TRPM4	transient receptor potential cation channel, subfamily M, member 4	14.7	168.3	-11.4	-4.6	<0.0001	0.0119
221606_s_at	NSBP1	nucleosomal binding protein 1	178.4	74.9	2.4	6.3	<0.0001	0.0119
209375_at	XPC	xeroderma pigmentosum, complementation group C	1047.3	878.5	1.2	5.2	<0.0001	0.0126
218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	161	802.4	-5	-7.1	<0.0001	0.0126
220156_at	FLJ11767	hypothetical protein FLJ11767	42.9	108.4	-2.5	-4.8	<0.0001	0.0126
221354_s_at	GPR24	G protein-coupled receptor 24	234.2	142	1.6	5.6	<0.0001	0.0126
201481_s_at	PYGB	phosphorylase, glycogen; brain	48.5	82.9	-1.7	-5.4	<0.0001	0.0132
203512_at	TRAPPC3	trafficking protein particle complex 3	607	513.6	1.2	4.9	<0.0001	0.0134
204215_at	C7orf23	chromosome 7 open reading frame 23	338.8	512.8	-1.5	-5.1	<0.0001	0.0134
220665_at	LUZP4	leucine zipper protein 4	189.6	127.9	1.5	5.4	<0.0001	0.0134
206138_s_at	PIK4CB	phosphatidylinositol 4-kinase, catalytic, beta polypeptide	1535.2	1330.3	1.2	4.7	0.0001	0.0152
201185_at	PRSS11	protease, serine, 11 (IGF binding)	341.2	272.3	1.3	4.7	0.0001	0.0158
211585_at	NPAT	nuclear protein, ataxia-telangiectasia locus	158.1	88.4	1.8	5.6	0.0001	0.0161
202824_s_at	TCEB1	transcription elongation factor B (SIII), polypeptide 1	933.6	1120.5	-1.2	-4.5	0.0001	0.0181
211446_at	RGSL2	regulator of G-protein signalling like 2	204.3	123.5	1.7	5.8	0.0001	0.0181
214494_s_at	SPG7	spastic paraplegia 7, paraplegin	1274.2	991.6	1.3	5.3	0.0001	0.0182
218857_s_at	ASRGL1	asparaginase like 1	921	528	1.7	5.6	0.0001	0.0182
202537_s_at	DKFZP564O123	DKFZP564O123 protein	442.5	306.8	1.4	5.2	0.0001	0.0189
210337_s_at	ACLY	ATP citrate lyase	712.9	1066	-1.5	-5	0.0001	0.0193
200863_s_at	RAB11A	RAB11A, member RAS oncogene family	2081	2660.4	-1.3	-4.1	0.0001	0.0211
201008_s_at	TXNIP	thioredoxin interacting protein	4341.3	3108	1.4	5	0.0001	0.0211
211804_s_at	CDK2	cyclin-dependent kinase 2	375.4	316.1	1.2	4.2	0.0001	0.0211
217399_s_at	FOXO3A	forkhead box O3A	28	79	-2.8	-4.3	0.0001	0.0221
210947_s_at	MSH3	mutS homolog 3 (E. coli)	334.2	256.5	1.3	5.5	0.0001	0.0224
201451_x_at	RHEB	Ras homolog enriched in brain	79.6	30.3	2.6	6.8	0.0001	0.0225
218466_at	TBC1D17	TBC1 domain family, member 17	326.3	252.9	1.3	4.4	0.0001	0.0225
216492_at	---	---	224.2	182.4	1.2	4.3	0.0001	0.023
210709_at	---	---	16.6	46.7	-2.8	-4.6	0.0001	0.024
221631_at	CACNA1I	calcium channel, voltage-dependent, alpha 1I subunit	350.5	267.7	1.3	4.5	0.0001	0.0263
204995_at	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	89.9	43.4	2.1	5.9	0.0001	0.0271
210213_s_at	ITGB4BP	integrin beta 4 binding protein	1492.6	1770.6	-1.2	-4.9	0.0001	0.0272
207209_at	CETN1	centrin, EF-hand protein, 1	323.7	215.5	1.5	5.2	0.0001	0.0273
211217_s_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	51.6	137.6	-2.7	-4.7	0.0001	0.0285
211969_at	HSPCA	heat shock 90kDa protein 1, alpha	9303	6819.4	1.4	5.5	0.0001	0.0285
221685_s_at	FLJ20364	hypothetical protein FLJ20364	342.4	213.9	1.6	5.3	0.0001	0.0301
221473_x_at	TDE1	tumor differentially expressed 1	2042.5	1510.6	1.4	5.4	0.0002	0.0306
215570_s_at	LOC163131 /// LOC284323	hypothetical BC331191_1	83.8	72	1.2	4.2	0.0002	0.0309
219463_at	C20orf103	chromosome 20 open reading frame 103	59.6	673.2	-11.3	-4.1	0.0002	0.0338
204134_at	PDE2A	phosphodiesterase 2A, cGMP-stimulated	28.9	106.7	-3.7	-5.3	0.0002	0.0339
217307_at	---	---	236.1	157.2	1.5	5	0.0002	0.0358
220798_x_at	FLJ11535	hypothetical protein FLJ11535	366.8	189.8	1.9	5.3	0.0002	0.0362
208557_at	HOXA6	homeo box A6	627.6	250.2	2.5	6.2	0.0002	0.0365
218916_at	FLJ23436	hypothetical protein FLJ23436	303.5	217.2	1.4	4.7	0.0002	0.0365
220841_s_at	AHI1	Abelson helper integration site	172.1	116.7	1.5	4.9	0.0002	0.0365
217846_at	QARS	glutaminyl-tRNA synthetase	4749.8	6216.4	-1.3	-5.9	0.0002	0.0368
212512_s_at	CARM1	coactivator-associated arginine methyltransferase 1	289.6	410.6	-1.4	-4.6	0.0002	0.0382
203017_s_at	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	378.9	205.3	1.8	5.7	0.0002	0.0396
217188_s_at	C14orf1	chromosome 14 open reading frame 1	517.8	339.3	1.5	4.8	0.0002	0.041
205023_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	107.3	63.4	1.7	5.1	0.0002	0.0413
209605_at	TST	thiosulfate sulfurtransferase (rhodanese)	798.9	512.2	1.6	5	0.0002	0.0415
215143_at	FLJ36166	Hypothetical protein FLJ36166	289.3	183.8	1.6	5.5	0.0002	0.0415
203611_at	TERF2	telomeric repeat binding factor 2	982.9	1186.8	-1.2	-3.9	0.0002	0.0421
206003_at	KIAA0635	KIAA0635	481.4	335.1	1.4	5.4	0.0002	0.0421
221883_at	PKNOX1	PBX/knotted 1 homeobox 1	278.2	159.3	1.7	5.3	0.0002	0.0421
207910_at	SCGB1D1	secretoglobin, family 1D, member 1	103.4	85	1.2	4.1	0.0003	0.0422
217127_at	CTH	cystathionase (cystathionine gamma-lyase)	113.6	79.8	1.4	4.5	0.0003	0.0422
217975_at	WBP5	WW domain binding protein 5	609.6	237	2.6	5.6	0.0003	0.0422
221347_at	CHRM5	cholinergic receptor, muscarinic 5	215	156.3	1.4	4.5	0.0003	0.0422
207231_at	DZIP3	zinc finger DAZ interacting protein 3	100.7	77.8	1.3	4.4	0.0003	0.0431
210867_at	CNOT4	CCR4-NOT transcription complex, subunit 4	114.5	88.5	1.3	4.3	0.0003	0.0431
202346_at	HIP2	huntingtin interacting protein 2	530.7	398.6	1.3	5	0.0003	0.0451
201228_s_at	ARIH2	ariadne homolog 2 (Drosophila)	315.6	240.3	1.3	4.8	0.0003	0.0483
204082_at	PBX3	pre-B-cell leukemia transcription factor 3	2120.3	1220.2	1.7	5.1	0.0003	0.0483
206847_s_at	HOXA7	homeo box A7	368.1	131.8	2.8	5.8	0.0003	0.0483
208345_s_at	POU3F1	POU domain, class 3, transcription factor 1	111.7	59.3	1.9	5.3	0.0003	0.0483
208453_s_at	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	782.1	961.7	-1.2	-4.6	0.0003	0.0483
209451_at	TANK	TRAF family member-associated NFKB activator	457.6	273.9	1.7	5.9	0.0003	0.0483
216831_s_at	CBFA2T1	core-binding factor, runt domain, alpha subunit 2; translocated to, 1;	6.6	70.9	-10.8	-3.9	0.0003	0.0483
217361_at	---	---	33.6	69	-2.1	-4.6	0.0003	0.0483
220529_at	FLJ11710	hypothetical protein FLJ11710	300.2	144	2.1	5.8	0.0003	0.0483
208858_s_at	MBC2	likely ortholog of mouse membrane bound C2 domain containing protein	1087.2	1800.5	-1.7	-5.8	0.0003	0.0505
211659_at	GPR135	G protein-coupled receptor 135	26.6	20.6	1.3	4.6	0.0003	0.0505
211769_x_at	TDE1	tumor differentially expressed 1	2421.6	1972.8	1.2	4.6	0.0004	0.0518
219621_at	CLSPN	claspin homolog (Xenopus laevis)	172.9	89.2	1.9	5.4	0.0004	0.0536
217167_x_at	GK	glycerol kinase	139.4	81.1	1.7	5.1	0.0004	0.0549
207830_s_at	PPP1R8	protein phosphatase 1, regulatory (inhibitor) subunit 8	1140.2	933.6	1.2	4.3	0.0004	0.0554
216216_at	SLIT3	slit homolog 3 (Drosophila)	102.2	63.9	1.6	4.9	0.0004	0.0555
216969_s_at	KIF22	kinesin family member 22	274.8	213.3	1.3	4.4	0.0004	0.0555
221164_x_at	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	491.1	352.9	1.4	5.2	0.0004	0.0555
205522_at	HOXD4	homeo box D4	221.7	140.6	1.6	4.9	0.0004	0.0556
215419_at	KIAA1086	KIAA1086	178.8	133.5	1.3	4.3	0.0004	0.0557
213168_at	SP3	Sp3 transcription factor	1317.2	1130.3	1.2	4.1	0.0004	0.0565
214394_x_at	---	---	5417.5	7169.2	-1.3	-4.7	0.0004	0.0579
218656_s_at	LHFP	lipoma HMGIC fusion partner	180.7	141.1	1.3	4.7	0.0004	0.0579
201621_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	23.7	166.8	-7	-5.5	0.0004	0.0582
205600_x_at	HOXB5	homeo box B5	987.1	527	1.9	6.1	0.0004	0.0594
211439_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	349.9	256.7	1.4	4.6	0.0005	0.0605
208963_x_at	FADS1	fatty acid desaturase 1	337.9	238.3	1.4	4.4	0.0005	0.0611
220010_at	KCNE1L	KCNE1-like	31.9	1096.1	-34.3	-5	0.0005	0.0611
202190_at	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	319.9	204.2	1.6	4.7	0.0005	0.0612
214376_at	---	Clone 24626 mRNA sequence	149.4	114.2	1.3	4.2	0.0005	0.0616
215605_at	NCOA2	Nuclear receptor coactivator 2	485.9	372.7	1.3	4.5	0.0005	0.0652
204021_s_at	PURA	purine-rich element binding protein A	490.8	366	1.3	4.1	0.0005	0.0658
216308_x_at	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	971.3	1433.2	-1.5	-5.1	0.0005	0.0658
204137_at	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney)	105.2	79.5	1.3	4.4	0.0005	0.066
219412_at	RAB38	RAB38, member RAS oncogene family	191.6	154.2	1.2	4.5	0.0005	0.066
219254_at	FLJ22222	hypothetical protein FLJ22222	111.6	75.2	1.5	4.6	0.0005	0.0675
215801_at	---	Transcribed locus, moderately similar to XP_227155.2 similar to neurobeachin	154.4	109.3	1.4	4.4	0.0006	0.0681
201395_at	RBM5	RNA binding motif protein 5	2252.6	2022	1.1	3.8	0.0006	0.0685
207374_at	PLSCR2	phospholipid scramblase 2	126.6	87.5	1.4	4.4	0.0006	0.0685
209370_s_at	SH3BP2	SH3-domain binding protein 2	870.2	716.2	1.2	3.9	0.0006	0.0685
213176_s_at	LTBP4	latent transforming growth factor beta binding protein 4	27.2	86.1	-3.2	-5	0.0006	0.0685
220608_s_at	FLJ20582	Hypothetical protein FLJ20582	233.7	150.7	1.6	5.2	0.0006	0.0685
207198_s_at	LIMS1	LIM and senescent cell antigen-like domains 1	1086.5	995.4	1.1	3.6	0.0006	0.0695
209543_s_at	CD34	CD34 antigen	369.4	2257	-6.1	-5.4	0.0006	0.0696
211189_x_at	---	---	580.5	469.6	1.2	4.3	0.0006	0.07
219893_at	FLJ12800	hypothetical protein FLJ12800	322.1	224.2	1.4	4.6	0.0006	0.0704
205669_at	NCAM2	neural cell adhesion molecule 2	122.7	94.8	1.3	4.2	0.0006	0.0726
219195_at	PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	116.9	45	2.6	5.5	0.0007	0.0745
220694_at	---	---	206.9	175.8	1.2	3.7	0.0007	0.0747
212062_at	ATP9A	ATPase, Class II, type 9A	13.6	100.3	-7.4	-4	0.0007	0.0785
212638_s_at	WWP1	WW domain containing E3 ubiquitin protein ligase 1	698	486.5	1.4	4.8	0.0007	0.0817
201009_s_at	TXNIP	thioredoxin interacting protein	7191.7	5321.4	1.4	4.5	0.0007	0.083
207050_at	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	186.8	94.7	2	5.3	0.0008	0.0834
