Name	Accession	Symbol	Linear fold change	p-value
Epithelial membrane protein 1	NM_001423	EMP1	3.151608986	0.005725606
Secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	SPARC	2.942199061	0.00745969
Interferon regulatory factor 4	U52682	IRF4	2.588514026	0.006525869
V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	NM_000222	KIT	2.171896195	0.021033916
B-cell CLL/lymphoma 2	NM_000633	BCL2	2.017050772	0.032607534
Interleukin 1, alpha	NM_000575	IL1A	2.008833539	0.006359059
Protein tyrosine phosphatase, receptor type, K	NM_002844	PTPRK	1.975889356	0.00616635
Retinoblastoma 1 (including osteosarcoma)	NM_000321	RB1	1.91205894	0.007238479
Integrin, alpha 6	NM_000210	ITGA6	1.911473033	0.003315579
Early growth response 1	NM_001964	EGR1	1.852744046	0.022741264
EPH receptor A7	NM_004440	EPHA7	1.848967584	0.020539987
Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	NM_002210	ITGAV	1.82279972	0.004674593
PTK7 protein tyrosine kinase 7	NM_002821	PTK7	1.777039232	0.041655511
Src family associated phosphoprotein 1	NM_003726	SCAP1	1.751583455	0.019296972
Pyruvate dehydrogenase kinase, isoenzyme 4	NM_002612	PDK4	1.722365725	0.026451243
B-cell CLL/lymphoma 2	NM_000633	BCL2	1.708794735	0.002031875
Transmembrane 4 L six family member 1	BC010166	TM4SF1	1.693447197	0.009409251
Interferon regulatory factor 4	NM_002460	IRF4	1.6929442	0.006457581
V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	NM_000222	KIT	1.689786132	0.026184002
CD52 antigen (CAMPATH-1 antigen)	X62466	CDW52	1.644204817	0.004709356
Integrin, alpha 9	NM_002207	ITGA9	1.638561763	0.0258647
T-cell acute lymphocytic leukemia 1	NM_003189	TAL1	1.621120403	0.034491159
CD34 antigen	M81104	CD34	1.620724114	0.008138437
Hepatic leukemia factor	X68985	HLF	1.59820216	0.0138738
Vascular cell adhesion molecule 1	NM_080682	VCAM1	1.566047414	0.009109278
Docking protein 1, 62kDa (downstream of tyrosine kinase 1)	NM_001381	DOK1	1.514489577	0.004832771
Interferon regulatory factor 4	U52682	IRF4	1.502630744	0.027486455
Polymerase (DNA directed), beta	NM_002690	POLB	1.493964009	0.016599896
Wilms tumor 1	NM_000378	WT1	1.452400903	0.025324108
J00277		1.437993827	0.040563119
CCAAT/enhancer binding protein (C/EBP), epsilon	NM_001805	CEBPE	1.431432425	0.02618104
Patched homolog (Drosophila)	U43148	PTCH	1.430280032	0.012066815
Bone morphogenetic protein 2	NM_001200	BMP2	1.422091181	0.032661066
RAD23 homolog B (S. cerevisiae)	BC020973	RAD23B	1.421282215	0.013207543
Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	NM_000076	CDKN1C	1.421123319	0.007094287
Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	NM_002971	SATB1	1.415921627	0.012399335
CD72 antigen	NM_001782	CD72	1.415828409	0.006682148
Myosin, light polypeptide 2, regulatory, cardiac, slow	NM_000432	MYL2	1.404451113	0.013798871
Wingless-type MMTV integration site family member 2	NM_003391	WNT2	1.392943814	0.016450267
Polymerase (DNA directed), beta	NM_002690	POLB	1.388515678	0.026062704
Signal transducer and activator of transcription 5A	NM_003152	STAT5A	1.386241284	0.030115864
Protein kinase C, beta 1	X07109	PRKCB1	1.381332277	0.01021725
Echinoderm microtubule associated protein like 1	NM_004434	EML1	1.380116324	0.04823452
Polymerase (DNA directed), alpha 2 (70kD subunit)	BC001347	POLA2	1.378665579	0.023845068
Mitogen-activated protein kinase kinase 5	NM_002757	MAP2K5	1.3733001	0.020256118
Interferon regulatory factor 8	NM_002163	IRF8	1.3699986	0.017490152
D50683		1.366137797	0.003961528
Peroxisomal biogenesis factor 6	NM_000287	PEX6	1.359891916	0.003819535
Forkhead box O1A (rhabdomyosarcoma)	NM_002015	FOXO1A	1.358156929	0.037571691
M35878		1.351618448	0.006876687
X07263		1.346531201	0.030278045
B-cell CLL/lymphoma 2	NM_000633	BCL2	1.3449326	0.017518464
Von Willebrand factor	NM_000552	VWF	1.34113459	0.047202232
E74-like factor 1 (ets domain transcription factor)	M82882	ELF1	1.33876338	0.031272437
D50683		1.334100946	0.010722325
Wilms tumor 1	NM_000378	WT1	1.327707631	0.016463429
BCL2-like 2	NM_004050	BCL2L2	1.327680883	0.011212098
BCL2-like 2	NM_004050	BCL2L2	1.313914318	0.011335744
Notch homolog 4 (Drosophila)	NM_004557	NOTCH4	1.313397932	0.009897902
Cyclin D2	NM_001759	CCND2	1.312709096	0.027494365
Estrogen receptor 1	NM_000125	ESR1	1.302187301	0.044981688
Protein kinase C, beta 1	X07109	PRKCB1	1.287012085	0.007802933
Hematopoietically expressed homeobox	NM_002729	HHEX	1.270610197	0.020709114
AL035668		1.270292314	0.008599528
Protein kinase, cAMP-dependent, catalytic, alpha	NM_002730	PRKACA	1.269322985	0.02694686
Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	NM_053056	CCND1	1.262623679	0.043208017
CD99 antigen	X16996	CD99	1.262308544	0.038553809
NM_018615		1.258460989	0.049532584
V-myb myeloblastosis viral oncogene homolog (avian)	NM_005375	MYB	1.258388632	0.049753925
Hypothetical protein LOC221810	NM_004956	ETV1	1.255370739	0.035574424
Diacylglycerol kinase, zeta 104kDa	NM_003646	DGKZ	1.250404124	0.039308886
Cell division cycle 25A	NM_001789	CDC25A	1.248253359	0.005525335
Bradykinin receptor B2	X86163	BDKRB2	1.248124384	0.015468637
GATA binding protein 1 (globin transcription factor 1)	NM_002049	GATA1	1.243487344	0.032964101
