Name	Symbol	UG Cluster	Known/probable Function	Fold change
CDK2-associated protein 1	CDK2AP1	Hs.433201	cell regulation	0.6
growth arrest and DNA-damage-inducible, alpha	GADD45A	Hs.80409	cell regulation	3
growth arrest and DNA-damage-inducible, beta	GADD45B	Hs.110571	cell regulation	2.7
serum-inducible kinase	SNK	Hs.398157	cell regulation	2.2
transducer of ERBB2, 2	TOB2	Hs.4994	cell regulation	1.8
WEE1 homolog (S. pombe)	WEE1	Hs.249441	cell regulation	1.8
eukaryotic translation initiation factor 5	EIF5	Hs.433702	GTP	1.6
Rho guanine nucleotide exchange factor (GEF) 11	ARHGEF11	Hs.371602	GTP	5.6
CD1C antigen, c polypeptide	CD1C	Hs.1311	immune response	1.5
CD59 antigen p18-20 (antigen identified by monoclonal ab)	CD59	Hs.278573	immune response	1.6
interferon, alpha-inducible protein 27	IFI27	Hs.278613	immune response	2
nuclear factor, interleukin 3 regulated	NFIL3	Hs.79334	immune response	1.7
adaptor-related protein complex 2, sigma 1 subunit	AP2S1	Hs.119591	transport	0.6
transport-secretion protein 2.2	TTS-2.2	Hs.118463	transport	0.6
DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	Hs.388392	transport	1.5
solute carrier family 29 (nucleoside transporters), member 1	SLC29A1	Hs.25450	transport	1.6
solute carrier family 34 (sodium phosphate), member 1	SLC34A1	Hs.936	transport	2.2
zinc finger protein 265	ZNF265	Hs.194718	transcription	0.6
activating transcription factor 4	ATF4	Hs.181243	transcription	1.7
aryl hydrocarbon receptor	AHR	Hs.170087	transcription	4.8
DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	DDX3X	Hs.380774	transcription	1.9
eukaryotic translation initiation factor 4A, isoform 2	EIF4A2	Hs.511904	transcription	1.6
heat shock 70kDa protein 1A	HSPA1A	Hs.75452	transcription	1.6
human immunodeficiency virus type I enhancer binding protein	HIVEP2	Hs.75063	transcription	1.5
interferon regulatory factor 1	IRF1	Hs.80645	transcription	1.6
polyribonucleotide nucleotidyltransferase 1	PNPT1	Hs.392004	transcription	1.5
RPA-binding trans-activator	RBT1	Hs.169138	transcription	1.6
TAF4 RNA polymerase II, (TBP)-associated factor, 135kDa	TAF4	Hs.24644	transcription	9.4
v-ets erythroblastosis virus E26 oncogene homolog 1	ETS1	Hs.18063	transcription	2.1
v-myc myelocytomatosis viral oncogene homolog (avian)	MYC	Hs.202453	transcription	2.8
zinc finger protein 278	ZNF278	Hs.27801	transcription	1.7
zinc finger protein 36, C3H type-like 1	ZFP36L1	Hs.85155	transcription	1.8
zinc finger protein 8 (clone HF.18)	ZNF8	Hs.2077	transcription	1.7
angiopoietin-like 4	ANGPTL4	Hs.9613	glycoprotein	2.2
ectodermal-neural cortex (with BTB-like domain)	ENC1	Hs.104925	neurogenesis	2.9
FLN29 gene product	FLN29	Hs.5148	signalling	1.5
integrin, beta 1 (fibronectin receptor, beta polypeptide)	ITGB1	Hs.287797	cell adhesion	1.5
ornithine decarboxylase antizyme inhibitor	OAZIN	Hs.223014	catalytic activity	2.3
proteasome (prosome, macropain) activator subunit 1	PSME1	Hs.75348	protease	1.7
proteasome (prosome, macropain) subunit, alpha type, 6	PSMA6	Hs.374499	peptidase	1.5
tripartite motif-containing 22	TRIM22	Hs.318501	zinc ion binding	1.6
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase	B3GNT5	Hs.257222	transferase	1.6
Homo sapiens cDNA clone IMAGE:4634703, partial cds		Hs.355815	unknown	0.7
hypothetical protein LOC118461	LOC118461	Hs.332030	unknown	0.6
Ras-like protein	TC10		unknown	0.5
glucose-6-phosphatase catalytic subunit-related	LOC92579	Hs.294005	unknown	2.6
Homo sapiens cDNA FLJ12420 fis, clone MAMMA1003049		Hs.464196	unknown	1.6
Homo sapiens mRNA; cDNA DKFZp564C2063		Hs.4055	unknown	2.1
HSPC189 protein	HSPC189	Hs.82482	unknown	4.5
hypothetical protein FLJ12484	FLJ12484	Hs.436102	unknown	1.6
hypothetical protein FLJ12886	FLJ12886	Hs.10116	unknown	1.8
hypothetical protein FLJ23548	FLJ23548	Hs.22895	unknown	1.6
hypothetical protein FLJ30594	FLJ30594	Hs.511861	unknown	1.8
hypothetical protein FLJ31952	FLJ31952	Hs.193490	unknown	1.9
hypothetical protein HSPC177	HSPC177	Hs.415534	unknown	1.6
hypothetical protein KIAA1259	KIAA1259	Hs.525807	unknown	3.8
hypothetical protein LOC338692	LOC338692	Hs.438673	unknown	3.7
hypothetical protein MGC13033	MGC13033	Hs.423808	unknown	1.6
KIAA0375 gene product	KIAA0375	Hs.26951	unknown	1.6
LIM and cysteine-rich domains 1	LMCD1	Hs.279943	unknown	3.8
