ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
223320_s_at	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	23456	1.848549
213485_s_at	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	89845	0.660033
209735_at	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	9429	3.59315
239579_at	ABHD7	Abhydrolase domain containing 7	253152	3.728354
209321_s_at	ADCY3	Adenylate cyclase 3	109	1.655267
218697_at	AF3P21	NCK interacting protein with SH3 domain	51517	1.329769
225342_at	AK3	Data not found	205	1.759713
201272_at	AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	231	1.453328
207163_s_at	AKT1	V-akt murine thymoma viral oncogene homolog 1	207	1.662454
203608_at	ALDH5A1	Aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	7915	2.903748
223094_s_at	ANKH	Ankylosis, progressive homolog (mouse)	56172	1.537873
228415_at	AP1S2	Adaptor-related protein complex 1, sigma 2 subunit	8905	1.458561
239435_x_at	APXL2	Apical protein 2	134549	1.844046
37117_at	ARHGAP8	Data not found	23779	0.664636
205980_s_at	ARHGAP8	Data not found	23779	0.726312
235333_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	9331	1.914047
204966_at	BAI2	Brain-specific angiogenesis inhibitor 2	576	3.403175
225606_at	BCL2L11	BCL2-like 11 (apoptosis facilitator)	10018	1.902089
223566_s_at	BCOR	BCL6 co-repressor	54880	1.778155
219433_at	BCOR	BCL6 co-repressor	54880	2.199221
231810_at	BRI3BP	BRI3 binding protein	140707	2.629058
225224_at	C20orf112	Chromosome 20 open reading frame 112	140688	2.180045
218796_at	C20orf42	Chromosome 20 open reading frame 42	55612	0.661328
227456_s_at	C6orf136	Chromosome 6 open reading frame 136	221545	1.406482
227455_at	C6orf136	Chromosome 6 open reading frame 136	221545	1.787535
232067_at	C6orf168	Chromosome 6 open reading frame 168	84553	5.190981
221766_s_at	C6orf37	Family with sequence similarity 46, member A	55603	1.536753
218309_at	CaMKIINalpha	Calcium/calmodulin-dependent protein kinase II	55450	2.077209
212252_at	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2, beta	10645	1.442086
201700_at	CCND3	Cyclin D3	896	1.848871
213523_at	CCNE1	Cyclin E1	898	6.067402
211814_s_at	CCNE2	Data not found	9134	4.605988
205034_at	CCNE2	Data not found	9134	12.13292
204440_at	CD83	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	9308	6.579805
212899_at	CDK11	Cell division cycle 2-like 6 (CDK8-like)	23097	2.190083
212897_at	CDK11	Cell division cycle 2-like 6 (CDK8-like)	23097	1.600315
219534_x_at	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	1028	4.51403
209644_x_at	CDKN2A	Data not found	1029	1.296433
204159_at	CDKN2C	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	1031	7.656186
204039_at	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	1050	4.377069
205567_at	CHST1	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	8534	2.377354
203921_at	CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	9435	2.267341
206756_at	CHST7	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	56548	3.265629
226215_s_at	CIT	Citron (rho-interacting, serine/threonine kinase 21)	11113	1.658627
211358_s_at	CIZ1	CDKN1A interacting zinc finger protein 1	25792	1.638706
204662_at	CP110	CP110 protein	9738	2.406959
209674_at	CRY1	Cryptochrome 1 (photolyase-like)	1407	2.559649
39966_at	CSPG5	Chondroitin sulfate proteoglycan 5 (neuroglycan C)	10675	3.710924
218898_at	CT120	Family with sequence similarity 57, member A	79850	1.937056
204190_at	D13S106E	Chromosome 13 open reading frame 22	10208	0.691601
209570_s_at	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	27065	1.586603
203302_at	DCK	Deoxycytidine kinase	1633	2.836702
222889_at	DCLRE1B	DNA cross-link repair 1B (PSO2 homolog, S. cerevisiae)	64858	3.106866
209094_at	DDAH1	Dimethylarginine dimethylaminohydrolase 1	23576	2.629128
226986_at	DKFZP434J154	WIPI49-like protein 2	26100	1.54437
204382_at	DKFZP564C103	Embryo brain specific protein	26151	0.621826
212730_at	DMN	Data not found	23336	7.188464
213088_s_at	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	23234	1.676663
221677_s_at	DONSON	Downstream neighbor of SON	29980	1.675359
207267_s_at	DSCR6	Down syndrome critical region gene 6	53820	2.867807
201908_at	DVL3	Dishevelled, dsh homolog 3 (Drosophila)	1857	1.515303
228033_at	E2F7	E2F transcription factor 7	144455	4.06866
204540_at	EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	1917	2.573621
214805_at	EIF4A1	Eukaryotic translation initiation factor 4A, isoform 1	1973	0.640968
201313_at	ENO2	Enolase 2 (gamma, neuronal)	2026	21.11962
219731_at	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	953	1.499271
227386_s_at	EPB41	Data not found	2035	2.078959
220161_s_at	EPB41L4B	Erythrocyte membrane protein band 4.1 like 4B	54566	1.494692
203499_at	EPHA2	EPH receptor A2	1969	0.53331
203358_s_at	EZH2	Enhancer of zeste homolog 2 (Drosophila)	2146	1.750031
203806_s_at	FANCA	Fanconi anemia, complementation group A	2175	3.017421
203805_s_at	FANCA	Fanconi anemia, complementation group A	2175	2.138861
212231_at	FBXO21	F-box protein 21	23014	1.686989
204768_s_at	FEN1	Flap structure-specific endonuclease 1	2237	2.102911
204767_s_at	FEN1	Flap structure-specific endonuclease 1	2237	3.983819
206404_at	FGF9	Fibroblast growth factor 9 (glia-activating factor)	2254	4.428126
204379_s_at	FGFR3	Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	2261	4.229377
218974_at	FLJ10159	Hypothetical protein FLJ10159	55084	3.349233
219760_at	FLJ10490	Hypothetical protein FLJ10490	55150	2.733259
228774_at	FLJ12643	Chromosome 9 open reading frame 81	84131	1.611898
204365_s_at	FLJ13110	Chromosome 2 open reading frame 23	65055	1.951871
204364_s_at	FLJ13110	Chromosome 2 open reading frame 23	65055	3.980118
222760_at	FLJ14299	Hypothetical protein FLJ14299	80139	3.410435
226487_at	FLJ14721	Hypothetical protein FLJ14721	84915	4.005354
223171_at	FLJ20071	Dymeclin	54808	1.509261
218510_x_at	FLJ20152	Hypothetical protein FLJ20152	54463	1.634543
217899_at	FLJ20254	Hypothetical protein FLJ20254	54867	1.555499
225139_at	FLJ21918	Hypothetical protein FLJ21918	80004	1.636646
226925_at	FLJ23751	Acid phosphatase-like 2	92370	1.756039
230137_at	FLJ30834	Hypothetical protein FLJ30834	132332	11.34214
226132_s_at	FLJ31434	mannosidase, endo-alpha-like	149175	2.976652
235144_at	FLJ31614	RAS and EF hand domain containing	158158	3.441808
1553986_at	FLJ31614	RAS and EF hand domain containing	158158	2.052649
236219_at	FLJ33990	Transmembrane protein 20	159371	4.679337
244297_at	FLJ35740	Data not found	253650	2.328871
233592_at	FLJ35740	Data not found	253650	1.911143
240161_s_at	FLJ37927	CDC20-like protein	166979	5.228807
227475_at	FOXQ1	Forkhead box Q1	94234	1.441922
219889_at	FRAT1	Frequently rearranged in advanced T-cell lymphomas	10023	1.443055
226348_at	FUT11	Data not found	170384	1.939812
204452_s_at	FZD1	Frizzled homolog 1 (Drosophila)	8321	2.13529
204451_at	FZD1	Frizzled homolog 1 (Drosophila)	8321	2.015659
204224_s_at	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	2643	3.896697
234192_s_at	GKAP42	G kinase anchoring protein 1	80318	4.610814
229312_s_at	GKAP42	G kinase anchoring protein 1	80318	2.380969
205280_at	GLRB	Glycine receptor, beta	2743	2.556715
206355_at	GNAL	Guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	2774	1.405818
214157_at	GNAS	GNAS complex locus	2778	2.819584
227769_at	GPR27	G protein-coupled receptor 27	2850	4.107843
242517_at	GPR54	G protein-coupled receptor 54	84634	4.895228
227471_at	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	57531	1.876027
218603_at	HECA	Headcase homolog (Drosophila)	51696	1.653098
242890_at	HELLS	Helicase, lymphoid-specific	3070	1.530364
44783_s_at	HEY1	Hairy/enhancer-of-split related with YRPW motif 1	23462	2.947573
218839_at	HEY1	Hairy/enhancer-of-split related with YRPW motif 1	23462	10.83542
222996_s_at	HSPC195	CXXC finger 5	51523	1.46609
205449_at	HSU79266	SAC3 domain containing 1	29901	3.194776
224361_s_at	IL17RB	Interleukin 17 receptor B	55540	4.991003
224156_x_at	IL17RB	Interleukin 17 receptor B	55540	2.975756
219255_x_at	IL17RB	Interleukin 17 receptor B	55540	3.68079
205067_at	IL1B	Interleukin 1, beta	3553	0.651472
205258_at	INHBB	Inhibin, beta B (activin AB beta polypeptide)	3625	2.568353
227432_s_at	INSR	Insulin receptor	3643	2.012723
226216_at	INSR	Insulin receptor	3643	2.027351
229139_at	JPH1	Junctophilin 1	56704	2.301273
222668_at	KCTD15	Potassium channel tetramerisation domain containing 15	79047	1.47786
222664_at	KCTD15	Potassium channel tetramerisation domain containing 15	79047	1.594396
238077_at	KCTD6	Potassium channel tetramerisation domain containing 6	200845	2.910653
209781_s_at	KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3	10656	2.294638
212057_at	KIAA0182	KIAA0182 protein	23199	1.588571
212056_at	KIAA0182	KIAA0182 protein	23199	1.91479
206102_at	KIAA0186	DNA replication complex GINS protein PSF1	9837	2.159301
1569796_s_at	KIAA0534	Attractin-like 1	26033	3.071132
212492_s_at	KIAA0876	Jumonji domain containing 2B	23030	0.739083
212792_at	KIAA0877	KIAA0877 protein	23333	1.680948
212956_at	KIAA0882	KIAA0882 protein	23158	2.143819
228051_at	KIAA1244	KIAA1244	57221	2.722623
218829_s_at	KIAA1416	Chromodomain helicase DNA binding protein 7	55636	1.464328
218418_s_at	KIAA1518	Ankyrin repeat domain 25	25959	1.451792
231851_at	KIAA1579	Hypothetical protein FLJ10770	55225	2.038515
228565_at	KIAA1804	Mixed lineage kinase 4	84451	2.124044
226796_at	LOC116236	Hypothetical protein LOC116236	116236	6.47382
227804_at	LOC116238	Data not found	116238	2.026455
229582_at	LOC125476	Chromosome 18 open reading frame 37	125476	0.615068
226702_at	LOC129607	Hypothetical protein LOC129607	129607	4.67036
235391_at	LOC137392	Similar to CG6405 gene product	137392	2.631262
235177_at	LOC151194	Similar to hepatocellular carcinoma-associated antigen HCA557b	151194	2.447971
212771_at	LOC221061	Chromosome 10 open reading frame 38	221061	1.337165
221823_at	LOC90355	Hypothetical gene supported by AF038182; BC009203	90355	1.353658
225650_at	LOC90378	Sterile alpha motif domain containing 1	90378	2.296976
211596_s_at	LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1	26018	1.470194
212850_s_at	LRP4	Low density lipoprotein receptor-related protein 4	4038	2.081775
212282_at	MAC30	Hypothetical protein MAC30	27346	2.442319
212281_s_at	MAC30	Hypothetical protein MAC30	27346	2.758573
212279_at	MAC30	Hypothetical protein MAC30	27346	2.092923
207069_s_at	MADH6	SMAD, mothers against DPP homolog 6 (Drosophila)	4091	12.04714
225478_at	MFHAS1	Malignant fibrous histiocytoma amplified sequence 1	9258	1.521719
218358_at	MGC11256	Hypothetical protein MGC11256	79174	2.005251
233480_at	MGC3222	Transmembrane protein 43	79188	0.663604
226912_at	MGC42530	Zinc finger, DHHC domain containing 23	254887	5.824836
235005_at	MGC4562	Hypothetical protein MGC4562	115752	1.759755
226605_at	MGC4618	Hypothetical protein MGC4618	84286	0.714527
227764_at	MGC52057	Hypothetical protein MGC52057	130574	4.569825
222728_s_at	MGC5306	Hypothetical protein MGC5306	79101	0.511882
218750_at	MGC5306	Hypothetical protein MGC5306	79101	0.606297
201764_at	MGC5576	Hypothetical protein MGC5576	79022	3.008889
203365_s_at	MMP15	Matrix metalloproteinase 15 (membrane-inserted)	4324	15.44421
225185_at	MRAS	Muscle RAS oncogene homolog	22808	1.777348
204798_at	MYB	V-myb myeloblastosis viral oncogene homolog (avian)	4602	7.59093
201970_s_at	NASP	Nuclear autoantigenic sperm protein (histone-binding)	4678	1.949574
221805_at	NEFL	Neurofilament, light polypeptide 68kDa	4747	4.786395
222774_s_at	NETO2	Neuropilin (NRP) and tolloid (TLL)-like 2	81831	1.804593
218888_s_at	NETO2	Neuropilin (NRP) and tolloid (TLL)-like 2	81831	2.35614
225921_at	NIN	Ninein (GSK3B interacting protein)	51199	1.65934
209505_at	NR2F1	Nuclear receptor subfamily 2, group F, member 1	7025	5.155462
206550_s_at	NUP155	Nucleoporin 155kDa	9631	1.958611
227379_at	OACT1	O-acyltransferase (membrane bound) domain containing 1	154141	2.025746
226350_at	OPN3	Opsin 3 (encephalopsin, panopsin)	23596	2.507682
230104_s_at	p25	Brain-specific protein p25 alpha	11076	4.127585
201202_at	PCNA	Proliferating cell nuclear antigen	5111	2.673153
219295_s_at	PCOLCE2	Procollagen C-endopeptidase enhancer 2	26577	2.073515
212522_at	PDE8A	Phosphodiesterase 8A	5151	1.613526
212094_at	PEG10	Paternally expressed 10	23089	5.584439
212092_at	PEG10	Paternally expressed 10	23089	3.976614
244677_at	PER1	Period homolog 1 (Drosophila)	5187	0.584531
202464_s_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	5209	1.901443
225048_at	PHF10	PHD finger protein 10	55274	1.893002
219126_at	PHF10	PHD finger protein 10	55274	2.068682
212726_at	PHF2	PHD finger protein 2	5253	1.984269
209780_at	PHTF2	Putative homeodomain transcription factor 2	57157	2.023955
202927_at	PIN1	Protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	5300	2.699363
226299_at	pknbeta	Protein kinase N3	29941	2.63567
216218_s_at	PLCL2	Phospholipase C-like 2	23228	7.250599
38671_at	PLXND1	Plexin D1	23129	2.439598
216026_s_at	POLE	Polymerase (DNA directed), epsilon	5426	2.336089
205909_at	POLE2	Polymerase (DNA directed), epsilon 2 (p59 subunit)	5427	2.18806
