RZPD clone name	IMAGE clone	Feature description	Genename	Chromosome	50% CIS	75% CIS	100% CIS
IMAGp998H205397;IMAGp971F23125	2184259	POU domain, class 5, transcription factor 1	POU5F1	6p21.31	17.8	13.6	50.4
IMAGp998N195554;IMAGp971M1993	2244690	Nanog homeobox	NANOG	12p13.2	10.3	15.4	33.2
IMAGp998G08223;IMAGp971H0410	147103	hXBP-1 transcription factor	hXBP1		2	30	25.5
IMAGp998L121746;IMAGp971A1243	712859	X inactivation transcipt (XIST)	XIST		4.5	8.2	24.6
IMAGp998F08222;IMAGp971F0410	146695				23.8	14.7	24.6
IMAGp998A06220;IMAGp971B0610	145805	TMF1 TATA element modulatory factor 1	TMF1		24.8	27.6	16.6
IMAGp998D203167;IMAGp971C1959	1258339	LIN28 lin-28 homolog (C. elegans)	LIN28	1p35.3	3.6	4.7	15
IMAGp998D054091;IMAGp971C0466	1613140	developmental pluripotency associated 5; embryonal stem cell specific gene 1		11p15.4	10.1	14	15
IMAGp998K241161;IMAGp971D2341	488207	Homo sapiens lung type-I cell membrane-associated protein hT1a-2 (hT1a-2) mRNA	T1A-2	1p36	6.6	7.3	14.8
IMAGp998J095673;IMAGp971I09130	2290280				2.9	3.2	14.2
IMAGp998I175722;IMAGp971I1796	2309080				3.3	8.7	14.2
IMAGp998J105673;IMAGp971E17130	2290281				2.5	3.8	12.9
IMAGp998N115245;IMAGp971I0390	2126026	SLC7A3 solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	SLC7A3	Xq12	2.6	2.1	12.3
IMAGp998J05529;IMAGp971I0522	245476			14	6.7	4.5	11.4
IMAGp998A03577;IMAGp971A0324	263690			6	NA	2.7	10
IMAGp998H234408;IMAGp971G2474	1734982	FLJ10884 hypothetical protein FLJ10884		1p32.1	2.3	3.7	10
IMAGp998G13226;IMAGp971F0610	148260				19.4	16.4	9.9
IMAGp998J23134;IMAGp971H236	129142			7	NA	5.8	9.1
IMAGp998K225545;IMAGp971L2192	2241165				2.9	4.8	9
IMAGp998O13174;IMAGp971K14115	41565	MYCN v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN	2p24.1	2.2	4.8	8.7
IMAGp998N121162;IMAGp971O1341	488651	MGC16491 hypothetical protein MGC16491		1p35.3	3.8	3.8	8.6
IMAGp998H07676;IMAGp971G1031	301878	SCGB3A2 secretoglobin, family 3A, member 2	SCGB3A2	5q32	2.7	5.2	8.3
IMAGp998B171780;IMAGp971G1744	725680	TFAP2C transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) (ERF-1)	TFAP2C	20q13.2	2.4	3.8	8.2
IMAGp998A2488;IMAGp971B232	111647	EFEMP1 EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	2p16	5.6	3.1	8.2
IMAGp998H01154;IMAGp971C01113	32759	NFE2L3 nuclear factor (erythroid-derived 2)-like 3	NFE2L3	7p15-p14	3.5	6.1	8.1
IMAGp998J02274;IMAGp971K01117	46959	Human pim-2 protooncogene homolog pim-2h mRNA, complete cds	PIM2	Xp11.23	2.5	2.5	8
IMAGp998L10121;IMAGp971M185	124569	Human normal keratinocyte substraction library mRNA, clone H22a, complete sequence		2	2.9	2.9	8
IMAGp998J075711;IMAGp971J1294	2304870	MYBL2 v-myb myeloblastosis viral oncogene homolog (avian)-like 2	MYBL2		2.7	2.8	7.7
IMAGp998N06536;IMAGp971P1522	248261	glycine dehydrogenase (glycine cleavage system protein P)	GLDC	9p22	2.8	3.7	7.5
IMAGp998M17826;IMAGp971N1034	359608	LBP protein likely ortholog of mouse CRTR-1	LBP-9	2q14	2.8	3.2	7.4
IMAGp998P11794;IMAGp971O0935	347386	RAB15 RAB15, member RAS onocogene family	RAB15	14	3.4	4.3	7.4
IMAGp998O08148;IMAGp971M05112	30149	Human mRNA for liver-type alkaline phosphatase	ALPL	1p36.1-p34	1.9	2.4	7.3
IMAGp998C095623;IMAGp971I0993	2270912				5.1	3.7	7.3
IMAGp998O205798;IMAGp971P1197	2337259	PRDM1 PR domain containing 1, with ZNF domain	PRDM1	6	6	6.4	7.1
IMAGp998A10192;IMAGp971B108	135057	UP uridine phosphorylase	UP		2.3	3.3	7.1
IMAGp998F20979;IMAGp971E2038	418195	ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens]			1.5	3	6.9
IMAGp998B095717;IMAGp971C1895	2306984				2	6.9	6.7
IMAGp998M125582;IMAGp971H07127	2255411	ESTs, Highly similar to AF198488 1 transcription factor LBP-9 [H.sapiens]			2.5	4.9	6.7
IMAGp998M154512;IMAGp971N1778	1844534				2.5	3.5	6.6
IMAGp998M144547;IMAGp971G0981	1857973				2.4	4.3	6.4
IMAGp998L105312;IMAGp971P0590	2151705	HLXB9 homeo box HB9	HLXB9		1.7	3.1	6.3
IMAGp998D201008;IMAGp971D2339	429283	pleckstrin homology-like domain, family A, member 3	PHLDA3	1q31	3.1	2.7	6.2
IMAGp998H065732;IMAGp971C0596	2312885				2.2	3.1	6.1
IMAGp998H084295;IMAGp971G0772	1691575	COL22A1 collagen, type XXII, alpha 1	COL22A1		2	3.3	6.1
IMAGp998F176102;IMAGp971E15132	2453776				1.3	4.3	6.1
IMAGp998K013431;IMAGp971J01106	1359864				2.4	3.5	6
IMAGp998M23174;IMAGp971P24114	41558			1	6	5.9	6
IMAGp998C17793;IMAGp971B1734	346696	Human transcription factor RTEF-1 (RTEF1) mRNA, complete cds	TEAD4	12p13.2-p13.3	2	2.8	5.9
IMAGp998O144918;IMAGp971P13122	2000485	T-cell leukemia/lymphoma 1B or TCL6 T-cell leukemia/lymphoma 6	TCL1B, TCL6	14q32.1	1.7	4	5.9
IMAGp998O021010;IMAGp971O0139	430297	Human E1A enhancer binding protein (E1A-F) mRNA, partial cds	ETV4	17q21	3.8	3.1	5.8
IMAGp998E201114;IMAGp971J1941	470011	Human mRNA for fibroblast tropomyosin TM30 (pl)	DKFZP762N0610	1p36.13	2.2	3.3	5.7
IMAGp998H224299;IMAGp971D2472	1693125				2.1	2.8	5.6
IMAGp998O01590;IMAGp971P0124	269016	Human KIT protein and alternatively spliced KIT protein (KIT) gene, complete cds	KIT	4p11-q12	3	2.3	5.5
IMAGp998G195647;IMAGp971J18129	2280234				2.3	3	5.5
IMAGp998K06166;IMAGp971K05114	38228	low density lipoprotein receptor-related protein 4	LRP4	11p11.2-p12	4.2	4.5	5.5
IMAGp998D03384;IMAGp971E0415	200018	H.sapiens mRNA for Tcell leukemia/lymphoma 1	TCL1A	14q32.1	2.7	3.1	5.5
IMAGp998E01223;IMAGp971D0610	147048	Homo sapiens endothelial cell protein C/APC receptor (EPCR) mRNA, complete cds	PROCR	20	14.1	7.6	5.4
IMAGp998N01368;IMAGp971J0814	194112	Homo sapiens PB39 mRNA, complete cds	POV1	11p11.2-p11.1	2.2	2.3	5.4
IMAGp998D054941;IMAGp971D0184	2009044				1.3	2.3	5.3
IMAGp998A17115;IMAGp971B104	122008	long-chain fatty-acyl elongase	LCE	4q25	NA	5.2	5.3
IMAGp998K035709;IMAGp971J0394	2304122				1.8	3.7	5.3
IMAGp998F13278;IMAGp971K05119	48538	ETV5 ets variant gene 5 (ets-related molecule)	ETV5	3q28	2.1	2.8	5.3
IMAGp998B06202;IMAGp971A069	138917	Human L-myc protein gene, complete cds		1	1.9	2.8	5.2
IMAGp998E1783;IMAGp971E141	109816	DNA helicase homolog PIF1	PIF1	15q22.1	1.9	2.5	5.1
IMAGp998L095608;IMAGp971N09128	2265368	Homo sapiens cDNA FLJ10417 fis, clone NT2RP1000112		7	2	4.7	5.1
