Probe Set ID	Symbol	Description	Map	Fold Change	P
41633_at	SENP3	sentrin/SUMO-specific protease 3	17p13	0.67	7.42E-09
37411_at	CENTB1	centaurin, beta 1	17	0.56	2.77E-08
38667_at	LOC51031	CGI-150 protein	17p13	0.64	8.36E-08
35653_at	GPS2	G protein pathway suppressor 2	17p13	0.68	8.65E-08
36234_at	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	17p13	0.53	4.68E-07
41394_at	PLD2	phospholipase D2	17p13.1	0.66	4.87E-07
37298_at	GABARAP	GABA(A) receptor-associated protein	17	0.74	7.39E-07
35753_at	PRP8	U5 snRNP-specific protein (220 kD), ortholog of S. cerevisiae Prp8p	17p13.3	0.69	2.07E-06
1199_at	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	17p13	0.68	3.46E-06
40825_at	MAPRE3	microtube-associated protein, RP/EB family, member 3	2p23.3-p23.1	0.73	6.92E-06
1939_at	TP53	tumor protein p53 (Li-Fraumeni syndrome)	17p13.1	0.62	1.28E-05
33744_at	GEMIN4	gem (nuclear organelle) associated protein 4	17p13	0.59	1.95E-05
32393_s_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like	4q13-q21	1.84	2.08E-05
35265_at	FXR2	fragile X mental retardation, autosomal homolog 2	17p13.1	0.7	3.17E-05
40198_at	VDAC1	voltage-dependent anion channel 1	5q31	1.34	5.01E-05
1838_g_at	TC21	oncogene TC21	11pter-p15.5	0.57	5.18E-05
38626_at	KIAA0399	KIAA0399 protein	17p13	0.68	6.98E-05
1837_at	NA	NA	NA	0.59	7.06E-05
35812_at	TRN-SR	transportin-SR	7	0.79	7.96E-05
39400_at	KIAA1055	KIAA1055 protein	15	0.72	1.26E-04
38435_at	PRDX4	peroxiredoxin 4	X	1.45	1.43E-04
31776_at	NA	NA	NA	0.71	1.52E-04
39833_at	MINK	Misshapen/NIK-related kinase	19p13	0.69	1.52E-04
37990_at	RYR1	ryanodine reecptor 1 (skeletal)	19q13.1	2.62	1.53E-04
36554_at	ASMTL	acetylserotonin O-methyltransferase-like	Xp22.3, Yp11.3	0.7	1.71E-04
38811_at	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2q35	1.41	1.79E-04
