Rank	ProbeSet	A	P-Value	High=>	Gene	Chromosome	Description
1	37471_at	0.905	0	Group1	RNASEP1	6p25.1	ribonuclease P1
2	1942_s_at	0.864	0	Group1	CDK4	12q14	cyclin-dependent kinase 4
3	41746_at	0.860	0	Group1	NHP2L1	22q13.2-q13.31	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
4	33255_at	0.857	0	Group1	NASP	1p34.1	nuclear autoantigenic sperm protein (histone-binding)
5	1782_s_at	0.851	0	Group1	STMN1	1p36.1-p35	stathmin 1/oncoprotein 18
6	37686_s_at	0.845	0	Group1	UNG	12q23-q24.1	uracil-DNA glycosylase
7	34845_at	0.844	0	Group1	CGI-51	22q13.31	CGI-51 protein
8	36027_at	0.839	0	Group1	POLR2F	22q13.1	polymerase (RNA) II (DNA directed) polypeptide F
9	40774_at	0.834	0.000001	Group1	CCT3	1q23	chaperonin containing TCP1, subunit 3 (gamma)
10	38384_at	0.833	0.000001	Group1	GART	21q22.11	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
11	38720_at	0.833	0.000001	Group1	CCT7	2p13.2	chaperonin containing TCP1, subunit 7 (eta)
12	1750_at	0.831	0.000001	Group1	FARSL	19p13.2	phenylalanine-tRNA synthetase-like
13	39073_at	0.831	0.000001	Group1	NME1	17q21.3	non-metastatic cells 1, protein (NM23A) expressed in
14	1985_s_at	0.830	0.000001	Group1	NME1	17q21.3	non-metastatic cells 1, protein (NM23A) expressed in
15	1081_at	0.829	0.000002	Group1	ODC1	2p25	ornithine decarboxylase 1
16	38513_at	0.829	0.000002	Group1	POP1	8q22.1	processing of precursors 1
17	31838_at	0.828	0.000002	Group1	HSU79274	12q24.13	protein predicted by clone 23733
18	33334_at	0.826	0.000002	Group1	ACYP1	14q24.3	acylphosphatase 1, erythrocyte (common) type
19	41788_i_at	0.824	0.000003	Group2	KIAA0669	3q25.1	KIAA0669 gene product
20	41569_at	0.823	0.000003	Group1	DNAJC9	10q22.3	DnaJ (Hsp40) homolog, subfamily C, member 9
21	37887_at	0.822	0.000004	Group1	CHEK2	22q12.1	CHK2 checkpoint homolog (S. pombe)
22	35621_at	0.819	0.000006	Group1	PMVK	1p13-q23	phosphomevalonate kinase
23	1884_s_at	0.816	0.000008	Group1	PCNA	20pter-p12	proliferating cell nuclear antigen
24	1751_g_at	0.816	0.000008	Group1			Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence
25	2025_s_at	0.813	0.000012	Group1	APEX1	14q11.2-q12	APEX nuclease (multifunctional DNA repair enzyme)1
26	32799_at	0.812	0.000013	Group1	SCAMP3	1q21	secretory carrier membrane protein 3
27	35523_at	0.811	0.000014	Group1	PGDS	4q22.3	prostaglandin D2 synthase, hematopoietic
28	38811_at	0.811	0.000015	Group1	ATIC	2q35	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
29	673_at	0.811	0.000015	Group1	MTHFD1	14q24	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase,formyltetrahydrofolate synthetase
30	36203_at	0.810	0.000018	Group1	ODC1	2p25	ornithine decarboxylase 1
31	41460_at	0.809	0.000018	Group1	RBM14	11q13.1	RNA binding motif protein 14
32	41749_at	0.809	0.000019	Group1	C21orf33	21q22.3	chromosome 21 open reading frame 33
33	34829_at	0.808	0.00002	Group1	DKC1	Xq28	dyskeratosis congenita 1, dyskerin
34	41146_at	0.808	0.00002	Group1	ADPRT	1q41-q42	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
35	1248_at	0.808	0.000021	Group1	POLR2H	3q28	polymerase (RNA) II (DNA directed) polypeptide H
36	33865_at	0.808	0.000021	Group1	BS69	10p14	adenovirus 5 E1A binding protein
37	37666_at	0.808	0.000022	Group1	PSMB5	14q11.2	proteasome (prosome, macropain) subunit, beta type, 5
38	35631_at	0.807	0.000023	Group1	POLR2H	3q28	polymerase (RNA) II (DNA directed) polypeptide H
39	38094_at	0.806	0.000027	Group1	HNRPAB	5q35.3	heterogeneous nuclear ribonucleoprotein A/B
40	34651_at	0.803	0.000036	Group1	COMT	22q11.21	catechol-O-methyltransferase
41	33252_at	0.803	0.000037	Group1	MCM3	6p12	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
42	31863_at	0.803	0.000038	Group1	KIAA0179	21q22.3	KIAA0179 protein
43	40846_g_at	0.802	0.000041	Group1	ILF3	19p13.2	interleukin enhancer binding factor 3, 90kDa
44	1840_g_at	0.802	0.000045	Group1			Ras-Like Protein Tc4
45	33195_at	0.801	0.000046	Group1	DHODH	16q22	dihydroorotate dehydrogenase
46	35256_at	0.801	0.000047	Group1	SLC5A6	2p23	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
47	41448_at	0.801	0.000048	Group2	HOXA10	7p15-p14	homeo box A10
47	36968_s_at	0.801	0.000048	Group1	OIP2	13q13.1	Opa-interacting protein 2
49	35312_at	0.801	0.000049	Group1	MCM2	3q21	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
50	36830_at	0.800	0.000054	Group1	MIPEP	13q12	mitochondrial intermediate peptidase
