Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.12h_Signal	L3.12h_Signal	L4.12h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
1053_at	RFC2	0.043833	replication factor C (activator 1) 2, 40kDa	DNA replication	nucleotide binding	nucleus	DNA_replication	GENMAPP/KEGG	-1.4	-0.89	0.23	0.6	0.68	0.98
200020_at	TARDBP	0.038839	TAR DNA binding protein	nuclear mRNA splicing, via spliceosome	transcription factor activity	nucleus			-0.35	-0.17	-0.93	0.07	0.56	0.83
200635_s_at	PTPRF	0.030534	protein tyrosine phosphatase, receptor type, F	protein amino acid dephosphorylation	receptor activity	integral to plasma membrane	 	 	0.11	-1.4	-1.22	1.19	1.02	0.46
200659_s_at	PHB	0.000701	prohibitin	regulation of cell cycle	transcriptional activator activity	perinuclear space	 	 	-0.7	-1.31	-0.87	0.84	0.92	1.16
200699_at	KDELR2	0.044139	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	intracellular protein transport	receptor activity	endoplasmic reticulum	 	 	-0.23	-0.96	-0.26	0.04	0.59	0.83
200753_x_at	SFRS2	0.048384	splicing factor, arginine/serine-rich 2	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus	 	 	-1.12	-0.3	-1.37	-0.23	1.56	1.29
200767_s_at	C9orf10	0.029626	chromosome 9 open reading frame 10	 	 	 	 	 	-0.16	-0.79	-0.46	0.31	0.9	0.2
200795_at	SPARCL1	0.005218	SPARC-like 1 (mast9, hevin)	 	calcium ion binding	extracellular matrix	 	 	-1.05	-0.46	-0.63	0.82	0.35	0.97
200828_s_at	ZNF207	0.009226	zinc finger protein 207	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-0.17	-0.34	-0.74	0.33	0.5	0.44
200841_s_at	EPRS	0.012654	glutamyl-prolyl-tRNA synthetase	 	tRNA-synt_1c;glutamate-tRNA ligase activity;4.1e-185	 	Arginine and proline metabolism	GENMAPP/KEGG	-0.62	-0.72	-0.94	0.31	0.48	1.37
200880_at	DNAJA1	0.031417	DnaJ (Hsp40) homolog, subfamily A, member 1	protein folding	chaperone activity	 	Circadian_Exercise	GENMAPP/KEGG	-0.22	-0.7	-0.14	0.1	0.44	0.54
200881_s_at	DNAJA1	0.017261	DnaJ (Hsp40) homolog, subfamily A, member 1	protein folding	chaperone activity	 	Circadian_Exercise	GENMAPP/KEGG	-0.28	-0.88	-0.78	0.51	0.24	1.14
200892_s_at	SFRS10	0.03671	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus	 	 	-0.81	-0.62	-0.42	-0.11	1.17	0.71
200893_at	SFRS10	0.041366	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus	 	 	-0.71	-0.79	0.1	0.3	0.36	0.77
200906_s_at	KIAA0992	0.029649	palladin	 	 	 	 	 	-0.41	-1.11	-0.79	0.07	0.63	1.47
200995_at	IPO7	0.02187	importin 7	protein-nucleus import, docking	small GTPase regulatory/interacting protein activity	soluble fraction	 	 	-0.57	-1.12	-0.2	0.33	0.52	1.06
201125_s_at	ITGB5	0.012614	integrin, beta 5	cell-matrix adhesion	receptor activity	integrin complex	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-1	-1.26	-1.47	2.1	0.88	0.32
201142_at	EIF2S1	0.021463	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	 	S1;RNA binding;3.2e-16	 	Translation_Factors	GENMAPP/KEGG	-0.03	-1.09	-1.05	0.41	0.72	1.11
201144_s_at	EIF2S1	0.016593	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	 	S1;RNA binding;3.2e-16	 	Translation_Factors	GENMAPP/KEGG	-0.73	-0.22	-1.01	0.31	0.54	1.1
201225_s_at	SRRM1	0.011563	serine/arginine repetitive matrix 1	mRNA processing	 	 	 	 	-0.77	-0.28	-0.26	0.28	0.64	0.4
201388_at	PSMD3	0.025596	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	 	 	proteasome complex (sensu Eukarya)	Proteasome_Degradation	GENMAPP/KEGG	-0.46	-0.78	-0.6	0.15	0.35	1.23
201420_s_at	MEP50	0.033109	MEP50 protein	 	 	 	 	 	-0.65	-0.91	-0.33	0.36	0.16	1.28
201528_at	RPA1	0.028998	replication protein A1, 70kDa	DNA-dependent DNA replication	single-stranded DNA binding	nucleus	DNA_replication	GENMAPP/KEGG	-0.55	-0.46	-0.07	0.19	0.21	0.67
201633_s_at	CYB5-M	0.019005	cytochrome b5 outer mitochondrial membrane precursor	 	 	 	 	 	-0.66	-0.52	-0.29	0.56	0.84	0.05
201714_at	TUBG1	0.036064	tubulin, gamma 1	meiotic spindle assembly	structural constituent of cytoskeleton	condensed nuclear chromosome	 	 	-0.86	-0.99	0.09	0.32	0.92	0.58
201742_x_at	SFRS1	0.028588	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	 	rrm;nucleic acid binding;6.1e-21	 	 	 	-0.45	-0.5	-0.84	0.25	0.23	1.21
201787_at	FBLN1	0.04001	fibulin 1	 	extracellular matrix structural constituent	extracellular	 	 	-0.68	-0.43	-0.39	0.5	1.01	-0.08
201821_s_at	TIMM17A	0.041235	translocase of inner mitochondrial membrane 17 homolog A (yeast)	protein-mitochondrial targeting	protein translocase activity	mitochondrion	 	 	-0.74	-0.8	-0.99	1.57	0.95	-0.25
201822_at	TIMM17A	0.025733	translocase of inner mitochondrial membrane 17 homolog A (yeast)	protein-mitochondrial targeting	protein translocase activity	mitochondrion	 	 	-0.73	0.02	-0.81	0.25	0.64	0.66
201935_s_at	EIF4G3	0.031268	eukaryotic translation initiation factor 4 gamma, 3	protein biosynthesis	RNA cap binding	eukaryotic translation initiation factor 4F complex	 	 	-0.24	-0.23	-0.18	0.37	0.31	-0.05
202035_s_at	SFRP1	0.038719	secreted frizzled-related protein 1	anti-apoptosis	transmembrane receptor activity	extracellular space	 	 	-0.44	-1.07	-0.1	0.13	0.68	0.84
202043_s_at	SMS	0.046068	spermine synthase	 	Spermine_synth;catalytic activity;2.8e-113	 	Urea cycle and metabolism of amino groups	GENMAPP/KEGG	-0.36	-1.09	-0.27	0.36	0.17	1.15
202085_at	TJP2	0.038394	tight junction protein 2 (zona occludens 2)	PDZ;intracellular signaling cascade;5.8e-21	guanylate kinase activity	nucleus	 	 	-0.53	-0.63	-0.58	1.16	0.57	-0.11
202153_s_at	NUP62	0.020147	nucleoporin 62kDa	transport	structural constituent of nuclear pore	nucleus	 	 	-0.22	-0.44	-0.77	0.78	0.55	0.1
202186_x_at	PPP2R5A	0.041365	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	signal transduction	protein binding	protein phosphatase type 2A complex	Glycogen_Metabolism	GENMAPP/KEGG	-0.45	-0.23	-0.11	0.11	0.11	0.56
202403_s_at	COL1A2	0.048209	collagen, type I, alpha 2	 	extracellular matrix structural constituent	collagen	Inflammatory_Response_Pathway	GENMAPP/KEGG	-0.12	-1.71	-0.38	0.71	1.29	0.45
202448_s_at	C9orf60	0.025867	chromosome 9 open reading frame 60	 	 	 	 	 	-0.57	-1.1	-0.03	0.33	0.76	0.68
202578_s_at	FLJ11126	0.018427	hypothetical protein FLJ11126	 	nucleic acid binding	 	 	 	-0.81	-0.96	-0.4	0.47	0.27	1.34
202641_at	ARL3	0.031572	ADP-ribosylation factor-like 3	G-protein coupled receptor protein signaling pathway	signal transducer activity	 	 	 	-0.56	0.01	-0.43	0.12	0.39	0.48
202676_x_at	FASTK	0.022397	FAST kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity	 	 	 	-1.73	-0.39	-1.08	0.48	0.74	1.89
202831_at	GPX2	0.006498	glutathione peroxidase 2 (gastrointestinal)	response to oxidative stress	peroxidase activity	cytoplasm	Glutathione metabolism	GENMAPP/KEGG	-0.48	-1.73	-1.1	0.67	1.33	1.42
202882_x_at	NOL7	0.037675	nucleolar protein 7, 27kDa	 	 	 	 	 	-0.81	-0.6	-0.25	0.11	0.33	1.15
202911_at	MSH6	0.027789	mutS homolog 6 (E. coli)	mismatch repair	damaged DNA binding	nucleus	 	 	-0.81	-0.57	-0.42	0.25	0.23	1.22
202952_s_at	ADAM12	0.001423	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	 	Pep_M12B_propep;metalloendopeptidase activity;4.3e-47	 	 	 	-1.4	-0.83	-1.25	1.2	0.71	1.53
203093_s_at	TIMM44	0.033674	translocase of inner mitochondrial membrane 44 homolog (yeast)	regulation of transcription, DNA-dependent	RNA binding	mitochondrial inner membrane presequence translocase complex	 	 	-0.76	-0.79	-0.63	-0.12	0.74	1.38
203207_s_at	CHPPR	0.00345	likely ortholog of chicken chondrocyte protein with a poly-proline region	 	 	 	 	 	-0.18	-0.13	-0.34	0.19	0.19	0.27
203223_at	RABEP1	0.043112	rabaptin, RAB GTPase binding effector protein 1	 	Rabaptin;GTPase activator activity;4.4e-59	 	 	 	-0.06	-0.28	-1.11	0.7	0.53	0.3
203443_at	MTA2	0.018781	metastais-associated gene family, member 2	chromatin assembly/disassembly	transcription factor activity	histone deacetylase complex	 	 	-0.74	-1.44	-0.48	0.94	0.22	1.45
203565_s_at	MNAT1	0.02946	menage a trois 1 (CAK assembly factor)	regulation of cyclin dependent protein kinase activity	zinc ion binding	nucleus	 	 	-0.15	-0.32	-0.12	0.18	0.03	0.38
203609_s_at	ALDH5A1	0.011159	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	metabolism	succinate-semialdehyde dehydrogenase activity	mitochondrion	Glutamate metabolism	GENMAPP/KEGG	-0.56	-0.45	-0.66	0.43	0.2	1
203622_s_at	LOC56902	0.047309	putatative 28 kDa protein	 	nucleic acid binding	 	 	 	-0.99	-0.84	-0.04	0.94	-0.03	0.95
203785_s_at	DDX28	0.035332	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	 	nucleic acid binding	 	 	 	-0.57	0.05	-0.63	0.41	0.18	0.58
203793_x_at	RNF110	0.049557	ring finger protein 110	 	 	 	 	 	-0.61	-0.45	0.12	0.41	0.3	0.25
203832_at	SNRPF	0.00958	small nuclear ribonucleoprotein polypeptide F	 	LSM;pre-mRNA splicing factor activity;1.6e-25	 	 	 	-1.86	-1.43	-0.66	0.43	1.61	1.84
203931_s_at	MRPL12	0.031519	mitochondrial ribosomal protein L12	protein biosynthesis	RNA binding	intracellular	 	 	-1.63	-0.63	-0.59	0.29	0.62	1.8
203943_at	KIF3B	0.044947	kinesin family member 3B	determination of left/right symmetry	ATP binding	plus-end kinesin complex	 	 	-0.93	-0.28	-0.03	0.23	0.42	0.63
204110_at	HNMT	0.015191	histamine N-methyltransferase	respiratory gaseous exchange	methyltransferase activity	 	Histidine metabolism	GENMAPP/KEGG	-0.67	-1.28	-1.19	0.14	1.07	1.71
