Molecular Fuction	Gene No.	Gene Name
Protein Binding	28	MICA, SIPA1L1, SIN3A, VPS8, BTBD1, FBLN2, SUDS3, SYK, ARNT, RNF2, MYRIP, RIPK2, CBLB, SURF5, PHF3, NOTCH4, TNKS, LSM2(Bac-Bax), PSCD1, CBX3, MNAT1, RXPAP, FGFR1, ICEBERG(caspase-1-inhibitor), POP7, SMAD6, MYCBP2(MYC binding protein-2), SP110
Nucleotide binding	16	ABCG2, TNRC6B, SYK, MAP4K4, ATP6VIA, SPEN, MARK4, CUGBP2, CDK7, RAB14, MATR3, ATP2C1, FGFR1, RBM25, DYRK2, RIPK2
Metal ion binding	16	CHN1, RNF2, ADAMTS7, TCEA1, ATP6V1A, PLOD1, VPS8, PHF3, MYCBP2, MNAT1, MATR3, SP110, ZNF77, MYRIP, ZNF202, RXRA
Zinc ion binding	16	CHN1, RNF2, ADAMTS7, TCEA1, CBLB, VPS8, PHF3, MYCBP2, MNAT1, MATR3, SP110, ZNF77, MYRIP, ZNF202, MMP23B, RXPA
ATP binding	11	ABCG2, SKY, MAP4K4, ATP6V1A, MARK4, CDK4, DHX36, ATP2C1, FGFR1, DYRK2, RIPK2
Transferase activity	11	SYK, MAP4K4, HS2ST1, LYPLA3, MARK4, CDK7, FGFR1, DYRK2, RIPK2, GSTM4, TKT
Molecular Function unknown	10	WFDC1, FETUB, GPM6B, UBQLN4, PHF3, SURF5, PRCC, ZNF77, SIPA1L1, RXRA
Nucleic acid binding	9	EIF5A2, SND1, SPEN, POP7, LOC643641, MATR3, DHX36, RBM25, ZNF202
Calcium ion binding	9	GAS6, RCN1, CBLB, PPP3R1, FBLN2, ATP2C1, TKT, NOTCH4, CAPS
Hydrolase activity	7	LYPLA3, ITPA, TATDN2, POP7, DHX36, ATP6VIA, ATP2C1
DNA binding	6	SP110, TCEA1, SOX30, RNF2, ZNF77, SPEN
RNA binding	6	FNBP1, AKAP1, MATR3, LSM2, SPEN, CUGBP2
