PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
212025_s_at	FLII	regulation of transcription, DNA-dependent /// muscle contraction /// development /// metabolism
212888_at	DICER1	RNA processing /// RNA interference, targeting of mRNA for destruction
208718_at	DDX17	RNA processing
202449_s_at	RXRA	regulation of transcription, DNA-dependent /// vitamin metabolism /// signal transduction
222065_s_at	FLII	regulation of transcription, DNA-dependent /// muscle contraction /// development /// metabolism
203542_s_at	BTEB1	regulation of transcription from Pol II promoter
218696_at	EIF2AK3	regulation of translation /// protein amino acid phosphorylation /// response to unfolded protein
205061_s_at	EXOSC9	rRNA processing /// immune response
214280_x_at	HNRPA1	nuclear mRNA splicing, via spliceosome /// mRNA processing /// mRNA-nucleus export /// transport
218559_s_at	MAFB	regulation of transcription, DNA-dependent /// sensory organ development
36711_at	MAFF	regulation of transcription, DNA-dependent
207535_s_at	NFKB2	regulation of transcription, DNA-dependent /// signal transduction
215285_s_at	PHTF1	regulation of transcription, DNA-dependent
206036_s_at	REL	transcription /// regulation of transcription, DNA-dependent /// transcription from Pol II promoter /// positive regulation of I-kappaB kinase/NF-kappaB cascade
215722_s_at	SNRPA1	RNA splicing
203026_at	ZBTB5	regulation of transcription, DNA-dependent
204181_s_at	ZNF297B	regulation of transcription, DNA-dependent
213097_s_at	ZRF1	protein folding /// regulation of transcription
204258_at	CHD1	chromatin assembly or disassembly /// regulation of transcription from Pol II promoter /// chromosome organization and biogenesis (sensu Eukaryota)
208994_s_at	PPIG	protein folding /// RNA splicing
204299_at	FUSIP1	assembly of spliceosomal tri-snRNP /// nuclear mRNA 5-splice site recognition /// nuclear mRNA splicing, via spliceosome /// mRNA-nucleus export /// cytoplasmic transport /// regulation of transcription /// negative regulation of nuclear mRNA splicing, via spliceosome
200989_at	HIF1A	response to hypoxia /// electron transport /// regulation of transcription, DNA-dependent /// signal transduction /// homeostasis
