Probe set	Gene symbol	Score	q-value (%)	Gene description
226730_s_at	USP37	-223,697,426	0	ubiquitin specific peptidase 37
227784_s_at	COG1	-192,161,211	0	component of oligomeric golgi complex 1
200953_s_at	CCND2	-191,709,911	0	cyclin D2
206348_s_at	PDK3	-173,804,289	0	pyruvate dehydrogenase kinase, isozyme 3
203189_s_at	NDUFS8	-172,843,331	0	NADH dehydrogenase (ubiquinone) Fe-S protein 8
203919_at	TCEA2	-172,442,069	0	transcription elongation factor A (SII), 2
237878_at	MAP2K2	-171,680,624	0	mitogen-activated protein kinase kinase 2
213271_s_at	DOPEY1	-165,024,984	0	dopey family member 1
227951_s_at	FAM98C	-163,381,439	0	family with sequence similarity 98, member C
210046_s_at	IDH2	-160,243,268	0	isocitrate dehydrogenase 2 (NADP+), mitochondrial
209953_s_at	CDC37	-15,932,259	0	cell division cycle 37 homolog (S. cerevisiae)
203317_at	PSD4	-154,584,178	0	pleckstrin and Sec7 domain containing 4
203532_x_at	CUL5	-151,710,413	0	cullin 5
218080_x_at	FAF1	-151,618,557	0	Fas (TNFRSF6) associated factor 1
225592_at	NRM	-151,033,323	0	nurim (nuclear envelope membrane protein)
40016_g_at	MAST4	-150,395,486	0	microtubule associated serine/threonine kinase family member 4
203782_s_at	POLRMT	-13,959,225	0	polymerase (RNA) mitochondrial (DNA directed)
208854_s_at	STK24	-136,011,587	0	serine/threonine kinase 24 (STE20 homolog, yeast)
205926_at	IL27RA	-135,317,258	0	interleukin 27 receptor, alpha
202167_s_at	MMS19	-134,679,356	0	MMS19 nucleotide excision repair homolog (S. cerevisiae)
200913_at	PPM1G	-134,328,651	0	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
203451_at	LDB1	-134,000,553	0	LIM domain binding 1
203972_s_at	PEX3	-131,906,641	0	peroxisomal biogenesis factor 3
209805_at	PMS2	-131,842,563	0	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)
204706_at	INPP5E	-129,217,323	0	inositol polyphosphate-5-phosphatase, 72 kDa
202784_s_at	NNT	-127,804,841	0	nicotinamide nucleotide transhydrogenase
202471_s_at	IDH3G	-127,265,049	0	isocitrate dehydrogenase 3 (NAD+) gamma
207980_s_at	CITED2	-12,719,819	0	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
208284_x_at	GGT1	-125,818,596	0	gamma-glutamyltransferase 1
218479_s_at	XPO4	-125,773,971	0	exportin 4
210607_at	FLT3LG	-125,635,649	0	fms-related tyrosine kinase 3 ligand
1552519_at	ACVR1C	-125,313,645	0	activin A receptor, type IC
43544_at	MED16	-125,192,776	0	mediator complex subunit 16
209003_at	SLC25A11	-125,191,815	0	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11
207831_x_at	DHPS	-124,903,534	0	deoxyhypusine synthase
221882_s_at	TMEM8	-123,338,137	0	transmembrane protein 8 (five membrane-spanning domains)
224314_s_at	EGLN1	-122,582,887	0	egl nine homolog 1 (C. elegans)
216266_s_at	ARFGEF1	-122,556,475	0	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
217861_s_at	PREB	-122,198,469	0	prolactin regulatory element binding
238117_at	PPOX	-121,635,271	0	protoporphyrinogen oxidase
208351_s_at	MAPK1	-121,595,255	0	mitogen-activated protein kinase 1
209017_s_at	LONP1	-121,593,482	0	lon peptidase 1, mitochondrial
214487_s_at	RAP2B	-121,585,391	0	RAP2B, member of RAS oncogene family
