Gene name	Definition
DACH	Dachshund
EGFR	Epidermal growth factor receptor
CRABP1	Cellular retinoic acid binding protein-1
TGFB2	Transforming growth factor  Beta2
ENC1	Ectodermal-neural cortex-1
NSP	Neuron-specific protein Hs 79404
BMP2	Bone morphogenetic protein 2
MSX2	msh homeo box homolog-2
SSX4	Synovial sarcoma X breakpoint-4
SSX3	Synovial sarcoma X breakpoint-3
IRX5	Iroquois homeo-box protein 5
BMP7	Bone morphogenetic protein-7
RARG	Retinoic acid receptor gamma
ACTG2	Actin  alpha2 smooth muscle enteric
MYH11	Myosin heavy polypeptide 11 smooth muscle
MYPT2	Myosin phosphatase target subunit-2
MYLK	Myosin light polypeptide kinase
LMOD1	Leiomodin-1 smooth muscle
ACTA2	Actin  gamma2 smooth muscle aorta
MYRL2	Myosin regulatory light chain-2
SGCA	Sarcoglycan alpha
SLAP	Sarcolemmal-associated protein
SPRY1	Sprouty homolog-1
CEP2	cdc42 effector protein-2
GUCY1A3	Guanylate cyclase 1  alpha3
MYO6	Myosin VI
ABCC4	ATP-binding cassette C4
PCAF	p300/CBP associated factor
KIT	c-kit/CD117
SPRY4	Sprouty homolog 4
INPP5a	Inositol polyphosphate-5-phosphatase
PTP4A3	Protein tyrosine phosphatase type 4A 3
RAB3a	RAS-associated protein RAB3A
ABCB1	ATP-binding cassette B1
DNCI1	Dynein cytoplasmic intermediate peptide 1
SYNJ1	Synaptojanin-1
