Gene	Fold Change	Gene Name
DMRT3	175.0179153	doublesex and mab-3 related transcription factor 3
KCNJ2	39.85537279	potassium inwardly-rectifying channel, subfamily J, member 2
TCEAL3	20.43974961	transcription elongation factor A (SII)-like 3
LOXL1	16.50663654	lysyl oxidase-like 1
KLHL14	15.5626514	kelch-like 14 (Drosophila)
PCSK5	12.96878719	proprotein convertase subtilisin/kexin type 5
COL1A2	12.46067214	collagen, type I, alpha 2
KIAA1713	12.02759285	KIAA1713
FAM107A	10.99524363	family with sequence similarity 107, member A
FLJ41747	9.620282245	FLJ41747
HOXA9	8.520543378	homeobox A9
C18orf34	8.182947526	chromosome 18 open reading frame 34
TPM1	8.101634321	tropomyosin 1 (alpha)
STAT4	8.080380803	signal transducer and activator of transcription 4
LOC284244	7.939168008	LOC284244
TGFBR2	7.474286508	transforming growth factor, beta receptor II (70/80kDa)
PDGFRA	6.992365313	platelet-derived growth factor receptor, alpha polypeptide
C14orf50	6.906727452	chromosome 14 open reading frame 50
CRABP2	6.5320562	cellular retinoic acid binding protein 2
HSPA2	6.458473625	heat shock 70kDa protein 2
DCAMKL1	6.402176494	DCAMKL1
SALL1	6.167742841	sal-like 1 (Drosophila)
TMEM35	6.000405585	transmembrane protein 35
GIMAP2	5.936687977	GTPase, IMAP family member 2
C2orf32	5.816200357	chromosome 2 open reading frame 32
SLFN11	5.799474318	schlafen family member 11
OLFML3	5.770159974	olfactomedin-like 3
CXCR4	5.704269998	chemokine (C-X-C motif) receptor 4
CCND2	5.656594441	cyclin D2
FRMD4A	5.421737557	FERM domain containing 4A
PRR16	5.164330484	proline rich 16
PRRX1	5.121796319	paired related homeobox 1
FNDC5	5.00273224	fibronectin type III domain containing 5
MDFIC	4.890214797	MyoD family inhibitor domain containing
HAPLN1	4.803732252	hyaluronan and proteoglycan link protein 1
HEY1	4.795730868	hairy/enhancer-of-split related with YRPW motif 1
CLPB	4.695164196	ClpB caseinolytic peptidase B homolog (E. coli)
TAGLN	4.661863911	transgelin
KERA	4.477502296	keratocan
CNN1	4.412202458	calponin 1, basic, smooth muscle
DPYSL4	4.387162994	dihydropyrimidinase-like 4
