ProbesetID	Genetitle	Genesymbol	t statistic	Overlaps
207039_at	Cyclin-dependentkinaseinhibitor2A(melanoma,p16,inhibitsCDK4)	CDKN2A	6.73	T/N,CC/HNC
228286_at	HypotheticalproteinFLJ40869	FLJ40869	5.45	CC/HNC
218397_at	Fanconianemia,complementationgroupL	FANCL	5.63	CC/HNC
203358_s_at	Enhancerofzestehomologue2(Drosophila)	EZH2	6.41	CC/HNC
218783_at	DKFZP434B168protein	DKFZP434B168	6.00	CC/HNC
206316_s_at	Kinetochoreassociated1	KNTC1	6.26	T/N,CC/HNC
201555_at	MCM3minichromosomemaintenancedeficient3(S.cerevisiae)	MCM3	5.88	T/N,CC/HNC
221677_s_at	DownstreamneighborofSON	DONSON	6.08	T/N,CC/HNC
204510_at	CDC7celldivisioncycle7(S.cerevisiae)	CDC7	6.42	T/N,CC/HNC
227255_at	Caseinkinase	LOC149420	5.59	CC/HNC
222201_s_at	CASP8associatedprotein2	CASP8AP2	5.09	T/N,CC/HNC
224428_s_at	Celldivisioncycleassociated7	CDCA7	4.36	CC/HNC
219306_at	Kinesin-like7	KNSL7	5.45	CC/HNC
212621_at	KIAA0286protein	KIAA0286	4.60	T/N
229551_x_at	Zincfingerprotein367	ZNF367	6.29	T/N,CC/HNC
222848_at	Leucinezipperprotein	FKSG14FKS	4.37	T/N,CC/HNC
228401_at			4.49	T/N,CC/HNC
225655_at	Ubiquitin-like,containingPHDandRINGfingerdomains,1	UHRF1	4.69	T/N,CC/HNC
227350_at	Helicase,lymphoid-specific	HELLS	5.13	T/N,CC/HNC
228033_at	E2Ftranscriptionfactor7	E2F7	4.36	T/N,CC/HNC
218585_s_at	RA-regulatednuclearmatrix-associatedprotein	RAMP	4.99	T/N,CC/HNC
209172_s_at	CentromereproteinF,350/400ka(mitosin)	CENPF	4.51	T/N,CC/HNC
226456_at	HypotheticalproteinMGC24665	MGC24665	6.23	T/N
202589_at	Thymidylatesynthetase	TYMS	5.51	T/N
239680_at			5.19	CC/HNC
236513_at			4.85	CC/HNC
224320_s_at	MCM8minichromosomemaintenancedeficient8	MCM8	5.73	T/N
202532_s_at	Dihydrofolatereductase	DHFR	5.24	None
210371_s_at	Retinoblastomabindingprotein		4.73	T/N,CC/HNC
201970_s_at	Nuclearautoantigenicspermprotein(histone-binding)	NASP	6.42	T/N,CC/HNC
223542_at	Ankyrinrepeatdomain32	ANKRD32	4.40	T/N,CC/HNC
209337_at	PC4andSFRS1interactingprotein1	PSIP1	6.01	CC/HNC
205961_s_at	PC4andSFRS1interactingprotein1	PSIP1	5.59	CC/HNC
206542_s_at	SWI/SNFrelated,matrixassociated,actin-depchromatinregulator	SMARCA2	4.88	None
242471_at			4.97	None
229442_at	HypotheticalproteinMGC33382	MGC33382	4.45	T/N,CC/HNC
203482_at	Chromosome10openreadingframe6	C10orf6	6.24	CC/HNC
201448_at	TIA1cytotoxicgranule-associatedRNAbindingprotein	TIA1	5.60	None
221264_s_at	TARDNAbindingprotein	TARDBP	5.57	None
214093_s_at	Farupstreamelement(FUSE)bindingprotein1	FUBP1	4.78	None
209285_s_at	Retinoblastoma-associatedprotein140	RAP140	5.56	None
230120_s_at	Plasminogen-like	PLGL	5.39	None
