Gene symbol	Cluster	Gene description	Mean expresión values : low	Mean expresión values : Intermediate	Mean expresión values : High	p value	Wald statistics
LPL	P14	Lipoprotein lipase	0.427	0.67	2.854	0.0001	5
WSB2	P14	WD repeat and SOCS box-containing 2	0.402	0.521	0.81	0.0001	4.73
GAB1	P2	GRB2-associated binding protein 1	1.266	1.434	1.65	0.0001	4.11
CHN2	P9	Chimerin (chimaerin) 2	1.17	1.34	1.376	0.0001	3.94
BTK	P4	Bruton agammaglobulinemia tyrosine kinase	2.049	3.476	4.307	0.0003	3.89
PRKCB1	P9	Protein kinase C, beta 1	5.537	9.742	9.293	0.0003	3.86
CSNK2A1	P8	Casein kinase 2, alpha 1 polypeptide	0.638	0.712	0.751	0.0004	3.61
PRKCI		Protein kinase C, iota	0.245	0.294	0.333	0.0005	3.61
PAWR	P15	PRKC, apoptosis, WT1, regulator	0.349	0.611	0.658	0.0005	3.56
TRAF5	P9	TNF receptor-associated factor 5	0.721	2.123	2.331	0.0007	3.52
PRKCZ	P9	Protein kinase C, zeta	0.804	1.079	1.177	0.0006	3.47
CLDN15		Claudin 15	0.975	1.019	1.041	0.0005	3.44
SEPT7;CDC10	P8	Septin-7 (CDC10 protein homolog).	1.009	1.34	1.42	0.0006	3.43
CAMK2D		Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	1.478	1.53	2.076	0.0007	3.39
CDC16	P9	CDC16 cell division cycle 16 homolog (S. cerevisiae)	0.639	1.027	1.031	0.0015	3.36
CD38		CD38 antigen (p45)	0.671	0.75	0.864	0.0016	3.21
TNFRSF7	P4	Tumor necrosis factor receptor superfamily, member 7	4.023	6.521	8.461	0.0012	3.2
BLNK	P2	B-cell linker	1.424	1.677	1.899	0.0015	3.16
SOS1		Son of sevenless homolog 1 (Drosophila)	1.172	1.442	1.38	0.0023	3.15
CD79B	P4	CD79B antigen (immunoglobulin-associated beta)	3.201	5.748	7.13	0.0019	3.13
TCL1A	P4	T-cell leukemia/lymphoma 1A	3.463	5.826	7.137	0.0019	3.1
TLE1		Transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	0.877	0.966	1.251	0.0014	3.07
NFATC1		Transcription factor, regulates expression of CD154	1.486	1.687	1.784	0.0019	3.03
RUVBL1	P9	RuvB-like 1 (E. coli)	0.147	0.279	0.285	0.0021	3.02
AKAP12		A kinase (PRKA) anchor protein (gravin) 12	0.558	0.545	0.669	0.0027	2.96
CGI152		Probable cation-transporting ATPase 13A1	0.969	1.051	1.037	0.0044	2.85
ILK		Integrin-linked kinase-2	0.567	0.676	0.753	0.0048	2.85
CCND2		Cyclin D2	0.403	0.517	0.566	0.0056	2.85
BRCA1		Breast cancer 1, early onset	0.175	0.245	0.229	0.0062	2.83
MGC3234	P15	Hypothetical protein MGC3234	0.529	0.666	0.732	0.0071	2.74
SYK	P4	Spleen tyrosine kinase	5.928	9.744	10.95	0.0068	2.73
CSNK2B	P12	Casein kinase 2, beta polypeptide	0.435	0.547	0.576	0.0087	2.6
FAF1	P12	Fas (TNFRSF6) associated factor 1	0.427	0.47	0.487	0.0086	2.58
PI3		Peptidase inhibitor 3, skin-derived (SKALP)	1.361	1.247	1.102	0.0082	-2.75
OASL	N6	2-5-oligoadenylate synthetase-like	3.616	1.31	1.383	0.0052	-2.88
GADD45B		Growth arrest and DNA-damage-inducible, beta	2.181	1.183	1.162	0.0089	-2.64
IL6	N6	Interleukin 6 (interferon, beta 2)	4.329	0.942	0.753	0.0085	-2.7
NFKB1	N6	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	2.889	1.901	1.938	0.0079	-2.7
FYN		FYN oncogene related to SRC, FGR, YES	1.232	1.254	1.234	0.007	-2.72
TNFSF10	N8	Tumor necrosis factor (ligand) superfamily, member 10	2.153	1.341	1.407	0.0073	-2.73
BCL2A1	N2	BCL2-related protein A1	4.252	1.592	1.58	0.0074	-2.75
ICAM1	N2	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	1.847	0.544	0.505	0.0055	-2.81
RIPK2	N6	Receptor-interacting serine-threonine kinase 2	2.201	1.323	1.211	0.0046	-2.89
TNFRSF6	N8	Tumor necrosis factor receptor superfamily, member 6	1.721	1.216	1.251	0.0055	-2.96
IER3	N5	Immediate early response 3	0.596	0.238	0.239	0.001	-3.21
TNFAIP3	N5	Tumor necrosis factor, alpha-induced protein 3	6.722	3.261	3.073	0.0008	-3.33
IL1B	N5	Interleukin 1, beta	26.098	6.459	3.639	0.0003	-3.6
AKT3		Member of the AKT (PKB), serine/threonine protein kinase family	1.243	1.074	1.078	0.0003	-3.73
MAP3K8	N6	Mitogen-activated protein kinase kinase kinase 8	4.802	2.333	2.02	0.0001	-4.37
MCL1	N2	Myeloid cell leukemia sequence 1 (BCL2-related)	2.222	1.312	1.397	0.0026	-3.13
