Gene Name	Gene Description	Assay
18S	eukaryotic 18S ribosomal RNA	Hs99999901_s1
ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	Hs00255067_m1
ANKRD15	ankyrin repeat domain 15	Hs00299498_m1
AP3M1	adaptor-related protein complex 3, mu 1 subunit	Hs00201543_m1
ARL8	ADP-ribosylation factor-like 8,	Hs00379311_m1
ARRDC3	arrestin domain containing 3	Hs00385845_m1
AXUD1	AXIN1 up-regulated 1	Hs00263583_m1
AZIN1	antizyme inhibitor 1,	Hs00210634_m1
B2M	beta-2-microglobulin	Hs99999907_m1
BCL2A1	BCL2-related protein A1,Gene hCG201186 Celera Annotation	Hs00187845_m1
BTN2A2	butyrophilin, subfamily 2, member A2	Hs00272927_m1
C1QG	complement component 1, q subcomponent, gamma polypeptide	Hs00757779_m1
C4BPA	complement component 4 binding protein, alpha	Hs00426339_m1
CCL20	chemokine (C-C motif) ligand 20	Hs00171125_m1
CCL23	chemokine (C-C motif) ligand 23	Hs00270756_m1
CCL3	chemokine (C-C motif) ligand 3	Hs00234142_m1
CCL4	chemokine (C-C motif) ligand 4	Hs99999148_m1
CCNL1	cyclin L1	Hs00220399_m1
CD44	CD44 antigen	Hs00153304_m1
CD83	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	Hs00188486_m1
CKAP4	cytoskeleton-associated protein 4	Hs00199135_m1
CNGB1	cyclic nucleotide gated channel beta 1	Hs00757900_m1
CXCL2	chemokine (C-X-C motif) ligand 2	Hs00601975_m1
DAF	decay accelerating factor for complement (CD55, Cromer blood group system)	Hs00167090_m1
DDIT4	DNA-damage-inducible transcript 4	Hs00430304_g1
DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	Hs00251087_s1
DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	Hs00266011_m1
DUSP2	dual specificity phosphatase 2	Hs00358879_m1
DUSP5	dual specificity phosphatase 5	Hs00244839_m1
EDN1	endothelin 1	Hs00174961_m1
EREG	epiregulin	Hs00914313_m1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	Hs00232009_m1
FCAR	Fc fragment of IgA, receptor for	Hs00370197_m1
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	Hs00171851_m1
GADD45B	growth arrest and DNA-damage-inducible, beta	Hs00169587_m1
