CLASS	RAMOS RA-1 Exp. #1	RAMOS RA-1 Exp. #2	Z-138 Exp. #1	Z-138 Exp. #2
ACAT2	0.638	0.615	0.568	0.512
ACTN1	-1.86	-1.03	-0.84	-1.003
ADA	0.661	0.664	0.545	0.558
ADCYAP1R1	1.435	1.438	1.578	1.269
ADRB2	1.638	0.704	0.94	1.575
ADSSL1	1.103	1.332	1.983	1.312
AKT2	-1.103	-1.392	-0.764	-0.85
ALDH2	0.638	0.631	0.591	0.651
ALS2CR8	1.535	1.003	1.488	1.438
AMMECR1	0.877	0.704	0.541	0.545
ANK3	1.296	0.548	0.568	0.728
ANKRA2	1.342	0.914	0.837	0.754
ANKRD44	0.943	0.581	0.545	0.601
ANKS6	0.512	0.95	0.817	0.538
ANXA2P3	-2.196	-1.694	-0.927	-2.073
APBA2	-2.299	-1.322	-1.618	-2.418
APC2	0.548	0.555	0.525	0.648
APOA5	-1.073	-2.91	-1.688	-0.771
APOBEC3B	0.505	0.608	0.628	0.824
APOC1	-0.957	0.585	0.535	0.927
APOC2	-2.179	0.914	0.545	0.917
APOLD1	1.575	0.641	1.392	0.611
ARHGEF9	0.515	0.522	0.505	0.741
ASCL1	0.631	0.747	0.897	0.568
ASGR1	1.086	0.917	1.269	1.222
ASH1L	-0.694	-0.837	-1.438	-1.106
ATAD3B	-1.309	-1.246	-1.106	-0.963
ATF3	1.917	1.04	1.654	0.967
ATP2A3	-1.282	-0.837	-0.615	-0.807
ATP6V0A1	-0.638	-0.811	-0.977	-1.076
ATP6V1E2	0.611	0.704	0.854	0.754
ATP9A	1.717	1.651	1.771	0.983
ATRNL1	-3.006	0.993	0.811	0.571
AYTL2	-0.91	-0.784	-0.535	-0.644
B3GALT4	1.651	1.475	1.315	1.136
BAMBI	1.478	1.279	-2.731	0.618
BCCIP	-0.867	-0.933	-0.724	-0.714
BLVRB	0.638	0.522	0.588	0.671
BOC	-2.624	-1.92	-1.521	-0.598
C10orf58	0.94	0.618	0.837	0.731
C10orf83	1.106	0.747	1.02	0.618
C11orf75	1.186	0.804	0.744	0.588
C12orf47	0.967	0.605	0.767	0.625
C13orf25	-0.532	-0.605	-0.754	-1.03
C14orf118	1.332	1.688	0.641	1.156
C14orf121	-0.721	-1.08	-0.794	-0.575
C14orf172	-1.056	-0.821	-0.767	-0.575
