Gene Symbol	Image Id.	Gene class	ET_median/all_median	NB_median/all_median	RefSeq	CRE probability score
MT1L	297392	BL	3.1	0.33		n.a.
ACTA2	868304	BL	0.72	1.3	NM_001613	0.07
ELF1	241412	BL	1.3	0.92	NM_172373	No
HLA-DPB1	840942	BL	1.04	0.84	NM_002121	No
MME	200814	BL	1.24	0.89		n.a.
PIM2	1469292	BL	1.42	1.04	NM_006875	No
PRKAR2B	609663	BL	1.49	1.43	NM_002736	No
TLE2	1473131	EWS	1.7	0.61	NM_003260	No
ANXA1	208718	EWS	1.89	0.22	NM_000700	No
FVT1	814260	EWS	1.95	0.74	NM_002035	No
SELENBP1	80338	EWS	1.99	0.65	NM_003944	No
TUBB5	291756	EWS	2.29	0.38	NM_006087	No
DAPK1	364934	EWS	2.31	0.7	NM_004938	No
MIC2	1435862	EWS	2.55	0.15	NM_002414	No
PTPN13	866702	EWS	2.69	0.66		n.a.
GYG2	43733	EWS	3.36	0.57	NM_003918	No
TNFAIP6	357031	EWS	4.68	0.51	NM_007115	No
FCGRT	770394	EWS	5.1	0.79	NM_004107	0.07
CAV1	377461	EWS	16.39	0.12	NM_001753	0.1
IFI16	824602	EWS/BL	1.11	0.2	NM_005531	No
MYC	417226	EWS/BL	1.91	0.19	NM_002467	No
CRYAB	839736	EWS/RMS	0.4	0.53	NM_001885	No
GAS1	365826	EWS/RMS	6.31	0.56	NM_002048	No
MN1	41591	EWS/RMS	1.92	0.08	NM_002430	No
LGALS3BP	811000	EWS/NB	0.85	0.99	NM_005567	0.11
APLP1	289645	EWS/NB	0.91	2.42	NM_005166	No
CCND1	841641	EWS/NB	3.55	0.96		n.a.
DPYSL2	841620	EWS/NB	2.24	1.17	NM_001386	No
CRMP1	878280	NB	1.04	0.8	NM_001313	No
PFN2	486110	NB	1.47	1.15		n.a.
DPYSL4	395708	NB	0.79	1.36	NM_006426	No
FHL1	813266	NB	0.71	1.59	NM_001449	0.47
CDH2	325182	NB	0.2	3.63	NM_001792	No
MAP1B	629896	NB	0.96	4.16		n.a.
AF1Q	812105	NB	0.96	4.38	NM_006818	No
GATA2	135688	NB	1.3	6.34		n.a.
SFRP1	82225	NB	0.67	6.91	NM_003012	0.07
GAP43	44563	NB	0.7	74.51	NM_002045	No
NFIB	416959	RMS/NB	2.57	3.57	NM_005596	No
PIG3	859359	RMS/NB	0.27	2.06		n.a.
COL3A1	122159	RMS	2.51	1.42	NM_000090	No
IGFBP5	45542	RMS	1.77	0.34	NM_000599	No
TNNT1	1409509	RMS	2.97	0.85		n.a.
GATM	42558	RMS	1.12	2.66	NM_001482	No
IGF2	296448	RMS	1.21	10.93	NM_000612	No
HSPB2	324494	RMS	0.64	1.18	NM_001541	0.2
ITGA7	377671	RMS	0.72	1.01	NM_002206	No
NME2	755750	RMS	0.97	0.96	NM_002512	No
IL4R	714453	RMS/BL	0.61	0.73	NM_000418	No
IGFBP2	233721	Not BL	3.92	1.87	NM_000597	No
PTPRF	897788	Not BL	1.06	1.7		n.a.
APP	323371	Not BL	1.05	0.93	NM_000484	No
CKB	1416782	Not BL	1.09	1.34	NM_001823	No
CTNNA1	21652	Not BL	0.94	0.63	NM_001903	No
GSTA4	504791	Not BL	1.1	1.45	NM_001512	0.09
TIMP3	768370	Not BL	1.08	0.83	NM_000362	No
