Gene	Rank	RMS	RES	CE
AQP9	1	2.5113008	0.08103568	Yes
CAMK1D	38	1.38278401	0.12284382	Yes
SULT1B1	90	1.16489553	0.15642424	Yes
CYP2C9	149	1.05866671	0.1860182	Yes
GLUL	169	1.02529716	0.21762808	Yes
RDH16	244	0.95078772	0.2424683	Yes
KCNK1	295	0.90669423	0.26778814	Yes
LECT2	306	0.89559406	0.29592255	Yes
SLC1A2	365	0.85653514	0.31898767	Yes
RNASE4	450	0.79969597	0.33815435	Yes
CYP26A1	649	0.70706069	0.3452856	Yes
PDE4B	667	0.69990605	0.36654398	Yes
SLCO1B3	721	0.67927957	0.38428038	Yes
DNASE2	780	0.66291499	0.40109155	Yes
CSAD	810	0.65438747	0.41992778	Yes
CYP2C19	850	0.64305931	0.4376048	Yes
PFKFB1	947	0.61697328	0.4499176	Yes
SLC22A1	974	0.60926145	0.46753427	Yes
AHR	1048	0.59144729	0.48084712	Yes
LHPP	1120	0.57419622	0.49376142	Yes
GFRA1	1266	0.54206312	0.4997676	Yes
CYP1A2	1280	0.5378961	0.51611036	Yes
MERTK	1329	0.52933437	0.52940017	Yes
GSTA3	1429	0.51129955	0.53806174	Yes
PDGFC	1464	0.50484228	0.551671	Yes
GSTM5	1557	0.49023271	0.5602074	Yes
RHBG	1572	0.4881365	0.5748636	Yes
POR	2006	0.43383408	0.55452776	No
CYP2A13	2244	0.4051747	0.54881436	No
SLC13A3	2487	0.3772456	0.54180217	No
TBX3	2744	0.35170686	0.5328545	No
ODZ3	2836	0.34180078	0.5366759	No
ENPP1	3028	0.32811749	0.53212255	No
DHRS1	3425	0.29551509	0.5102541	No
AVPR1A	4566	0.20614716	0.4264795	No
CYP7A1	4608	0.20217207	0.42975724	No
CSRP3	4698	0.19506779	0.42899778	No
NPR2	4896	0.17954417	0.41916957	No
GNE	5415	0.14109367	0.38263535	No
RNASE4	5613	0.1254956	0.37106138	No
SLC1A4	5745	0.11369093	0.36434174	No
NR1I3	5795	0.10936388	0.36398715	No
CLCN2	6111	0.08071759	0.34160623	No
AKR1B1	6678	0.0347394	0.29782906	No
CYP2C18	6902	0.01165587	0.28051555	No
IDH3A	7026	-0.00131779	0.27080086	No
PFN2	7117	-0.01022291	0.2639916	No
PIGQ	7468	-0.04647318	0.23772812	No
OAT	7591	-0.06093678	0.23001845	No
GALNT4	8176	-0.13697401	0.18811557	No
EGLN3	8480	-0.17903987	0.16986237	No
RNF14	8587	-0.19463581	0.16774042	No
BLVRB	8628	-0.20247501	0.17110726	No
CDH2	10085	-0.42381319	0.06929588	No
SLC19A2	10135	-0.43300971	0.07939505	No
USP14	10387	-0.47655734	0.0748767	No
NT5E	10654	-0.52751499	0.07081436	No
DCLRE1A	11144	-0.64155191	0.05274544	No
DLAT	11227	-0.66205359	0.06762493	No
null	11341	-0.68871725	0.0809065	No
NCALD	11534	-0.74684197	0.08979866	No
