ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
1053_at	RFC2	0.012065	replication factor C (activator 1) 2, 40kDa	DNA replication	nucleotide binding	nucleus	DNA_replication	GENMAPP/KEGG	-0.55	-1.12	0.43	0.51	0.81
1405_i_at	CCL5	0.03559	chemokine (C-C motif) ligand 5	calcium ion homeostasis	chemokine activity	extracellular			-1.98	-1.95	1.58	-0.04	2.28
200066_at	IK	0.044271	IK cytokine, down-regulator of HLA II	immune response	cytokine activity	extracellular space			-0.21	-0.51	0.13	0.13	0.46
200070_at	C2orf24	0.040377	chromosome 2 open reading frame 24						-0.89	-0.7	1.03	0.51	0.03
200621_at	CSRP1	0.037272	cysteine and glycine-rich protein 1		zinc ion binding	nucleus			-0.35	-0.84	0.19	0.3	0.72
200628_s_at	WARS	0.019779	tryptophanyl-tRNA synthetase	protein biosynthesis	tryptophan-tRNA ligase activity	soluble fraction	Tryptophan metabolism	GENMAPP/KEGG	-0.37	-0.24	0.05	0.29	0.27
200681_at	GLO1	0.023973	glyoxalase I	carbohydrate metabolism	lactoylglutathione lyase activity		Pyruvate metabolism	GENMAPP/KEGG	-0.67	-1.73	1.31	0.53	0.82
200722_s_at	M11S1	0.035795	membrane component, chromosome 11, surface marker 1			integral to plasma membrane			-0.45	-0.89	0.35	0.17	0.84
201100_s_at	USP9X	0.046442	ubiquitin specific protease 9, X-linked (fat facets-like, Drosophila)	ubiquitin-dependent protein catabolism	cysteine-type endopeptidase activity				-0.26	-0.98	0.69	0.26	0.35
201218_at	CTBP2	0.008636	C-terminal binding protein 2	L-serine biosynthesis	oxidoreductase activity	nucleus			-1.01	-0.97	0.96	0.81	0.27
201265_at	FTL	0.006845							-1.16	-1.2	0.95	0.37	1.13
201291_s_at	TOP2A	0.013758	topoisomerase (DNA) II alpha 170kDa	DNA topological change	DNA binding	nucleus			-0.93	-0.72	0.45	0.28	0.94
201292_at	TOP2A	0.005303	topoisomerase (DNA) II alpha 170kDa	DNA topological change	DNA binding	nucleus			-0.52	-0.35	0.34	0.36	0.17
201344_at	UBE2D2	0.011511	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	ubiquitin cycle	ubiquitin conjugating enzyme activity		Ubiquitin mediated proteolysis	GENMAPP/KEGG	-0.48	-0.47	0.15	0.27	0.53
201404_x_at	PSMB2	0.040852	proteasome (prosome, macropain) subunit, beta type, 2	ubiquitin-dependent protein catabolism	endopeptidase activity	proteasome core complex (sensu Eukaryota)	Proteasome	GENMAPP/KEGG	-0.46	-0.32	0.08	0.16	0.54
201472_at	VBP1	0.012653	von Hippel-Lindau binding protein 1						-0.53	-1	0.78	0.41	0.39
