Gene	Rank	RMS	RES	CE
TRIB2	16	1.72490871	0.02992915	Yes
RNF43	21	1.6367898	0.05921763	Yes
KIAA0152	44	1.46159208	0.08390731	Yes
BCAP31	61	1.41226006	0.10818128	Yes
MARCH8	64	1.40116251	0.1333666	Yes
AP3S1	67	1.39505816	0.15844151	Yes
SMYD2	73	1.36680043	0.18276699	Yes
ASPSCR1	92	1.32175362	0.20524502	Yes
TBX3	100	1.30227447	0.22824448	Yes
RHOBTB1	116	1.27249312	0.2500698	Yes
GLUL	121	1.26359141	0.27260786	Yes
FLJ21963	150	1.21879816	0.2924293	Yes
UGCGL1	199	1.16180551	0.30963114	Yes
BMP4	213	1.14521599	0.32931313	Yes
SAMM50	239	1.12572372	0.34768933	Yes
RHBG	268	1.10767746	0.3655008	Yes
FLJ11151	459	1.00847948	0.36864963	Yes
SLC13A3	471	0.99989092	0.38586184	Yes
NPR2	541	0.96586859	0.39785147	Yes
REG3A	574	0.9515329	0.4125209	Yes
PARVB	611	0.93706983	0.42661092	Yes
SPARCL1	623	0.93390507	0.4426296	Yes
CCDC53	702	0.90709764	0.45284128	Yes
HIST1H2BK	715	0.89966464	0.46816117	Yes
LAMA3	736	0.89056528	0.482681	Yes
VSNL1	877	0.84253061	0.48679987	Yes
ITPR2	889	0.83899367	0.5011018	Yes
C1ORF112	985	0.81640697	0.50832266	Yes
RAB4A	1012	0.80838144	0.5208793	Yes
TCEAL1	1119	0.77875847	0.52654546	Yes
GALNT1	1122	0.77794331	0.540458	Yes
DUT	1180	0.76163262	0.54970664	Yes
LGALS8	1586	0.67435181	0.52973336	Yes
GGH	1602	0.67014694	0.5406634	Yes
THSD1	1675	0.65483445	0.54678875	Yes
NEK3	1749	0.63843089	0.552538	Yes
C10ORF72	1850	0.62104374	0.555828	Yes
MERTK	1943	0.60305518	0.55942804	Yes
MME	2026	0.58792692	0.5635488	Yes
DYNC1I1	2085	0.57808334	0.569398	Yes
CTNNA2	2169	0.56352693	0.572998	Yes
PREB	2201	0.55489296	0.5805724	Yes
C1QTNF3	2203	0.55479085	0.590528	Yes
ZNF238	2232	0.54941571	0.5982417	Yes
C6ORF97	2321	0.53300953	0.6008925	Yes
TMCC1	2389	0.52020115	0.6049798	Yes
TIMM17A	2453	0.5109365	0.6092172	Yes
DPP4	2460	0.50995499	0.6179647	Yes
SIAH2	2478	0.50727081	0.62578976	Yes
SLC22A11	2489	0.50586796	0.63414556	Yes
SLC5A6	2503	0.50403214	0.64222986	Yes
FBXL5	2524	0.50156838	0.6497135	Yes
REG1A	2552	0.49640208	0.65654767	Yes
SULT4A1	2568	0.49315032	0.66427624	Yes
ACSL6	2740	0.46749032	0.65914893	No
NEDD4	3051	0.42085063	0.6421366	No
FHIT	3090	0.41511673	0.6466267	No
PANX1	3133	0.4102861	0.6507117	No
LPIN1	3175	0.40360627	0.6547553	No
ATP6V0E2L	3216	0.39625117	0.6587453	No
IMPAD1	3358	0.37447378	0.6543185	No
SLC22A4	3392	0.36868021	0.65836585	No
CTNNBL1	3569	0.34410471	0.65060955	No
SLC6A2	3859	0.30708605	0.63320756	No
TMEM2	3969	0.29126379	0.6298176	No
TTC9	4163	0.26995322	0.6193697	No
YPEL1	4332	0.2504274	0.6105544	No
KIAA0143	4342	0.24919921	0.614347	No
HSDL2	4361	0.24702236	0.6173853	No
HEXA	4552	0.22385392	0.60634184	No
COL7A1	4560	0.22333653	0.6098255	No
LEF1	4771	0.19563171	0.59668285	No
GREB1	5901	0.0678049	0.5082278	No
SEP4	6235	0.02946028	0.48230904	No
CRYZ	7088	-0.05174723	0.41556692	No
ACTN2	9915	-0.31134126	0.19671674	No
TBCA	11565	-0.58062381	0.07623167	No
CBR1	11672	-0.61622417	0.07895787	No
