Fold increase	Gene	Description
107.8	Iltifb	interleukin 10-related T cell-derived inducible factor beta (Iltifb), mRNA.
24.7	Igh6	Immunoglobulin heavy chain 6 (heavy chain of IgM)
17.4	Bst1	bone marrow stromal cell antigen 1 (Bst1), mRNA.
9.9	Ccl8	chemokine (C-C motif) ligand 8 (Ccl8), mRNA.
8	Gzma	granzyme A (Gzma), mRNA.
7.5	Mrpl38	mitochondrial ribosomal protein L38 (Mrpl38), mRNA.
6.8	Dennd2d	DENN/MADD domain containing 2D (Dennd2d), mRNA.
6.7	Il9	interleukin 9 (Il9), mRNA.
5.4	Ccdc18	coiled-coil domain containing 18 (Ccdc18), mRNA.
5	Dtx1	deltex 1 homolog (Drosophila) (Dtx1), mRNA.
4.7	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta) (Adam19)
4.6	Il12rb2	interleukin 12 receptor, beta 2 (Il12rb2), mRNA.
4.4	Hdgfrp3	hepatoma-derived growth factor, related protein 3 (Hdgfrp3), mRNA.
4.2	Aldh1b1	aldehyde dehydrogenase 1 family, member B1 (Aldh1b1), mRNA.
4.2	Pabpc1	poly A binding protein, cytoplasmic 1 (Pabpc1), mRNA.
4.2	Ck2	Mus musculus casein kinase 2 beta subunit (gMCK2) gene
4.2	Dpp4	dipeptidylpeptidase 4 (Dpp4), mRNA.
4.1	Flnc	PREDICTED: filamin C, gamma (actin binding protein 280), transcript variant 3 (Flnc), mRNA.
4.1	IgkV23	Immunoglobulin kappa chain variable 23 (V23)
4.1	Ifi205	interferon activated gene 205 (Ifi205), mRNA.
4	Hes1	hairy and enhancer of split 1 (Drosophila) (Hes1), mRNA.
4	Tfrc	transferrin receptor (Tfrc), mRNA.
-4	Anxa2	annexin A2 (Anxa2), mRNA.
-4	Laptm4b	lysosomal-associated protein transmembrane 4B (Laptm4b), mRNA.
-4	Nrbp	nuclear receptor binding protein (Nrbp), mRNA.
-4.1	Cstb	cystatin B (Cstb), mRNA.
-4.1	Igfbpl1	Insulin-like growth factor binding protein-like 1
-4.1	Ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
-4.2	Krt26a	Keratin complex 2, basic, gene 6a
-4.2	Gtf2h4	general transcription factor II H, polypeptide 4 (Gtf2h4), mRNA.
-4.3	Rb1cc1	RB1-inducible coiled-coil 1 (Rb1cc1), mRNA.
-4.4	Plxdc2	plexin domain containing 2 (Plxdc2), mRNA.
-4.5	Cidea	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A (Cidea), mRNA.
-4.9	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1 (Arhgef1), mRNA.
-4.9	Cxcl11	chemokine (C-X-C motif) ligand 11 (Cxcl11), mRNA.
-4.9	Diras2	DIRAS family, GTP-binding RAS-like 2 (Diras2), mRNA.
-5	H2Ab1	histocompatibility 2, class II antigen A, beta 1 (H2-Ab1), mRNA.
-5.2	Zfp236	Zinc finger protein 236
-5.2	S100a16	S100 calcium binding protein A16 (S100a16), mRNA.
-5.4	Plxnd1	Plexin D1
-5.5	LOC674927	PREDICTED: similar to melanoma antigen (LOC674927), mRNA.
-5.5	Ubd	ubiquitin D (Ubd), mRNA.
-5.8	Serinc3	serine incorporator 3 (Serinc3), mRNA.
-6	Tcrd	T-cell receptor delta
-6.2	5830406J20Rik	RIKEN cDNA 5830406J20 gene (5830406J20Rik), mRNA.
-6.2	Cox6a2	cytochrome c oxidase, subunit VI a, polypeptide 2 (Cox6a2), mRNA.
-6.7	A430035B10Rik	RIKEN cDNA A430035B10 gene
-7	Coro1a	coronin, actin binding protein 1A (Coro1a), mRNA.
-7.1	Cbr2	carbonyl reductase 2 (Cbr2), mRNA.
-7.2	Itk	IL2-inducible T-cell kinase
-7.3	Tcra	T-cell receptor alpha chain V region CTL-F3 precursor
-7.6	Tceal8	Transcription elongation factor A (SII)-like 8
-7.9	LOC14433	similar to glyceraldehyde-3-phosphate dehydrogenase (LOC14433), mRNA.
-10.4	Tcrb	T-cell receptor beta, variable 13
-10.7	Crip3	cysteine-rich protein 3 (Crip3), transcript variant TLP-B, mRNA.
-10.9	Tctex1d1	Tctex1 domain containing 1 (Tctex1d1), mRNA.
-55.2	Prss16	protease, serine, 16 (thymus) (Prss16), mRNA.
