Gene Symbol	TaqMan Probe	Differentially Expressed Hypothalamus (significant probes, n)	TaqMan Fold Change HT	Gene Name
2610033H07Rik	Mm00804627_m1	UP (1)	1.16	RIKEN cDNA 2610033H07 gene
3110050K21Rik	Mm00546532_m1	UP (2)	1.21	RIKEN cDNA 3110050K21 gene
5330430C04Rik	Mm00547202_s1	UP (1)	1.72	RIKEN cDNA 5330430C04 gene
Alcam	Mm00711623_m1	UP (1)	1.34	activated leukocyte cell adhesion molecule
App	Mm00431827_m1	UP (1)	1.48	amyloid Beta (A4) precursor protein
Atp2c1	Mm00723486_m1	UP (2)	1.13	ATPase, Ca2+ -sequestering
AV344025	Mm00619212_s1	UP (1)	1.58	expressed sequence AV344025
Brunol4	Mm00659682_m1	UP (1)	1.19	bruno-like 4, RNA binding protein (Drosophila)
C230094A16Rik	Mm00524591_m1	UP (1)	1.3	RIKEN cDNA C230094A16 gene
Cacna1b	Mm00432226_m1	UP (1)	1.21	calcium channel, voltage-dependent, N type, 1B subunit
Cdc42ep1	Mm00840486_m1	DW (1)	-1.67	CDC42 effector protein (Rho GTPase binding) 1
Cspg6	Mm00484015_m1	UP (1)	1.58	chondroitin sulfate proteoglycan 6
D13Bwg1146e	Mm00712799_m1	UP (1)	1.35	DNA segment, Chr 13, Brigham & Womens Genetics 1146 expressed
D430033N04Rik	Mm00524728_m1	UP (1)	1.14	RIKEN cDNA D430033N04 gene
Ddx1	Mm00506205_m1	UP (1)	1.22	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
Dek	Mm00662582_m1	UP (1)	1.4	DEK oncogene (DNA binding)
Dlgh2	Mm00457160_m1	UP (1)	1.33	discs, large homolog 2 (Drosophila)
Dmxl2	Mm00555326_m1	UP (1)	1.48	Dmx-like 2
Eml5	Mm00617921_m1	UP (1)	1.61	echinoderm microtubule associated protein like 5
Endog	Mm00468248_m1	DW (1)	-1.72	endonuclease G
Epha4	Mm00433056_m1	UP (1)	1.99	Eph receptor A4
Fign	Mm00517634_m1	UP (1)	1.46	fidgetin
Gabra2	Mm00433435_m1	UP (2)	1.85	gamma-aminobutyric acid (GABA-A) receptor, subunit  alpha2
Grip1	Mm00503833_m1	UP (1)	1.53	glutamate receptor interacting protein 1
Hsd11b1	Mm00476182_m1	DW (1)	-1.58	hydroxysteroid 11-Beta dehydrogenase 1
Igsf4a	Mm00457551_m1	UP (1)	1.27	immunoglobulin superfamily, member 4A
Kcnd2	Mm00498065_m1	UP (1)	1.49	potassium voltage-gated channel, Shal-related family, member 2
Lair1	Mm00618113_m1	UP (1)	1.35	leukocyte-associated Ig-like receptor 1
Malt1	Mm00555961_m1	UP (1)	1.51	mucosa-associated lymphoid tissue lymphoma translocation gene 1
March7	Mm00480418_m1	UP (1)	1.27	membrane-associated ring finger (C3HC4) 7
Metrnl	Mm00522681_m1	DW (1)	-1.85	meteorin, glial cell differentiation regulator-like
Mtdh	Mm00482588_m1	UP (1)	1.28	Metadherin
Mtpn	Mm00456070_m1	UP (1)	1.28	myotrophin
Ncor1	Mm00448681_m1	UP (1)	1.22	nuclear receptor co-repressor 1
Ncor1	Mm00623596_g1	UP (1)	1.42	nuclear receptor co-repressor 1
Nol3	Mm00446066_m1	DW (1)	-1.44	nucleolar protein 3 (apoptosis repressor with CARD domain)
Nr2f2	Mm00772789_m1	UP (1)	1.29	nuclear receptor subfamily 2, group F, member 2
Nucks1	Mm00620696_m1	UP (1)	1.3	nuclear casein kinase and cyclin-dependent kinase substrate 1
Odz1	Mm00600053_m1	UP (1)	1.51	odd Oz/ten-m homolog 1 (Drosophila)
Odz3	Mm00496227_m1	UP (1)	1.61	odd Oz/ten-m homolog 3 (Drosophila)
Plcb1	Mm00479987_m1	UP (2)	1.22	phospholipase C,  beta1
Pop5	Mm00503231_m1	DW (1)	-1.78	processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae)
Ppargc1a	Mm00731216_s1	UP (1)	1.22	peroxisome proliferative activated receptor, gamma, coactivator 1 .
Rnf20	Mm00812895_m1	UP (1)	1.38	ring finger protein 20
Rpe	Mm00481815_m1	UP (1)	1.18	ribulose-5-phosphate-3-epimerase
Sp4	Mm00599719_m1	UP (1)	1.2	trans-acting transcription factor 4
Syt1	Mm00436855_m1	UP (2)	1.56	synaptotagmin I
Tmem10	Mm00463365_m1	DW (1)	-1.66	transmembrane protein 10
Zfp148	Mm00711990_m1	UP (1)	1.49	zinc finger protein 148
Zfp291	Mm00615854_m1	UP (1)	1.38	zinc finger protein 291
Zfp608	Mm00558913_m1	UP (1)	1.38	zinc finger protein 608
