Probe	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)	Description
204069_at	MEIS1	552	-5.662096037	-3.50882415	0.619704104	0.065076372	0	MEIS1-overexpressed
1559477_s_at	MEIS1	108	-4.014459664	-2.404921552	0.599064819	0.151245492	0	MEIS1-overexpressed
229309_at	ADRB1	2417	-3.679459695	-2.567765787	0.697864904	0.10646444	0	MEIS1-overexpressed
214651_s_at	HOXA9	1441	-3.334977863	-4.392151965	1.316995838	0.008047441	0	MEIS1-overexpressed
213844_at	HOXA5	1390	-3.26257535	-3.483776366	1.067799512	0.031226759	0	MEIS1-overexpressed
204030_s_at	SCHIP1	547	-3.17710989	-2.454198079	0.772462447	0.099326399	0	MEIS1-overexpressed
236738_at	LOC401097	2657	-2.951358069	-2.157153407	0.730901963	0.129987335	0	MEIS1-overexpressed
209386_at	TM4SF1	990	-2.732684596	-2.377205468	0.869915786	0.087846292	0	MEIS1-overexpressed
217853_at	TNS3	1551	-2.611785774	-2.246297081	0.860061765	0.227681555	0	MEIS1-overexpressed
206478_at	KIAA0125	809	-2.516966282	-2.329523015	0.925528098	0.234941605	0	MEIS1-overexpressed
208091_s_at	ECOP	888	-2.457395218	-1.658402458	0.674861922	0.410360674	0	MEIS1-overexpressed
211597_s_at	HOPX	1174	-2.275395483	-2.530380498	1.112061845	0.14773388	0	MEIS1-overexpressed
201427_s_at	SEPP1	230	-2.249513032	-2.72721072	1.212356044	0.040124947	0	MEIS1-overexpressed
202760_s_at	PALM2-AKAP2	391	2.686018369	2.128610228	0.792477912	2.727961511	0	MEIS1-underexpressed
226694_at	AKAP2	2209	2.554037864	2.234253315	0.874792557	2.714176403	0	MEIS1-underexpressed
202759_s_at	AKAP2	390	2.423221305	1.663028711	0.686288416	2.954334907	0	MEIS1-underexpressed
210997_at	HGF	1140	2.413057541	2.583490531	1.070629476	10.91863017	0	MEIS1-underexpressed
