Probe Set	Gene Symbol	Pearson Correlation Coefficient	P-value
226363_at	ABCC5	-0.62	7.85E-05
232184_at	ALS2	-0.56	6.14E-04
222624_s_at	ANC_2H01	-0.54	4.25E-04
218413_s_at	ANC_2H01	-0.53	6.72E-04
221522_at	ANKRD27	-0.58	1.17E-04
226861_at	ASB8	-0.51	9.47E-04
213473_at	BRAP	-0.56	2.55E-04
41512_at	BRAP	-0.54	4.77E-04
228570_at	BTBD11	-0.62	2.74E-05
230129_at	C10orf89	-0.65	1.55E-05
225075_at	C20orf126	-0.57	1.83E-04
221517_s_at	CRSP6	-0.57	3.06E-04
232483_at	CRSP6	-0.54	5.33E-04
207532_at	CRYGD	-0.53	5.43E-04
225549_at	DDX6	-0.53	5.88E-04
243927_x_at	DKFZP434I116	-0.57	4.38E-04
210762_s_at	DLC1	-0.59	6.00E-04
203822_s_at	ELF2	-0.52	7.44E-04
213779_at	EMID1	-0.55	4.07E-04
1554833_at	FLJ11175	-0.54	5.28E-04
235343_at	FLJ12505	-0.58	1.48E-04
217961_at	FLJ20551	-0.61	5.22E-05
56919_at	GORASP1	-0.52	8.75E-04
215554_at	GPLD1	-0.55	4.03E-04
212206_s_at	H2AFV	-0.60	1.25E-04
212205_at	H2AFV	-0.59	1.35E-04
209558_s_at	HIP1R	-0.54	5.03E-04
231836_at	HKR1	-0.52	8.45E-04
224734_at	HMGB1	-0.60	8.71E-05
229129_at	HNRPD	-0.58	2.36E-04
210046_s_at	IDH2	-0.57	2.18E-04
218192_at	IHPK2	-0.56	2.76E-04
204568_at	KIAA0831	-0.56	2.91E-04
227230_s_at	KIAA1211	-0.59	1.09E-04
236189_at	KIAA1223	-0.62	5.67E-05
242513_x_at	KIAA2018	-0.52	7.32E-04
229305_at	KLIP1	-0.60	1.02E-04
229582_at	LOC125476	-0.57	2.13E-04
1554300_a_at	LOC136306	-0.53	6.95E-04
227255_at	LOC149420	-0.60	1.09E-04
1557534_at	LOC339862	-0.55	3.84E-04
208107_s_at	LOC81691	-0.56	7.43E-04
1552277_a_at	MGC17337	-0.56	3.13E-04
235509_at	MGC40214	-0.53	7.46E-04
224802_at	NDFIP2	-0.54	7.28E-04
210448_s_at	P2RX5	-0.57	2.65E-04
226610_at	p30	-0.62	8.47E-05
226611_s_at	p30	-0.60	9.66E-05
208051_s_at	PAIP1	-0.57	3.53E-04
209064_x_at	PAIP1	-0.56	5.95E-04
232575_at	PCA3	-0.53	6.74E-04
225830_at	PDZK8	-0.58	1.44E-04
225829_at	PDZK8	-0.54	5.08E-04
229553_at	PGM2L1	-0.55	4.50E-04
229256_at	PGM2L1	-0.55	3.39E-04
219654_at	PTPLA	-0.62	3.42E-05
225202_at	RHOBTB3	-0.62	6.71E-05
205856_at	SLC14A1	-0.54	7.69E-04
213549_at	SLC18A2	-0.56	3.48E-04
209712_at	SLC35D1	-0.57	2.69E-04
225223_at	SMAD5	-0.53	6.98E-04
212652_s_at	SNX4	-0.55	3.01E-04
213668_s_at	SOX4	-0.57	1.70E-04
225455_at	STAF42	-0.60	8.91E-05
213730_x_at	TCF3	-0.67	8.80E-06
213811_x_at	TCF3	-0.67	8.60E-06
210776_x_at	TCF3	-0.66	1.07E-05
209153_s_at	TCF3	-0.64	1.75E-05
209152_s_at	TCF3	-0.58	1.85E-04
202720_at	TES	-0.52	7.35E-04
218605_at	TFB2M	-0.53	8.24E-04
219477_s_at	THSD1	-0.55	3.92E-04
1554890_a_at	TIA1	-0.54	5.14E-04
217979_at	TM4SF13	-0.64	1.58E-05
201266_at	TXNRD1	-0.52	7.41E-04
233360_at	UBE2I	-0.54	4.73E-04
214674_at	USP19	-0.52	9.13E-04
239406_at	ZNF193	-0.63	2.19E-05
223714_at	ZNF256	-0.52	7.68E-04
228605_at	Not assigned	-0.70	1.70E-06
227121_at		-0.64	1.81E-05
1564468_at		-0.63	2.13E-05
242434_at		-0.63	1.87E-05
213156_at		-0.62	6.20E-05
231925_at		-0.60	5.67E-04
231929_at		-0.60	1.91E-04
231262_at		-0.59	1.63E-04
243259_at		-0.58	1.35E-04
228765_at		-0.56	2.76E-04
236931_at		-0.56	2.62E-04
230479_at		-0.56	2.57E-04
213158_at		-0.56	3.61E-04
243976_at		-0.55	3.10E-04
1569629_x_at		-0.55	3.39E-04
239383_at		-0.54	4.95E-04
235079_at		-0.53	6.90E-04
228275_at		-0.53	6.63E-04
238087_at		-0.53	6.09E-04
228490_at	ABHD2	0.55	4.00E-04
212895_s_at	ABR	0.53	6.56E-04
234312_s_at	ACAS2	0.62	6.73E-05
222592_s_at	ACSL5	0.68	3.80E-06
208636_at	ACTN1	0.52	8.85E-04
200996_at	ACTR3	0.53	6.43E-04
213101_s_at	ACTR3	0.57	2.02E-04
202603_at	ADAM10	0.55	3.85E-04
205180_s_at	ADAM8	0.55	3.96E-04
225059_at	AGTRAP	0.54	5.90E-04
205996_s_at	AK2	0.59	1.89E-04
212175_s_at	AK2	0.64	6.74E-05
225701_at	AKNA	0.53	6.82E-04
201951_at	ALCAM	0.54	5.12E-04
201952_at	ALCAM	0.56	2.97E-04
205640_at	ALDH3B1	0.70	1.20E-06
228094_at	AMICA	0.53	9.62E-04
225524_at	ANTXR2	0.52	7.27E-04
