GO id	GO term	Array count	List count	p-value	Gene symbol	Use
19752	carboxylic acid metabolic process	401	68	9.23E-22	GNE;AASS;SLC25A15;ACAA2;AGPAT2;MTHFS;PPARGC1A;SDS;SLC27A5;SLC27A2;CPT1A;CPT2;CTH;CTPS;CYP2J2;DBH;DDT;SARDH;ABAT;AGXT;FAAH;ACSL1;FAH;FBP1;GCH1;GLS2;GOT1;GPD1;GSTZ1;ACAA1;HAL;HGD;HMGCL;ACACB;HPGD;ACADL;ACADM;IGF1;ACADS;LTC4S;MAT1A;ALDH6A1;ASL;LOC440792;ASS1;PCCA;PCCB;PCK1;PCK2;HAO2;CYP39A1;PRKAG2;GLULD1;PFKFB1;PRODH;PTS;BCKDHA;BCKDHB;SHMT1;SLC3A1;AKR1D1;TAT;TDO2;TNFRSF1A;BBOX1;CBS;KYNU;CD4	In biological process
6091	generation of precursor metabolites and energy	413	60	5.63E-16	AASS;PPARGC1A;TREH;COX7B;ADRA1B;CYB5A;CYP1A2;CYP2A6;CYP2A13;CYP2B6;CYP2B7P1;CYP2C19;CYP2C8;CYP2C18;CYP2D6;CYP2J2;CYP3A5;CYP11A1;CYP26A1;DAO;SARDH;AGL;ERN1;ETFA;ETFDH;FDX1;KIAA0404;NNT;SLC37A4;GCDH;GCGR;GLRX;GYS2;ACAA1;HMGCL;ACADL;ACADM;ACADS;AQP7;IVD;LEPR;ACO1;NQO2;NOS2A;PCK1;NDUFAF1;HAO2;CYP39A1;GFOD1;PPP1R1A;AVPR1A;CYP4F11;SDHB;SDHD;AKR1D1;XDH;GFOD2;BBOX1;KMO;SUCLG2	In biological process
6118	electron transport	271	45	2.31E-14	AASS;PPARGC1A;COX7B;CYB5A;CYP1A2;CYP2A6;CYP2A13;CYP2B6;CYP2B7P1;CYP2C19;CYP2C8;CYP2C18;CYP2D6;CYP2J2;CYP3A5;CYP11A1;CYP26A1;DAO;SARDH;ERN1;ETFA;ETFDH;FDX1;KIAA0404;NNT;GCDH;GLRX;ACADL;ACADM;ACADS;IVD;NQO2;NOS2A;NDUFAF1;HAO2;CYP39A1;GFOD1;CYP4F11;SDHB;SDHD;AKR1D1;XDH;GFOD2;BBOX1;KMO	In biological process
9056	catabolic process	501	58	3.28E-11	AASS;XLKD1;ADAMTS13;TREH;CIDEA;ADRA1B;DBH;SARDH;DNASE1L3;ABAT;ENO3;FAH;ALDOB;NNT;GCH1;GOT1;GPD1;DCPS;GSTZ1;GUSB;HAL;HGD;HK3;STS;ASL;LOC440792;ACO1;NTHL1;PCCB;DERA;CYP39A1;PFKFB1;PLCG2;PNLIP;SMPD3;DHTKD1;OGDHL;PRODH;SMURF1;GBA3;PTS;BCKDHA;BCKDHB;SDHB;SDHD;SHMT1;AKR1D1;TAT;UPP1;USP9X;COLQ;HSD17B6;SUCLG2;KYNU;MGAM;USP2;EDEM1;CDA	In biological process
6629	lipid metabolic process	530	60	3.70E-11	GNE;PEMT;ST3GAL6;ACAA2;AGPAT2;CETP;PPARGC1A;SLC27A5;SLC27A2;MGLL;OSBPL1A;OSBPL9;CIDEA;ADM;CPT1A;CPT2;CYP2J2;CYP3A5;CYP11A1;ABAT;FAAH;ACSL1;ALDH3B2;FDX1;ANG;ACAA1;HSD17B10;APOF;ACACB;HPGD;ACADL;ACADM;ACADS;INSIG1;LCAT;LPA;LTC4S;STS;PCCA;PCCB;PCK1;HAO2;CYP39A1;PRKAG2;PLCG2;PNLIP;SMPD3;SCP2;SORL1;SRD5A1;SRD5A2;AKR1D1;TNFRSF1A;UGT2B15;MOGAT2;STARD5;RDH16;PPAP2B;HSD17B6;NR1I2	In biological process
6807	nitrogen compound metabolic process	345	45	1.25E-10	GNE;AASS;SLC25A15;ST3GAL6;XLKD1;SDS;CTH;CTPS;DBH;DDT;SARDH;ABAT;EXT1;FAH;GCH1;GLS2;GOT1;GSTZ1;GUSB;HAL;HGD;HMGCL;ITIH4;MAT1A;ALDH6A1;ASL;LOC440792;ASS1;NOS2A;GLULD1;PRODH;CHST7;PTS;BCKDHA;BCKDHB;SHMT1;SLC3A1;TAT;TDO2;COLQ;BBOX1;CBS;VNN1;KYNU;CD4	In biological process
2526	acute inflammatory response	60	17	6.98E-10	MASP2;CR1;CRP;F2;CFI;ITIH4;CFP;SIGIRR;SAA3P;SAA4;SERPING1;C1R;C6;C8A;C8B;C8G;C9	In biological process
6519	amino acid and derivative metabolic process	261	36	2.08E-09	AASS;SLC25A15;SDS;CTH;CTPS;DBH;DDT;SARDH;ABAT;FAH;GCH1;GLS2;GOT1;GSTZ1;HAL;HGD;HMGCL;MAT1A;ALDH6A1;ASL;LOC440792;ASS1;GLULD1;PRODH;PTS;BCKDHA;BCKDHB;SHMT1;SLC3A1;TAT;TDO2;COLQ;BBOX1;CBS;KYNU;CD4	In biological process
6956	complement activation	30	11	3.69E-08	MASP2;CR1;CFI;CFP;SERPING1;C1R;C6;C8A;C8B;C8G;C9	In biological process
8202	steroid metabolic process	138	23	5.37E-08	ACAA2;CETP;OSBPL1A;OSBPL9;ADM;CYP3A5;CYP11A1;FDX1;APOF;INSIG1;LCAT;STS;CYP39A1;PRKAG2;SCP2;SORL1;SRD5A1;SRD5A2;AKR1D1;UGT2B15;STARD5;HSD17B6;NR1I2	In biological process
