Gene symbol	Gene name	Microarray M3/oAML FC	nCounter Data M3/oAML FC	M3 avg	oAML avg	P	r	Validated?	P
GABRE	ã-Aminobutyric acid (GABA) A receptor, e	35.4	7.8	14.8	1.9	0.001	0.75	ND	ND
FGF13	Fibroblast growth factor 13	24.5	20	22.1	1.1	<0.001	0.94	No	0.206
HGF	Hepatocyte growth factor	21.3	24.4	1,311	53.7	0.001	0.93	Yes	<0.001
ANXA8	Annexin A8	21.3	39	100.4	2.6	0.003	0.96	Yes	<0.001
PTPRG	Protein tyrosine phosphatase, receptor type, G	16.9	11.4	14.3	1.3	<0.001	0.8	ND	ND
SIX3	SIX homeobox 3	16.2	12	36.7	3.1	0.003	0.98	ND	ND
S100B	S100 calcium binding protein B	14	17.9	123.3	6.9	0.003	0.97	ND	ND
NNMT	Nicotinamide N-methyltransferase	13.7	8.7	27.7	3.2	0.031	0.96	ND	ND
PTGDS	Prostaglandin D2 synthase 21 kDa	12.1	51.6	38.6	0.7	0.003	0.97	ND	ND
FAM19A5	Family with sequence similarity 19 (chemokine-like), member A5	12.1	19.3	17.9	0.9	0.005	0.97	ND	ND
TNFRSF4	Tumor necrosis factor receptor superfamily, member 4	12	17	27.1	1.6	0.01	0.92	Yes	<0.001
IGFBP2	Insulin-like growth factor binding protein 2	11.4	16.5	396	24	<0.001	0.97	Yes	<0.001
PPARG	Peroxisome proliferator activated receptor ã	11.1	8.1	25.7	3.2	<0.001	0.96	Yes	0.0033
TWIST1	Twist homolog 1	11.1	9.2	23.4	2.5	<0.001	0.9	ND	ND
STAB1	Stabilin 1	9.8	10.5	671.5	63.8	<0.001	0.85	Yes	<0.001
EBF3	Early B cell factor 3	9.7	9.3	33	3.5	0.005	0.72	ND	ND
FBLN1	Fibulin 1	9.2	6.8	4.1	0.6	0.012	0.86	ND	ND
NLRC4	NLR family, CARD domain containing 4	0.14	0.2	3	13.9	0.005	0.94	ND	ND
S100A8	S100 calcium binding protein A8	0.13	0.06	103.7	1,780	0.006	0.78	ND	ND
FGR	V-fgr oncogene homolog	0.13	0.06	17	268.3	0.017	0.94	ND	ND
TNFRSF1B	Tumor necrosis factor receptor superfamily, member 1B	0.13	0.06	8.5	139.1	0.02	0.99	ND	ND
NCF2	Neutrophil cytosolic factor 2	0.12	0.24	36.8	152	0.046	0.92	No	0.215
BCL2A1	BCL2-related protein A1	0.11	0.25	15.6	63	0.035	0.95	ND	ND
ITGB2	Integrin, â2	0.11	0.12	47.2	387.2	0.002	0.91	ND	ND
LRRC25	Leucine rich repeat containing 25	0.1	0.11	2.9	27.3	0.041	0.95	ND	ND
AMICA1	Adhesion molecule, interacts with CXADR antigen 1	0.1	0.63	0.6	0.9	0.203	0.8	ND	ND
SKAP2	Src kinase associated phosphoprotein 2	0.1	0.15	3.3	21.5	<0.001	0.86	ND	ND
NRIP1	Nuclear receptor interacting protein 1	0.09	0.14	4.7	32.9	<0.001	0.9	Yes	0.048
LILRB2 / LILRB3 / LILRA6	Leukocyte Ig-like receptor subfamily B2/B3/A6	0.09	0.13	14.2	111.7	0.014	0.9	ND	ND
SLC15A3	Solute carrier family 15, member 3	0.08	0.24	3.4	13.9	0.075	0.82	ND	ND
CD300A	CD300a molecule	0.07	0.69	6.6	9.5	0.303	0.19	ND	ND
KCTD12	Potassium channel tetramerisation domain-containing 12	0.07	0.13	4.5	35.7	0.042	0.92	ND	ND
S100A9	S100 calcium binding protein A9	0.07	0.05	50.1	992.5	0.012	0.8	ND	ND
HK3	Hexokinase 3 (white cell)	0.06	0.36	4.6	13	0.11	0.825	ND	ND
P2RY13	Purinergic receptor P2Y, G-protein coupled, 13	0.04	0.11	6.2	54.3	0.013	0.95	ND	ND
MS4A6A	Membrane-spanning 4 domains, subfamily A, member 6A	0.04	0.12	2.5	20.1	0.007	0.89	ND	ND
VNN1	Vanin 1	0.03	0.18	2.2	12.4	0.005	0.81	ND	ND
