Accession	Gene	Time
X7230	Corticotropin releasing hormone receptor	A549 Vs. 15 mins:  -0.5
NM_014012	RAS-like GTP-binding	A549 Vs. 15 mins:  -0.5
NM_018028	Hypothetical protein FLJ10211	A549 Vs. 15 mins:  -0.5
AW003030	Splicing factor 3b, subunit 1	A549 Vs. 15 mins:  -0.5
XM_373433	Hypothetical protein BC002926	A549 Vs. 15 mins:  -0.5
NM_015638	Transient receptor potential cation channel	A549 Vs. 15 mins:  -0.5
NM_020660	Connexin-36	A549 Vs. 15 mins:  -0.5
NM_005469	Peroxisomal acyl-CoA thioesterase	A549 Vs. 30 mins: -0.5
AL571723	SPRY domain-containing SOCS box protein SSB-3	A549 Vs. 30 mins: -0.5
N39314	Mitochondrial carrier triple repeat 1	A549 Vs. 30 mins: -0.5
X02761	Fibronectin 1	A549 Vs. 30 mins: -0.5
NM_022829	Solute carrier family 13	A549 Vs. 30 mins: -0.5
AK026737	Fibronectin 1	A549 Vs. 30 mins: -0.5
NM_020660	Connexin-36	A549 Vs. 30 mins: -0.5
AB012305	Cyclin-dependent kinase 2	A549 Vs.120 mins:  -0.5
NM_001086	Arylacetamide deacetylase	A549 Vs.120 mins:  -0.5
NM_004083	Methionine-tRNA synthetase	A549 Vs.120 mins:  -0.5
NM_006933	Mitochondrial ribosomal protein S6	A549 Vs.120 mins:  -0.5
NM_013453	Sperm protein associated with the nucleus, X-linked	A549 Vs.120 mins:  -0.5
NM_020660	Connexin-36	A549 Vs.120 mins:  -0.5
AK026737	Fibronectin 1	A549 Vs.120 mins:  -0.5
NM_005345	Heat shock 70Kda protein 1A	A549 Vs. 240 mins: -0.5
NM_014158	Core 1 UDP-galactose	A549 Vs. 240 mins: -0.5
NM_005203	Collagen, type XIII, alpha 1	A549 Vs. 240 mins: -0.5
L03203	Peripheral myelin protein 22	A549 Vs. 240 mins: -0.5
NM_001417	Eukaryotic translation initiation factor 4B	A549 Vs. 240 mins: -0.5
NM_017960	Hypothetical protein FLJ20808	A549 Vs. 240 mins: -0.5
AB012305	Cyclin-dependent kinase 2	A549 Vs. 240 mins: -0.5
