Classification	Accession ID	Symbol	Gene name	Expression level (Log2 ratio)a)
Cell communication	NM_003682.2	MADD	MAP-kinase activating death domain	1.46
Cell growth and/or maintenance	NM_016426.3	GTSE1	G-2 and S-phase expressed 1	1.27
Cell growth and/or maintenance	NM_003254.1	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	1.06
Cell growth and/or maintenance	NM_006812.1	OS-9	amplified in osteosarcoma	1.1
Cell growth and/or maintenance	NM_001376.2	DNCH1	dynein, cytoplasmic, heavy polypeptide 1	1.35
Metabolism	NM_016035.1	COQ4	coenzyme Q4 homolog (yeast)	1.13
Metabolism	NM_006556.2	PMVK	phosphomevalonate kinase	1.12
Metabolism	NM_014595.1	NT5C	5,3-nucleotidase, cytosolic	1.08
Metabolism	NM_006799.2	PRSS21	protease, serine, 21 (testisin)	1.45
Oxidoreductase activity	NM_023944.1	CYP4F12	Cytochrome P450, family 4, subfamily F, polypeptide 12	1.14
Oxidoreductase activity	NM_007103.2	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51 kDa	1.31
Protein binding	NM_003127.1	SPTAN1	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	1.21
Protein binding	NM_004433.2	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	1.51
Protein binding	NM_002167.2	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	0.98
Miscellaneous	NM_003297.1	NR2C1	nuclear receptor subfamily 2, group C, member 1	1.42
Miscellaneous	NM_021009.2	UBC	ubiquitin C	1.02
Miscellaneous	NM_003040.2	SLC4A2	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	1.11
Miscellaneous	NM_021971.1	GMPPB	GDP-mannose pyrophosphorylase B	1.02
Miscellaneous	NM_012410.1	PSK-1	type I transmembrane receptor (seizure-related protein)	1.04
Miscellaneous			1BO1 (H.sapiens) A Chain A, Phosphatidylinositol Phosphate Kinase Type II Beta	1.25
Miscellaneous	NM_0.80861.3	SSB3	SPRY domain-containing SOCS box protein SSB-3	1.38
