Probe Set	Name	Symbol	WBC?Day3 R	WBC?Day3 P	WBC?Day3 FDR	WBC?Day3 adj. for MTXPG R	WBC?Day3 adj. for MTXPG p
218741_at	chromosome 22 open reading frame 18	C22orf18	-0.37	1.00E-06	6.00E-03	-0.36	1.00E-05
203755_at	BUB1 budding uninhibited by benzimidazoles 1	BUB1B	-0.37	2.00E-06	6.00E-03	-0.4	2.00E-06
212836_at	polymerase (DNA-directed), delta 3	POLD3	-0.36	2.00E-06	6.00E-03	-0.38	4.00E-06
209642_at	BUB1 budding uninhibited by benzimidazoles 1	BUB1	-0.36	2.00E-06	6.00E-03	-0.4	1.00E-06
204908_s_at	B-cell CLL/lymphoma 3	BCL3	0.36	3.00E-06	6.00E-03	0.29	6.00E-04
202499_s_at	solute carrier family 2 (facilitated glucose transport)	SLC2A3	0.36	3.00E-06	6.00E-03	0.36	2.00E-05
206499_s_at	regulator of chromosome condensation 1	RCC1	-0.35	4.00E-06	6.00E-03	-0.29	6.00E-04
205786_s_at	integrin, alpha M (complement component receptor 3, alpha also known as CD11b (p170)	ITGAM	0.35	4.00E-06	6.00E-03	0.32	1.00E-04
209507_at	Replication protein A3, 14kDa	RPA3	-0.35	7.00E-06	6.00E-03	-0.37	8.00E-06
206544_x_at	SWI/SNF related, matrix associated, actin depend. regulator of chromatin, subfamily a, member 2	SMARCA2	0.35	7.00E-06	6.00E-03	0.35	4.00E-05
201664_at	SMC4 structural maintenance of chromosomes 4	SMC4L1	-0.35	7.00E-06	6.00E-03	-0.41	1.00E-06
201998_at	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	ST6GAL1	0.35	7.00E-06	6.00E-03	0.3	4.00E-04
204767_s_at	flap structure-specific endonuclease 1	FEN1	-0.34	7.00E-06	6.00E-03	-0.29	6.00E-04
207828_s_at	centromere protein F, 350/400ka (mitosin)	CENPF	-0.34	8.00E-06	6.00E-03	-0.43	2.00E-07
219076_s_at	peroxisomal membrane protein 2, 22kDa	PXMP2	-0.34	8.00E-06	6.00E-03	-0.31	2.00E-04
202064_s_at	sel-1 suppressor of lin-12-like (C. elegans)	SEL1L	0.34	1.00E-05	7.00E-03	0.41	1.00E-06
209994_s_at	ATP-binding cassette, sub-family B (MDR/TAP), 1	ABCB1	0.34	1.00E-05	7.00E-03	0.37	8.00E-06
203022_at	ribonuclease H2, large subunit	RNASEH2A	-0.34	1.00E-05	7.00E-03	-0.36	2.00E-05
201531_at	zinc finger protein 36, C3H type, homolog (mouse)	ZFP36	0.34	1.00E-05	8.00E-03	0.38	5.00E-06
204882_at	Rho GTPase activating protein 25	ARHGAP25	0.34	1.00E-05	8.00E-03	0.24	5.00E-03
202870_s_at	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	-0.33	2.00E-05	8.00E-03	-0.38	4.00E-06
207165_at	hyaluronan-mediated motility receptor (RHAMM)	HMMR	-0.33	2.00E-05	8.00E-03	-0.35	3.00E-05
200905_x_at	major histocompatibility complex, class I, E	HLA-E	0.33	2.00E-05	8.00E-03	0.36	1.00E-05
208991_at	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	0.33	2.00E-05	8.00E-03	0.26	2.00E-03
219918_s_at	asp (abnormal spindle)-like, microcephaly assoc.	ASPM	-0.33	2.00E-05	9.00E-03	-0.38	6.00E-06
221521_s_at		Pfs2	-0.33	2.00E-05	9.00E-03	-0.33	7.00E-05
218943_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	DDX58	0.33	2.00E-05	9.00E-03	0.29	5.00E-04
208808_s_at	high-mobility group box 2	HMGB2	-0.33	2.00E-05	9.00E-03	-0.25	3.00E-03
219371_s_at	Kruppel-like factor 2 (lung)	KLF2	0.33	2.00E-05	9.00E-03	0.37	1.00E-05
218350_s_at	geminin, DNA replication inhibitor	GMNN	-0.33	3.00E-05	9.00E-03	-0.31	3.00E-04
201477_s_at	ribonucleotide reductase M1 polypeptide	RRM1	-0.32	3.00E-05	9.00E-03	-0.32	2.00E-04
202613_at	CTP synthase	CTPS	-0.32	3.00E-05	9.00E-03	-0.36	2.00E-05
218115_at	ASF1 anti-silencing function 1 homolog B (yeast)	ASF1B	-0.32	3.00E-05	9.00E-03	-0.28	9.00E-04
214459_x_at	major histocompatibility complex, class I, C	HLA-C	0.32	3.00E-05	1.00E-02	0.35	2.00E-05
213166_x_at		FLJ14346	-0.32	3.00E-05	1.00E-02	-0.31	3.00E-04
220865_s_at	trans-prenyltransferase	PDSS1	-0.32	4.00E-05	1.00E-02	-0.28
204170_s_at	CDC28 protein kinase regulatory subunit 2	CKS2	-0.32	4.00E-05	1.00E-02	-0.34	5.00E-05
200911_s_at	transforming, acidic coiled-coil containing protein 1	TACC1	0.32	4.00E-05	1.00E-02	0.33	8.00E-05
204026_s_at	ZW10 interactor	ZWINT	-0.32	4.00E-05	1.00E-02	-0.23	7.00E-03
204962_s_at	centromere protein A, 17kDa	CENPA	-0.32	4.00E-05	1.00E-02	-0.37	7.00E-06
