Gene	Rank	RMS	RES	CE
RPL8	12655	-1.318	0.0009	Yes
LAPTM4B	12646	-1.269	-0.0157	Yes
EIF3S3	12636	-1.18	-0.0316	Yes
E2F5	12630	-1.144	-0.0466	Yes
MRPL15	12629	-1.13	-0.0616	Yes
CPSF1	12626	-1.124	-0.0762	Yes
RB1CC1	12618	-1.079	-0.0903	Yes
UBE2V2	12616	-1.077	-0.1043	Yes
PTK2	12613	-1.075	-0.1182	Yes
SIAHBP1	12607	-1.056	-0.1319	Yes
PRKDC	12604	-1.051	-0.1455	Yes
EIF3S6	12598	-1.034	-0.1589	Yes
ATAD2	12595	-1.029	-0.1722	Yes
YWHAZ	12586	-1.016	-0.185	Yes
MRPL13	12577	-1.007	-0.1977	Yes
TERF1	12561	-0.992	-0.2097	Yes
SLC39A4	12556	-0.987	-0.2223	Yes
COPS5	12542	-0.98	-0.247	Yes
PTDSS1	12543	-0.98	-0.2342	Yes
TCEA1	12538	-0.977	-0.2596	Yes
RAD21	12515	-0.949	-0.2706	Yes
TPD52	12496	-0.929	-0.2816	Yes
RRS1	12495	-0.928	-0.2937	Yes
SCRIB	12482	-0.916	-0.3049	Yes
CYC1	12470	-0.903	-0.316	Yes
EXOSC4	12463	-0.896	-0.3273	Yes
ZNF7	12457	-0.893	-0.3386	Yes
CPNE3	12448	-0.886	-0.3497	Yes
MCM4	12413	-0.858	-0.3585	Yes
NCOA6IP	12362	-0.829	-0.3657	Yes
HSF1	12325	-0.805	-0.3737	Yes
UQCRB	12281	-0.782	-0.3808	Yes
TCEB1	12243	-0.764	-0.388	Yes
ATP6V1H	12219	-0.752	-0.3962	Yes
VPS28	12211	-0.746	-0.4054	Yes
ZBTB10	12151	-0.719	-0.4105	Yes
MRPS28	12138	-0.715	-0.4189	Yes
POLR2K	12135	-0.713	-0.4281	Yes
EBAG9	12113	-0.703	-0.4357	Yes
ATP6V1C1	12038	-0.673	-0.439	Yes
STAU2	11989	-0.657	-0.444	Yes
KIAA0103	11962	-0.646	-0.4505	Yes
TRAM1	11933	-0.638	-0.4567	Yes
MYC	11884	-0.617	-0.4612	Yes
KIAA0196	11870	-0.615	-0.4763	Yes
CA1	11877	-0.615	-0.4688	Yes
RPL30	11856	-0.611	-0.4833	Yes
ZNF16	11759	-0.581	-0.4836	Yes
TAF2	11755	-0.58	-0.491	Yes
EEF1D	11736	-0.575	-0.4971	Yes
KHDRBS3	11729	-0.573	-0.5042	Yes
RAD54B	11690	-0.564	-0.5086	Yes
FZD6	11683	-0.562	-0.5155	Yes
TSTA3	11637	-0.549	-0.5265	Yes
PXMP3	11638	-0.549	-0.5193	Yes
ASPH	11613	-0.543	-0.5318	Yes
RNF139	11563	-0.529	-0.535	Yes
PGCP	11553	-0.528	-0.5412	Yes
ENPP2	11552	-0.527	-0.5481	Yes
RECQL4	11398	-0.493	-0.5428	Yes
PYCRL	11384	-0.491	-0.5547	Yes
DEPDC6	11387	-0.491	-0.5484	Yes
SQLE	11298	-0.474	-0.5543	Yes
SNTB1	11186	-0.453	-0.5516	Yes
LOC137886	11106	-0.436	-0.5512	Yes
EIF2C2	11100	-0.435	-0.5565	Yes
WWP1	11050	-0.427	-0.5583	Yes
RAB2	10986	-0.414	-0.5588	Yes
GGH	10811	-0.384	-0.5503	Yes
GDAP1	10782	-0.379	-0.5531	Yes
HNF4G	10723	-0.372	-0.5534	Yes
CHCHD7	10715	-0.37	-0.5577	Yes
CRH	10704	-0.367	-0.5617	Yes
CYHR1	10627	-0.356	-0.5604	Yes
ST18	10527	-0.341	-0.5572	Yes
JRK	10516	-0.34	-0.5608	Yes
SOX17	10372	-0.319	-0.5538	Yes
GPR20	10340	-0.315	-0.5597	Yes
FBXL6	10343	-0.315	-0.5557	Yes
PLAG1	10274	-0.306	-0.5586	Yes
NSMAF	10230	-0.301	-0.5592	Yes
NCOA2	10217	-0.3	-0.5622	Yes
GSDMDC1	10196	-0.297	-0.5645	Yes
ZNF34	10161	-0.292	-0.5656	Yes
POP1	10081	-0.282	-0.5631	No
CA2	9936	-0.263	-0.5553	No
ZHX2	9760	-0.241	-0.5447	No
PTP4A3	9665	-0.231	-0.5404	No
PLEKHF2	9614	-0.225	-0.5394	No
SDC2	9595	-0.222	-0.5438	No
GRINA	9601	-0.222	-0.5413	No
CA8	9564	-0.219	-0.5443	No
NDRG1	9557	-0.218	-0.5467	No
NOV	9522	-0.214	-0.5469	No
OPLAH	9289	-0.192	-0.5311	No
STK3	9262	-0.189	-0.5315	No
NCALD	9213	-0.182	-0.5301	No
KIAA0143	9204	-0.181	-0.5319	No
LRRC14	9195	-0.18	-0.5336	No
TSPYL5	9071	-0.166	-0.5261	No
TG	8881	-0.147	-0.5132	No
COX6C	8880	-0.146	-0.5151	No
ANXA13	8729	-0.132	-0.5068	No
PLEC1	8731	-0.132	-0.5052	No
IMPA1	8713	-0.13	-0.5073	No
RNF19	8624	-0.122	-0.502	No
LOC138046	8520	-0.111	-0.4954	No
ARC	8171	-0.083	-0.469	No
CYP7A1	8145	-0.08	-0.468	No
PTTG2	7845	-0.059	-0.4452	No
NFKBIL2	7632	-0.044	-0.429	No
SLC26A1	7540	-0.038	-0.4223	No
RIPK2	7419	-0.03	-0.4132	No
RIMS2	7207	-0.017	-0.3967	No
TNFRSF11B	7189	-0.016	-0.3955	No
MTSS1	7068	-0.01	-0.3862	No
HAS2	6948	-0.002	-0.3768	No
MMP16	6434	0.027	-0.3357	No
HEY1	6348	0.033	-0.3293	No
DECR1	6120	0.045	-0.3116	No
EYA1	6102	0.046	-0.3108	No
SNTG1	5974	0.054	-0.3012	No
OXR1	5857	0.06	-0.2927	No
LY6D	5792	0.063	-0.2883	No
LY6E	5559	0.074	-0.2706	No
KCNQ3	5505	0.077	-0.2684	No
SNAI2	5528	0.077	-0.2691	No
PVT1	5183	0.093	-0.245	No
SULF1	5185	0.093	-0.2439	No
LOC157562	4784	0.116	-0.2144	No
GML	4698	0.12	-0.2091	No
BAI1	4561	0.128	-0.1998	No
CEBPD	4479	0.132	-0.195	No
TRPA1	4341	0.139	-0.1857	No
TRHR	4292	0.142	-0.1837	No
HHLA1	4285	0.143	-0.1851	No
PRDM14	4124	0.152	-0.1742	No
FLJ12547	4062	0.156	-0.1713	No
KCNB2	3950	0.162	-0.1644	No
FOXH1	3803	0.17	-0.1549	No
EXT1	3574	0.184	-0.1388	No
DPYS	3415	0.196	-0.1312	No
CYP7B1	3419	0.196	-0.1289	No
CDH17	3383	0.199	-0.1313	No
LACTB2	3015	0.226	-0.1046	No
DDEF1	2804	0.243	-0.0907	No
WISP1	2677	0.255	-0.0838	No
ST7	2577	0.263	-0.0792	No
PPM2C	2561	0.265	-0.0815	No
CYP11B2	2278	0.293	-0.0624	No
MSC	2244	0.297	-0.0635	No
LYN	2044	0.316	-0.0515	No
FLJ20366	1992	0.323	-0.0516	No
ODF1	1791	0.35	-0.0398	No
SDCBP	1631	0.371	-0.0316	No
TRPS1	1425	0.397	-0.0201	No
FABP4	1336	0.412	-0.0182	No
ADCY8	1319	0.414	-0.0223	No
OSR2	1284	0.419	-0.025	No
COL14A1	1255	0.422	-0.0282	No
ANGPT1	1172	0.435	-0.0272	No
STMN2	1114	0.444	-0.0283	No
LY96	1061	0.459	-0.03	No
SLA	911	0.49	-0.024	No
TRIB1	705	0.541	-0.014	No
COLEC10	631	0.564	-0.0153	No
ZFPM2	356	0.653	-0.0007	No
GEM	242	0.716	-0.0002	No
MATN2	201	0.743	-0.0064	No
