Classification	Accession ID	Symbol	Gene name	Expression level (Log2 ratio)a)
Cell communication	NM_033133.3	CNP	2,3-cyclic nucleotide 3 phosphodiesterase	0.82
Cell death	NM_002342.1	LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	0.62
Cell death	NM_016426.3	GTSE1	G-2 and S-phase expressed 1	0.79
Cell death	NM_002087.1	GRN	granulin	0.79
Cell death	NM_004082.2	DCTN1	dynactin 1 (p150, glued homolog, Drosophila)	0.78
Kinase activity	NM_006314.1	CNK1	connector enhancer of KSR-like (Drosophila kinase suppressor of ras)	0.81
Kinase activity	NM_006556.2	PMVK	phosphomevalonate kinase	0.84
Kinase activity	NM_001291.1	CLK2	CDC-like kinase 2	0.83
Metabolism	NM_000456.1	SUOX	sulfite oxidase	0.65
Metabolism	NM_016035.1	COQ4	coenzyme Q4 homolog (yeast)	0.78
Metabolism	NM_006033.1	LIPG	lipase, endothelial	0.62
Metabolism	NM_006799.2	PRSS21	protease, serine, 21 (testisin)	1.13
Metabolism	NM_022366.1	TFB2M	transcription factor B2, mitochondrial	0.96
Metabolism	NM_007103.2	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51 kDa	0.9
Metabolism	NM_032717.3	MGC11324	hypothetical protein MGC11324	0.69
Metal ion binding	NM_003127.1	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
Metal ion binding		PRSS3	protease, serine, 3 (mesotrypsin)	0.63
Metal ion binding	NM_015062.3	PRC	PGC-1 related co-activator	0.69
Metal ion binding	NM_013342.1	TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	0.68
Metal ion binding	NM_004433.2	ELF3	E74-like factor 3 (ets domain transcription factor, epithelialspecific)	0.98
Protein binding	NM_002167.2	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	0.65
Protein binding	NM_024056.2	MGC5576	hypothetical protein MGC5576	0.62
Protein binding			Homo sapiens, Similar to Rab GTPase-activating protein PRC17, clone IMAGE:5743752, mRNA	0.71
Protein binding	NM_012256.2	ZNF212	zinc finger protein 212	0.62
Protein binding	NM_003297.1	NR2C1	nuclear receptor subfamily 2, group C, member 1	1.2
Miscellaneous	NM_017765.1	FLJ20320	hypothetical protein FLJ20320	0.73
Miscellaneous	NM_025257.1	C6orf29	chromosome 6 open reading frame 29	0.81
Miscellaneous	NM_017739.1	FLJ20277	O-linked mannose beta1,2-N-acetylglucosaminyltransferase	1.21
Miscellaneous	NM_018415.1	TRERF1	transcriptional regulating factor 1	0.67
Miscellaneous	XM_209143.1	FLJ41131	FLJ41131 protein	0.93
Miscellaneous	NM_024532.2	PF20	PF20	0.75
Miscellaneous	NM_015528.1	DKFZP566H073	DKFZP566H073 protein	0.69
Miscellaneous	XM_351694.1		similar to retinitis pigmentosa 9 homolog; Pim-1 associated protein	0.64
