Accession Ref.	Gene description	Mean	SD	Description
XM_029810	Adenosine deaminase; ADA	0.45	0.044	Purine metabolism
M16446	Adenine phosphoribosyltransferase; APRT	0.47	0.027	Purine metabolism
NM_000883	Inosine monophosphate dehydrogenase 1; IMPDH1	0.48	0.001	Purine metabolism
NM_002526	Ecto-5?-nucleotidase; CD73	0.45	0.022	Purine metabolism
D38524	5?-Nucleotidase; CN-II	0.76	0.203	Purine metabolism
NM_000026	Adenylosuccinate lyase; ASL	0.55	0.036	Purine metabolism
NM_003875	Guanosine monophosphate synthetase; GMPS	0.76	0.06	Purine metabolism
S47833	AMP deaminase isoform 2; AMPD2	0.61	0.222	Purine metabolism
NM_000480	AMP deaminase (isoform e); AMPDe	0.84	0.044	Purine metabolism
AK098544	Purine nucleoside phosphorylase; PNP	0.63	0.082	Purine metabolism
NM_004044	IMP cyclohydrolase	0.82	0.403	Purine metabolism
BC001116	Adenylate kinase 1; AK1	0.73	0.006	Purine metabolism
AY028778	5?-Nucleotidase I; CN-I	0.96	0.043	Purine metabolism
XM_002472	Xanthine dehydrogenase/oxidase; XO/D	1.14	0.045	Purine metabolism
NM_000884	Inosine monophosphate dehydrogenase 2; IMPDH2	1.25	0.011	Purine metabolism
NM_001123	Adenosine kinase, isoform a; AKa	1.3	0.256	Purine metabolism
M31642	Hypoxanthine–guanine phosphoribosyltransferase; HGPRT	1.56	0.071	Purine metabolism
NM_002765	Phosphoribosyl pyrophosphate synthetase 2; PRPPS2	1.59	0.041	Purine metabolism
NM_006452	Phosphoribosylaminoimidazole carboxylase ecc – PAICS	1.65	0.135	Purine metabolism
NM_002764	Phosphoribosyl pyrophosphate synthetase 1; PRPPS1	1.65	0.168	Purine metabolism
BC035838	5?,3?-Nucleotidase (mitochondrial)	2.35	0.02	Purine metabolism
M60092	Myodenylate deaminase; AMPD1	2.69	0.426	Purine metabolism
NM_013410	Adenylate kinase 3; AK3 (mitochondrial)	4.82	0.407	Purine metabolism
AF008655	Gars-Airs-Gart	7.13	0.858	Purine metabolism
M34461	ADP-ribosyl cyclase; CD38	3.1	0.14	NAD metabolism enzymes
AF312734	NMN adenylyltransferase; NMNAT	5.82	0.814	NAD metabolism enzymes
AF040751	G-protein-coupled receptor kinase 6	0.32	0.022	Signal transduction
AY136746	Adenosine receptor a1; adora1	0.47	0.011	Signal transduction
NM_000675	Adenosine a2a receptor; adora2a	0.66	0.439	Signal transduction
AY136748	Adenosine a2b receptor; adora2b	0.81	0.05	Signal transduction
BC029831	Adenosine a3 receptor	2.44	0.548	Signal transduction
AF084555	Okadaic acid-inducible, cAMP-regulated phosphoprotein 19	0.62	0.125	Signal transduction
NM_001935	Dipeptidyl-peptidase iv; dpp4 CD26	2.82	0.279	Signal transduction
NM_002745	Mitogen-activated protein kinase 1; MAPK1	0.9	0.26	Signal transduction
AF100544	Stress-activated protein kinase 2a; MAPK14	0.54	0.03	Signal transduction
XM_047776	Tyrosine-protein kinase ZAP-70	1.07	0.032	Signal transduction
BC014972	Interleukin 2 receptor	0.97	0.064	Interleukins and oxidative stress
AF395008	Interleukin 4; IL-4	3.63	0.82	Interleukins and oxidative stress
AF372214	Interleukin 6; IL-6	1.32	0.538	Interleukins and oxidative stress
M29696	Interleukin 7r	0.68	0.04	Interleukins and oxidative stress
AF404773	Interleukin 12a (natural killer cell stimulatory factor 1-p35)	0.94	0.029	Interleukins and oxidative stress
BC007007	Interleukin 18 (interferon-?-inducing factor)	4.73	0.204	Interleukins and oxidative stress
AF217787	Extracellular glutathione peroxidase	1.81	0.191	Interleukins and oxidative stress
D26607	Nitric oxide synthase	0.67	0.038	Interleukins and oxidative stress
BC005270	NADH dehydrogenase	0.58	0.086	Interleukins and oxidative stress
BC016926	Caspase 3	1.42	0.201	Apoptosis
NM_032992	Caspase 6	0.43	0.012	Apoptosis
NM_033355	Caspase 8	0.39	0.042	Apoptosis
AF110376	Caspase 9 precursor	0.7	0.049	Apoptosis
NM_004401	DNA fragmentation factor, 45 kDa, alpha polypeptide; dffa	1.19	0.377	Apoptosis
AB028913	DNA fragmentation factor 40 kDa subunit delta; dff40 delta	1	0.033	Apoptosis
NM_003726	Src kinase-associated phosphoprotein of 55 kDa; SCAP1	1.31	0.15	Apoptosis
AB014486	Ra70; SCAP 2	0.63	0.029	Apoptosis
BC002726	Death-associated protein	0.88	0.018	Apoptosis
NM_001191	Bcl-2-like 1 isoform 2; bcl-2l1	0.42	0.059	Apoptosis
NM_138763	Bcl-2-associated X protein, isoform delta; BAX	0.68	0.053	Apoptosis
AJ006288	Bcl-10	0.73	0.028	Apoptosis
