Name	Symbol	UG Cluster	Known/probable Function	Fold change
actin related protein 2/3 complex, subunit 1A, 41kDa	ARPC1A	Hs.291981	cell regulation	0.7
angiopoietin-like 4	ANGPTL4	Hs.9613	cell regulation	2.1
growth arrest and DNA-damage-inducible, beta	GADD45B	Hs.110571	cell regulation	1.8
phosphoenolpyruvate carboxykinase 1 (soluble)	PCK1	Hs.1872	GTP	1.3
Rho guanine nucleotide exchange factor (GEF) 11	ARHGEF11	Hs.371602	GTP	3.8
interferon, alpha-inducible protein 27	IFI27	Hs.278613	immune response	1.6
tumor necrosis factor receptor superfamily, member 10d	TNFRSF10D	Hs.129844	immune response	1.5
tweety homolog 1 (Drosophila)	TTYH1	Hs.268728	transport	2.6
zinc finger protein 265	ZNF265	Hs.194718	transcription	0.6
aryl hydrocarbon receptor	AHR	Hs.170087	transcription	4.4
core promoter element binding protein	COPEB	Hs.285313	transcription	1.7
DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	DDX3X	Hs.380774	transcription	1.6
Ets2 repressor factor	ERF	Hs.440332	transcription	2
jun B proto-oncogene	JUNB	Hs.400124	transcription	1.8
TAF9 RNA polymerase II, (TBP)-associated factor	TAF9	Hs.60679	transcription	1.5
v-myc myelocytomatosis viral oncogene homolog (avian)	MYC	Hs.202453	transcription	2.2
zinc finger protein 36, C3H type-like 1	ZFP36L1	Hs.85155	transcription	1.4
annexin A11	ANXA11	Hs.75510	phospholipid binding	0.7
Down syndrome critical region gene 1	DSCR1	Hs.282326	signalling	1.4
chromosome 9 open reading frame 10	C9orf10	Hs.446534	unknown	0.7
fragile histidine triad gene	FHIT	Hs.408289	unknown	1.7
Homo sapiens mRNA; cDNA DKFZp564C2063		Hs.4055	unknown	1.7
Human kappa-immunoglobulin germline pseudogene (Chr22.4)			unknown	2.4
hypothetical protein FLJ31952	FLJ31952	Hs.193490	unknown	1.5
