Gene	Accession no.	30 min; R	30 min; P-value	6 h; R	6 h; P-value	16 h; R	16 h; P-value	24 h; R	24 h; P-value	48 h; R	48 h; P-value
MMP-3	X05232	0.92	ns	26	<0.001	100	<0.001	100	<0.001	96	<0.001
MMP-1	X05231	0.91	ns	6	<0.001	32	<0.001	33	<0.001	18	<0.001
MMP-13	X75308	1	ns	3.1	<0.001	38	<0.001	45	<0.001	10	<0.001
TNFAIP6	NM_007115	1.4	ns	4	<0.001	7.5	<0.001	8.9	<0.001	4	<0.001
HLA-B	M81798	0.92	ns	1.7	<0.001	2.6	0.004	2.9	<0.001	2.7	<0.001
IL-6	NM_000600	1.4	ns	28	<0.001	72	<0.001	13	<0.001	2.5	<0.001
CHI3L2	NM_004000	0.74	0.031	1	ns	2.3	0.006	1.5	0.019	1.9	<0.001
MADH1	NM_005900	1.2	0.054	2	<0.001	1.7	0.078	1.7	<0.001	1.6	<0.001
MRS3/4	AF327402	1	ns	5.7	<0.001	2	0.045	1.8	<0.001	1.4	0.05
NFKB1	M58603	1	ns	2.9	<0.001	1.8	0.055	1.8	<0.001	1.2	ns
PPARG	NM_138712	0.93	ns	0.69	0.027	0.66	ns	0.67	0.036	0.89	ns
RELA	Q04206	1.03	ns	1.92	<0.001	1.05	ns	1.03	ns	0.84	0.003
MADH3	NM_005902	0.89	ns	1.4	<0.001	0.59	ns	0.83	<0.001	0.74	<0.001
ATF2	NM_001880	1	ns	0.86	ns	0.84	ns	0.7	0.001	0.72	<0.001
DLX5	NM_005221	0.8	ns	0.75	ns	1	ns	0.71	0.003	0.63	<0.001
BMP4	NM_001202	0.9	ns	0.8	0.041	0.18	<0.001	0.52	0.001	0.62	<0.001
CAT	NM_001752	0.56	0.08	0.51	0.084	0.04	0.013	0.42	0.013	0.6	0.015
Link protein	NM_001884	0.64	ns	0.67	ns	0.16	ns	0.28	<0.001	0.35	<0.001
PRKDC	NM_006904	1	ns	0.86	ns	0.04	0.032	0.42	0.029	0.32	<0.001
