Classification	Accession ID	Symbol	Gene name	Expression level (Log2 ratio)a)
Cell communication	NM_005505.3	SCARB1	scavenger receptor class B, member 1	-0.62
Cell communication	NM_000165.2	GJA1	gap junction protein, alpha 1, 43 kDa (connexin 43)	-0.65
Cell communication	NM_020474.2	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide ) N-acetylgalactosaminyl-transferase 1 (GalNAc-T1)	-0.7
Cell growth/maintenance	NM_004656.2	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	-0.64
Cell growth/maintenance	NM_006600.2	NUDC	nuclear distribution gene C homolog (A. nidulans)	-0.75
Cell growth/maintenance	NM_152333.1	C14orf69	chromosome 14 open reading frame 69	-0.72
Cell growth/maintenance	NM_024057.2	Nup37	nucleoporin Nup37	-0.63
Metabolism	NM_031280.2	MRPS15	mitochondrial ribosomal protein S15	-0.64
Metabolism	NM_005891.1	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	-0.66
Metabolism	NM_004718.2	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	-0.97
Metabolism	NM_001216.1	CA9	carbonic anhydrase IX	-0.67
Metabolism	NM_000386.2	BLMH	bleomycin hydrolase	-1.12
Metabolism	NM_144563.1	RPIA	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	-0.78
Metabolism	NM_004911.3	ERP70	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)	-0.69
Metabolism	NM_004930.1	CAPZB	capping protein (actin filament) muscle Z-line, beta	-0.61
Metabolism	NM_005184.1	CALM3	calmodulin 3 (phosphorylase kinase, delta)	-0.71
Nucleic acid binding	NM_006450	SPF45	splicing factor (45 kD)	-0.75
Nucleic acid binding	NM_001950.2	E2F4	E2F transcription factor 4, p107/p130-binding	-0.68
Nucleic acid binding	NM_024038.2	MGC2803	hypothetical protein MGC2803	-0.86
Nucleic acid binding	NM_004111.4	FEN1	flap structure-specific endonuclease 1	-0.62
Nucleic acid binding	NM_004875.1	POLR1C	polymerase (RNA) I polypeptide C, 30 kDa	-0.64
Nucleic acid binding	NM_003090.1	SNRPA1	small nuclear ribonucleoprotein polypeptide A &#1;	-0.89
Nucleic acid binding	NM_013400.1	REPIN1	replication initiator 1	-0.66
Nucleic acid binding	NM_003158	STK6	serine/threonine kinase 6	-0.98
Response to external stimulus	NM_003226.1	TFF3	trefoil factor 3 (intestinal)	-0.88
Morphology	NM_006000.1	TUBA1	tubulin, alpha 1 (testis specific)	-0.6
Miscellaneous	NM_021821.2	MRPS35	mitochondrial ribosomal protein S35	-0.65
Miscellaneous	NM_006585.1	CCT8	chaperonin containing TCP1, subunit 8 (theta)	-0.7
Miscellaneous	NM_031434.2	C7orf21	chromosome 7 open reading frame 21	-0.79
Miscellaneous	NM_017566.2	DKFZp434G0522	hypothetical protein DKFZp434G0522	-0.65
Miscellaneous	NM_177525.1	MEST	mesoderm specific transcript homolog (mouse)	-0.71
Miscellaneous	NM_007019.2	UBE2C	ubiquitin-conjugating enzyme E2C	-0.64
