Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
98064_at	Mm.196604	Aamp	angio-associated migratory protein	1.39	0.48	0.06	0	0.3	0.66	PP PPP
92511_at	Mm.42233	Aanat	arylalkylamine N-acetyltransferase	-1.64	-0.72	0.13	0.01	-1.11	-0.32	PP PPP
94918_at	Mm.24174	Aars	alanyl-tRNA synthetase	1.6	0.68	0.11	0.01	0.34	1.02	PP PPP
104394_at	Mm.143731	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	-1.76	-0.82	0.17	0.02	-1.35	-0.29	PP PPP
99329_at	Mm.196634	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	1.81	0.86	0.12	0.01	0.49	1.23	PP PPA
93867_at	Mm.229109	Abcd4	ATP-binding cassette, sub-family D (ALD), member 4	-2.79	-1.48	0.14	0	-1.91	-1.04	PP PPP
97330_at	Mm.268334	Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	1.76	0.81	0.08	0	0.57	1.05	PP PPP
93845_at	Mm.21629	Abcf2	ATP-binding cassette, sub-family F (GCN20), member 2	2.24	1.17	0.06	0	0.97	1.36	PP PPP
160087_at	Mm.80532	Abhd1	abhydrolase domain containing 1	-1.95	-0.96	0.14	0.01	-1.4	-0.53	PP PPP
102772_at	Mm.1318	Abl1	v-abl Abelson murine leukemia oncogene 1	1.51	0.6	0.09	0.01	0.31	0.88	PP PPP
160482_at	Mm.205266	Acaa1	acetyl-Coenzyme A acyltransferase 1	2.45	1.29	0.15	0	0.82	1.76	PP PPP
161469_r_at	Mm.18759	Acads	acyl-Coenzyme A dehydrogenase, short chain	1.52	0.6	0.1	0.01	0.29	0.91	PP PPP
101428_at	Mm.754	Ace	angiotensin converting enzyme	-1.8	-0.85	0.15	0.01	-1.31	-0.38	PP PPP
97441_at	Mm.30236	Acinus	apoptotic chromatin condensation inducer in the nucleus	1.75	0.81	0.14	0.01	0.34	1.27	PP PPP
96870_at	Mm.154581	Aco2	aconitase 2, mitochondrial	2.07	1.05	0.1	0	0.73	1.38	PP PPP
101515_at	Mm.8403	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	-1.66	-0.73	0.06	0	-0.93	-0.54	PP PPP
93219_at	Mm.171337	Acp1	acid phosphatase 1, soluble	2.2	1.14	0.12	0	0.76	1.51	PP PPA
96052_at	Mm.171337	Acp1	acid phosphatase 1, soluble	2.07	1.05	0.14	0	0.62	1.48	PP PPP
96054_f_at	Mm.171337	Acp1	acid phosphatase 1, soluble	3.44	1.78	0.14	0	1.33	2.23	AP APA
92688_at	Mm.45570	Acp2	acid phosphatase 2, lysosomal	-1.89	-0.92	0.11	0	-1.28	-0.56	PP PPP
99455_s_at	Mm.4073	Acrbp	proacrosin binding protein	-4.3	-2.1	0.18	0	-2.67	-1.53	PP PPP
96573_at	Mm.196173	Actg	actin, gamma, cytoplasmic	-2.99	-1.58	0.04	0	-1.71	-1.45	PP PPP
95097_at	Mm.29317	Actr10	ARP10 actin-related protein 10 homolog  (S. cerevisiae)	2.45	1.29	0.09	0	1	1.59	PP PPP
160786_f_at	Mm.28521	Actr1b	ARP1 actin-related protein 1 homolog B (yeast)	-2.15	-1.11	0.15	0.01	-1.59	-0.62	PP PPP
104168_at	Mm.30108	Actr2	ARP2 actin-related protein 2 homolog (yeast)	1.79	0.84	0.15	0.01	0.36	1.32	PP PPP
100450_r_at	Mm.4839	Acvrl1	activin A receptor, type II-like 1	-2.31	-1.21	0.1	0	-1.53	-0.89	PP PPP
93560_at	Mm.20309	Acyp1	acylphosphatase 1, erythrocyte (common) type	2.73	1.45	0.09	0	1.15	1.74	PP PPP
100751_at	Mm.3037	Adam10	a disintegrin and metalloprotease domain 10	1.59	0.67	0.11	0.01	0.31	1.02	PP PPP
103588_at	Mm.19830	Adam15	a disintegrin and metalloproteinase domain 15 (metargidin)	-2.08	-1.06	0.14	0.01	-1.52	-0.6	PP PPP
100526_f_at	Mm.5168	Adam3	a disintegrin and metalloprotease domain 3 (cyritestin)	-4.27	-2.09	0.33	0.01	-3.13	-1.06	PP PPP
162388_r_at	Mm.143889	Adam5	a disintegrin and metalloprotease domain 5	-1.39	-0.48	0.05	0	-0.64	-0.32	PP PPP
103024_at	Mm.15969	Adam8	a disintegrin and metalloprotease domain 8	-1.93	-0.95	0.08	0	-1.19	-0.7	PP PPP
96188_at	Mm.253961	Adar	adenosine deaminase, RNA-specific	1.95	0.97	0.15	0.01	0.48	1.46	PP PPP
93153_at	Mm.173797	Adarb1	adenosine deaminase, RNA-specific, B1	-1.68	-0.75	0.15	0.02	-1.23	-0.27	PP PPP
98362_s_at	Mm.44245	Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1	-1.97	-0.98	0.19	0.01	-1.58	-0.37	PP PPP
98589_at	Mm.381	Adfp	adipose differentiation related protein	-5.84	-2.55	0.16	0	-3.05	-2.04	PP PPP
97875_at	Mm.181562	Adrm1	adhesion regulating molecule 1	2.28	1.19	0.1	0	0.87	1.51	PP PPP
98999_at	Mm.38151	Adsl	adenylosuccinate lyase	4.27	2.1	0.15	0	1.61	2.58	PP PPA
98435_at	Mm.3440	Adss	adenylosuccinate synthetase, muscle	-2.03	-1.02	0.09	0	-1.3	-0.74	PP PPP
99039_g_at	Mm.132946	Adss2	adenylosuccinate synthetase 2, non muscle	2.08	1.06	0.11	0	0.72	1.39	PP PPP
101494_at	Mm.80	Afp	alpha fetoprotein	1.7	0.77	0.15	0.02	0.28	1.25	PP PPA
95355_at	Mm.46247	Agtrap	angiotensin II, type I receptor-associated protein	-2.27	-1.18	0.15	0	-1.65	-0.72	PP PPP
96024_at	Mm.2573	Ahcy	S-adenosylhomocysteine hydrolase	1.89	0.92	0.14	0.01	0.47	1.37	PP PPP
97217_at	Mm.220328	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	2.41	1.27	0.11	0	0.92	1.62	PP PPP
98051_at	Mm.252604	AI114950	expressed sequence AI114950	-1.87	-0.9	0.14	0.01	-1.36	-0.44	PP PPP
103299_at	Mm.203915	AI132321	expressed sequence AI132321	1.88	0.91	0.12	0	0.53	1.29	PP PPP
93799_at	Mm.200407	AI316787	expressed sequence AI316787	2.07	1.05	0.1	0	0.73	1.38	PP PPP
97414_at	Mm.29960	AI326906	expressed sequence AI326906	2.85	1.51	0.1	0	1.21	1.81	PP PPP
93180_at	Mm.5399	AI506816	expressed sequence AI506816	3.23	1.69	0.25	0.01	0.88	2.5	PP PPA
92615_at	Mm.1103	AI837181	expressed sequence AI837181	2.52	1.33	0.08	0	1.06	1.6	PP PPP
160971_at	Mm.24417	AI842353	expressed sequence AI842353	-2.22	-1.15	0.15	0	-1.63	-0.66	PP PPA
102330_at	Mm.10747	Aif1	allograft inflammatory factor 1	-1.77	-0.82	0.12	0.01	-1.2	-0.45	PP PPP
96801_at	Mm.29189	Ak1	adenylate kinase 1	-1.83	-0.87	0.14	0.01	-1.32	-0.42	PP PPP
95148_at	Mm.29460	Ak2	adenylate kinase 2	3.85	1.95	0.16	0	1.43	2.46	PP PPP
92796_at	Mm.1265	Akp2	alkaline phosphatase 2, liver	-1.87	-0.9	0.18	0.02	-1.48	-0.33	PP PPP
102132_i_at	Mm.195224	Akp5	alkaline phosphatase 5	1.51	0.6	0.08	0.01	0.33	0.87	AP APA
92768_s_at	Mm.140509	Alas2	aminolevulinic acid synthase 2, erythroid	-1.53	-0.62	0.1	0.01	-0.94	-0.29	PP PPP
104407_at	Mm.2877	Alcam	activated leukocyte cell adhesion molecule	-1.67	-0.74	0.09	0	-1.03	-0.45	PP PPP
96058_s_at	Mm.2621	Aldh2	aldehyde dehydrogenase 2, mitochondrial	-2.32	-1.21	0.19	0.01	-1.81	-0.61	PP PPP
99559_at	Mm.4210	Aldh3a2	aldehyde dehydrogenase family 3, subfamily A2	-1.84	-0.88	0.14	0.01	-1.32	-0.43	PP PPP
97449_at	Mm.30250	Aldh7a1	aldehyde dehydrogenase family 7, member A1	1.34	0.42	0.05	0	0.27	0.57	PP PPP
96243_f_at	Mm.29803	Aldh9a1	aldehyde dehydrogenase 9, subfamily A1	2.96	1.57	0.19	0	0.95	2.19	PP PPP
160090_f_at	Mm.16763	Aldo1	aldolase 1, A isoform	2.11	1.08	0.09	0	0.79	1.37	PP PPP
161889_f_at	Mm.16763	Aldo1	aldolase 1, A isoform	2.35	1.23	0.1	0	0.91	1.55	PP PPP
101531_at	Mm.218862	Aldo2	aldolase 2, B isoform	-3.09	-1.63	0.17	0	-2.16	-1.09	PP PPP
160546_at	Mm.7729	Aldo3	aldolase 3, C isoform	2.18	1.12	0.21	0.01	0.44	1.8	PP PPP
93781_at	Mm.158200	Aldrl6	aldehyde reductase (aldose reductase)-like 6	-1.92	-0.94	0.21	0.02	-1.6	-0.28	PP PPP
96423_at	Mm.10112	Alx3	aristaless 3	-2.03	-1.02	0.17	0.01	-1.57	-0.48	PP PPP
101489_at	Mm.7880	Amd1	S-adenosylmethionine decarboxylase 1	3.97	1.99	0.14	0	1.53	2.45	PP PPP
95100_at	Mm.45312	Anapc5	anaphase-promoting complex subunit 5	2.36	1.24	0.12	0	0.87	1.61	PP PPP
102054_at	Mm.10313	Ankfy1	ankyrin repeat and FYVE domain containing 1	1.55	0.63	0.07	0	0.4	0.87	PP PPP
92787_at	Mm.12459	Ankrd10	ankyrin repeat domain 10	1.98	0.98	0.14	0.01	0.55	1.42	PP PPP
104390_at	Mm.613	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	2.36	1.24	0.12	0	0.87	1.61	PP PPP
96891_at	Mm.154985	Anp32b	acidic nuclear phosphoprotein 32 family, member B	3.2	1.68	0.08	0	1.42	1.93	PP PPP
97345_at	Mm.218657	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	3.25	1.7	0.18	0	1.12	2.29	AP APA
97556_at	Mm.218657	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	3.58	1.84	0.12	0	1.44	2.24	PP PPA
99993_at	Mm.4487	Anpep	alanyl (membrane) aminopeptidase	-13.71	-3.78	0.26	0	-4.62	-2.93	PP PPP
161703_f_at	Mm.14860	Anxa1	annexin A1	-4.75	-2.25	0.2	0	-2.88	-1.62	PP PPP
93037_i_at	Mm.14860	Anxa1	annexin A1	-10.24	-3.36	0.2	0	-3.98	-2.74	PP PPP
93038_f_at	Mm.14860	Anxa1	annexin A1	-9.49	-3.25	0.17	0	-3.78	-2.71	PP PPP
100569_at	Mm.584	Anxa2	annexin A2	-3.64	-1.87	0.13	0	-2.29	-1.44	PP PPP
101393_at	Mm.7214	Anxa3	annexin A3	-5.1	-2.35	0.1	0	-2.66	-2.04	PP PPP
100584_at	Mm.259702	Anxa4	annexin A4	-3.67	-1.88	0.11	0	-2.23	-1.52	PP PPP
94304_at	Mm.22619	Anxa6	annexin A6	-1.79	-0.84	0.06	0	-1.04	-0.64	PP PPP
93587_at	Mm.20794	Anxa7	annexin A7	-1.78	-0.83	0.15	0.01	-1.3	-0.36	PP PPP
97529_at	Mm.3267	Anxa8	annexin A8	-1.75	-0.81	0.14	0.01	-1.24	-0.37	PP PPP
103242_at	Mm.37210	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit	1.8	0.84	0.1	0	0.54	1.15	AP APP
96529_at	Mm.27084	Ap1gbp1	AP1 gamma subunit binding protein 1	-1.8	-0.85	0.14	0.01	-1.3	-0.4	PP PPP
160552_at	Mm.833	Ap1s1	adaptor protein complex AP-1, sigma 1	1.65	0.73	0.1	0.01	0.41	1.04	PP PPP
102582_at	Mm.57247	Apc2	adenomatosis polyposis coli 2	1.41	0.5	0.07	0.01	0.27	0.73	PP PPP
93559_at	Mm.203	Apex1	apurinic/apyrimidinic endonuclease 1	6.96	2.8	0.19	0	2.21	3.39	PP PPA
98078_at	Mm.268053	Aph1a-pending	anterior pharynx defective 1A homolog (C. elegans)	-2.07	-1.05	0.21	0.01	-1.7	-0.39	PP PPP
101035_at	Mm.692	Api5	apoptosis inhibitor 5	1.95	0.97	0.08	0	0.7	1.23	PP PPP
93498_s_at	Mm.19133	Aplp2	amyloid beta (A4) precursor-like protein 2	-2.07	-1.05	0.18	0.01	-1.62	-0.48	PP PPP
94032_at	Mm.205996	Apoa1bp	apolipoprotein A-I binding protein	1.37	0.45	0.06	0	0.27	0.64	PP PPP
161924_f_at	Mm.43677	Apoa2	apolipoprotein A-II	-2.35	-1.23	0.14	0	-1.68	-0.79	PP PPP
