GenBank ID	Description	Fold change 2h	Fold change 6 h	Fold change 10 h	Fold change  24 h
NM_003098	Dystrophin-associated protein A1	0.204	0.503	0.991	0.26
NM_005781	Activated p21cdc42Hs kinase (ACK1)	0.368	0.487	0.351	0.51
NM_020040	Tubulin, beta polypeptide 4, member Q (TUBB4Q)	0.429	0.487	0.781	0.261
NM_005527	Heat shock 70kD protein-like 1 (HSPA1L)	0.485	0.38	0.868	0.432
NM_006597	Heat shock 70kD protein 8 (HSPA8)	0.881	0.573	0.173	0.162
NM_003127	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) (SPTAN1)		0.063		0.459
NM_003075	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 (SMARCC2)		0.222	0.756	0.833
NM_002313	Actin binding LIM protein 1 (ABLIM), transcript variant ABLIM-l		0.282	1.081	0.579
AF435011	NUANCE (NUA)	0.704	0.288	0.732	0.867
NM_002071	Guanine nucleotide binding protein (G-protein), alpha activating activity polypeptide, olfactory type (GNAL)	1.148	0.326	0.761	0.694
AB055890	c-lbc mRNA for guanine nucleotide exchange factor Lbc	1.11	0.359	1.099	1.109
NM_003899	Rho guanine nucleotide exchange factor (GEF) 7 (ARHGEF7), transcript variant 1		0.384	1.149	0.731
NM_004415	Desmoplakin (DPI, DPII) (DSP)	0.776	0.385	0.879	0.984
NM_003128	Spectrin, beta, non-erythrocytic 1 (SPTBN1)	0.519	0.437	0.94	0.231
NM_053025	Myosin, light polypeptide kinase (MYLK), transcript variant 1	0.885	0.453	0.248	0.391
NM_005718	Actin related protein 2/3 complex, subunit 4 (20 kD) (ARPC4)	0.552	0.464	0.842	0.333
NM_005781	Activated p21cdc42Hs kinase (ACK1)	0.368	0.487	0.351	0.51
NM_005440	GTP-binding protein Rho7 (RHO7)		1.2	0.437	0.39
NM_001615	Actin, gamma 2, smooth muscle, enteric (ACTG2)	0.543	0.526	1.131	0.106
NM_001100	Actin, alpha 1, skeletal muscle (ACTA1)	0.848	0.666	1.12	0.123
NM_005435	Rho guanine nucleotide exchange factor (GEF) 5 (ARHGEF5)	0.852	0.532	0.592	0.219
NM_004082	Dynactin 1 [p150, Glued (Drosophila) homologue] (DCTN1), transcript variant 1	1.09	0.506	0.846	0.238
NM_006400	Dynactin 2 (p50) (DCTN2)	1.119	0.958	1.163	0.388
NM_001747	Capping protein (actin filament), gelsolin-like (CAPG)	0.872	0.595	0.844	0.257
NM_003186	Transgelin (TAGLN)	0.919		1.071	0.293
NM_005993	Tubulin-specific chaperone d (TBCD)	0.894	0.729	0.652	0.308
BC008791	Tubulin, beta 5, clone MGC: 4029 IMAGE: 3617988	0.54	0.609	1.057	0.331
NM_005557	Keratin 16 (focal non-epidermolytic palmoplantar keratoderma) (KRT16)	1.063	0.762	1.186	0.309
AF417001	Myofibrillogenesis regulator MR-1	1.628	1.372	0.557	0.322
NM_001614	Actin, gamma 1 (ACTG1)	0.781	1.242	0.775	0.381
NM_006086	Tubulin, beta, 4 (TUBB4)		1.327	0.622	0.386
NM_001175	Rho GDP dissociation inhibitor (GDI) beta (ARHGDIB)	1.246	1.161	1.637	2.807
