Significance Analysis of Microarrays Rank	HUGO ID	Chromosome	Description
1	TCAM1	17q22	Testicular cell adhesion molecule 1
2	AL833646	2q21	Unknown protein
3	TAF7L	5q31	TAF7-like RNA polymerase II
4	SYNGR3	16p13	Synaptogyrin
5	CDKN2A	9p21	Cyclin-dependent kinase inhibitor 2A (p16INK4A)
6	FLJ39749	3q29	Unknown protein
7	FLJ37881	16	Unknown protein
8	RPA2	1p35	Replication protein A2
9	MYNN	3q26	Myoneurin
10	FLJ31952	17q21	Unknown protein
11	RIBC2	22q13	RIB43A domain with coiled-coils 2
12	FLJ4628	22q13	Unknown protein
13	BF055370	7	Unknown protein
14	MCM6	2q21	Minichromosome maintenance deficient 6
15	FLJ42662	X	Unknown protein
16	RFC4	3q27	Replication factor C4
17	NR1D2	3p24	Nuclear receptor subfamily 1, group D2
18	MGC24665	16p13	Unknown protein
19	EHHADH	3q26	Enoyl-CoA, hydratase
20	FKSG14	5p15	Leucine zipper protein
