Unigene 175.ID	Unigene175 .Name	Gene Description	Predictor Gene Group	ABC.T-Statistic	GCB.T-statistic	PMBL.T-statistic
78202	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	Standard	28.1174	14.4629	16.7299
435982	FLJ10407	Hypothetical protein FLJ10407	Standard	21.8611	12.4749	18.6611
21379	C9orf45	Chromosome 9 open reading frame 45	Standard	19.8533	13.7789	19.2854
6150	ARHGEF18	Rho/rac guanine nucleotide exchange factor (GEF) 18	Standard	22.0527	11.433	15.3188
294083	C14orf87	Chromosome 14 open reading frame 87	Standard	16.9288	14.8404	15.2949
23642	HSU79266	Protein predicted by clone 23627	Standard	18.1323	14.1477	14.7181
153752	CDC25B	Cell division cycle 25B	Standard	16.33	16.2653	13.3162
434489	FLJ90013	Hypothetical protein FLJ90013	Standard	17.291	13.0901	14.0048
35962	C6orf173	CDNA clone IMAGE:4452583, partial cds	Standard	15.5952	11.7986	16.7411
330418	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	Standard	14.2774	13.4736	16.1164
115474	RFC3	Replication factor C (activator 1) 3, 38kDa	Standard	14.2791	11.3598	17.1697
508741	C5orf13	Chromosome 5 open reading frame 13	Standard	14.0215	13.7895	14.6224
140309	LOC90378	Atherin	Standard	13.6958	12.1935	16.2546
76640	RGC32	Response gene to complement 32	Standard	18.9399	0	17.7098
106880	BYSL	Bystin-like	Standard	0	12.8401	18.936
248746	HNRPAB	Heterogeneous nuclear ribonucleoprotein A/B	Standard	0	12.6069	18.9565
422662	VRK1	Vaccinia related kinase 1	Standard	14.9574	0	16.2123
83765	DHFR	Dihydrofolate reductase	Standard	14.6636	0	16.4975
409965	PNN	Pinin, desmosome associated protein	Standard	15.1432	0	15.9382
76884	ID3	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	Standard	0	15.2394	15.7773
110457	WHSC1	Wolf-Hirschhorn syndrome candidate 1	Standard	0	11.4508	19.5031
287659	STRBP	Spermatid perinuclear RNA binding protein	Standard	15.974	0	14.7318
433574	RBM9	RNA binding motif protein 9	Standard	16.5221	13.384	0
82563	KIAA0153	KIAA0153 protein	Standard	0	12.9495	16.8164
166463	HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	Standard	15.3601	14.0046	0
24763	RANBP1	RAN binding protein 1	Standard	0	11.7794	17.4088
27258	SIP	Siah-interacting protein	Standard	0	14.85	14.0619
28853	CDC7	CDC7 cell division cycle 7 (S. cerevisiae)	Standard	0	11.173	17.1555
438749	GJA7	Gap junction protein, alpha 7, 45kDa (connexin 45)	Standard	0	11.154	16.7226
69476	FAM33A	Family with sequence similarity 33, member A	Standard	15.9187	11.2443	0
445098	DEPDC1	DEP domain containing 1	Standard	13.3121	0	13.8271
6799	FLJ38426	Hypothetical protein FLJ38426	Standard	0	11.8949	15.2081
283734	MRPL47	Mitochondrial ribosomal protein L47	Standard	0	11.6274	14.7305
21331	FLJ10036	Zwilch	Standard	13.1127	12.6316	0
108112	POLE3	Polymerase (DNA directed), epsilon 3 (p17 subunit)	Standard	0	11.1718	14.5355
2484	TCL1A	T-cell leukemia/lymphoma 1A	Standard	0	0	25.4438
4854	CDKN2C	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Standard	13.9129	11.325	0
445977	GTF3A	General transcription factor IIIA	Standard	0	11.2934	13.8258
413071	C13orf18	Chromosome 13 open reading frame 18	Standard	0	11.4317	13.4647
