AffyID	Symbol	Gene name	HCV-cirrhosis from patients with HCC	HCV-cirrhosis only	Fold change
218062_x_at	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	7.73	8.34	1.52
201362_at	IVNS1ABP	Influenza virus NS1A-binding protein	6.83	7.27	1.36
221270_s_at	QTRT1	Queuine tRNA-ribosyltransferase 1 (alias: tRNA-guanine transglycosylase)	7.08	7.89	1.75
221217_s_at	A2BP1	Ataxin 2-binding protein 1	5.5	5.85	1.27
209059_s_at	EDF1	Endothelial differentiation-related factor 1	9.57	9.99	1.34
211241_at	ANXA2P3	Annexin A2 pseudogene 3	8.23	8.7	1.38
218059_at	ZNF706	Zinc finger protein 706	5.57	5.91	1.26
201332_s_at	STAT6	Signal transducer and activator of transcription 6, interleukin-4 induced	7.9	8.31	1.32
213183_s_at	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	4.71	5.21	1.42
208891_at	DUSP6	Dual specificity phosphatase 6	7.58	8.31	1.66
200827_at	PLOD1	Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	9.38	9.99	1.53
213042_s_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	7.47	7.99	1.43
45749_at	FAM65A	Family with sequence similarity 65, member A	6.06	6.53	1.39
204164_at	SIPA1	Signal-induced proliferation-associated gene 1	5.23	6.03	1.73
203315_at	NCK2	NCK adaptor protein 2	6.29	6.62	1.26
