Probe set number	Locuslink number	Gene symbol
31491_s_at	841	CASP8
31506_s_at	1668	DEFA3
31696_at	5912	RAP2B
31737_at	58	ACTA1
32393_s_at	9987	HNRPDL
34098_f_at	9270	ICAP-1A
34168_at	1791	DNTT
34610_at	10399	GNB2L1
35562_at	8970	H2BFR
35576_f_at	8329	H2AFC
32899_s_at	6095	RORA
32901_s_at	10833	NPM1P14
32916_at	5791	PTPRE
33513_at	6504	SLAM
33516_at	3045	HBD
33528_at	9834	KIAA0125
33955_at	3592	IL12A
34022_at	2921	CXCL3
34514_at	7253	TSHR
34926_at	909	CD1A
34927_at	910	CD1B
35449_at	3820	KLRB1
35926_s_at	10859	LILRB1
36223_at	6421	SFPQ
36321_at	64595	TTTY15
36736_f_at	5723	PSPH
37147_at	6320	SCGF
37497_at	3087	HHEX
37524_at	9262	STK17B
37809_at	3205	HOXA9
37828_at	54665	FLJ11220
37829_at	2620	GAS2
37864_s_at	3502	IGHG3
37883_i_at	29798	AF038169
38146_at	9705	ZNF387
38514_at	3543	IGLL1
38578_at	939	TNFRSF7
38585_at	3048	HBG2
38847_at	9833	MELK
38859_at	25956	SEC31B-1
38893_at	4689	NCF4
38894_g_at	4689	NCF4
38917_at	6964	TRD@
39208_i_at	5473	PPBP
39248_at	360	AQP3
39273_at	6176	RPLP1
39566_at	1139	CHRNA7
39575_at	55966	MOT8
39681_at	7704	ZNF145
39930_at	2051	EPHB6
39969_at	8364	H4FG
40290_f_at	6482	SIAT4A
40647_at	7504	XK
40688_at	27040	LAT
40698_at	9976	CLECSF2
40699_at	925	CD8A
40738_at	914	CD2
41048_at	5366	PMAIP1
41071_at	6691	SPINK2
41096_at	6279	S100A8
41448_at	3202	HOXA5
41468_at	6965	TRG@
41471_at	6280	S100A9
41634_at	9728	KIAA0256
31869_at	23075	SWAP70
31891_at	1117	CHI3L2
32026_s_at	9693	PDZ-GEF1
34745_at	9693	PDZ-GEF1
32134_ at	26136	TES
32624_at	26134	TULIP1
32696_at	5090	PBX3
33232_at	1396	CRIP1
33284_at	4353	MPO
33291_at	10125	RASGRP1
33304_at	3669	ISG20
33336_at	6521	SLC4A1
33700_at	10253	SPRY2
33772_at	5734	PTGER4
34180_at	9639	ARHGEF10
34210_at	1043	CDW52
34234_f_at	4820	NKTR
35193_at	1102	CHC1L
35253_at	9846	GAB2
35625_at	976	CD97
35699_at	701	BUB1B
35974_at	4033	LRMP
36053_at	1031	CDKN2C
36057_at	9823	ALEX2
36091_at	8935	SCAP2
36453_at	9920	KIAA0711
36491_at	11013	TMSNB
36825_at	10346	TRIM22
36874_at	1380	CR2
36896_s_at	406	ARNTL
36897_at	23209	MLC1
36918_at	2982	GUCY1A3
36924_r_at	7857	SCG2
36927_at	10964	C1orf29
37187_at	2920	CXCL2
37190_at	8936	WASF1
37209_g_at	8781	PSPHL
37275_at	2552	GABPB1
