SAM_probes	Gene Symbol	Description
227798_at	SMAD1	MLL translocation-related probes
210993_s_at	SMAD1	MLL translocation-related probes
202519_at	MLXIP	MLL translocation-related probes
239037_at	GNAS	MLL translocation-related probes
227923_at	SHANK3	MLL translocation-related probes
243618_s_at	ZNF827	MLL translocation-related probes
1553185_at	RASEF	MLL translocation-related probes
1553186_x_at	RASEF	MLL translocation-related probes
226176_s_at	USP42	MLL translocation-related probes
233813_at	PPP1R16B	MLL translocation-related probes
232529_at	SP3	MLL translocation-related probes
232865_at	AFF4	MLL translocation-related probes
227435_at	KIAA2018	MLL translocation-related probes
201416_at	SOX4	MLL translocation-related probes
239516_at	LYPLAL1	MLL translocation-related probes
226764_at	ZNF827	MLL translocation-related probes
225332_at	KRTAP4-7	MLL translocation-related probes
240108_at	UBR4	MLL translocation-related probes
212520_s_at	SMARCA4	MLL translocation-related probes
226877_at	RPL32P3	MLL translocation-related probes
230885_at	SPG7	MLL translocation-related probes
212079_s_at	MLL	MLL translocation-related probes
223746_at	STK4	MLL translocation-related probes
202332_at	CSNK1E	MLL translocation-related probes
202933_s_at	YES1	MLL translocation-related probes
212764_at	NA	MLL translocation-related probes
221773_at	ELK3	MLL translocation-related probes
228711_at	ZNF37A	MLL translocation-related probes
221899_at	N4BP2L2	MLL translocation-related probes
229002_at	FAM69B	MLL translocation-related probes
226250_at	NA	MLL translocation-related probes
236229_at	LOC730051	MLL translocation-related probes
218312_s_at	ZSCAN18	MLL translocation-related probes
206059_at	ZNF91	MLL translocation-related probes
204669_s_at	RNF24	MLL translocation-related probes
219837_s_at	CYTL1	MLL translocation-related probes
228556_at	YTHDC1	MLL translocation-related probes
1558369_at	MPHOSPH9	MLL translocation-related probes
208664_s_at	TTC3	MLL translocation-related probes
212956_at	TBC1D9	MLL translocation-related probes
219765_at	ZNF329	MLL translocation-related probes
227134_at	SYTL1	MLL translocation-related probes
238736_at	REV3L	MLL translocation-related probes
235190_at	CALM2	MLL translocation-related probes
226991_at	NFATC2	MLL translocation-related probes
231963_at	NA	MLL translocation-related probes
203147_s_at	TRIM14	MLL translocation-related probes
203069_at	SV2A	MLL translocation-related probes
232030_at	KIAA1632	MLL translocation-related probes
225935_at	CUX1	MLL translocation-related probes
227152_at	C12orf35	MLL translocation-related probes
224673_at	LENG8	MLL translocation-related probes
218486_at	KLF11	MLL translocation-related probes
213298_at	NFIC	MLL translocation-related probes
220546_at	NA	MLL translocation-related probes
241926_s_at	ERG	MLL translocation-related probes
204937_s_at	ZNF274	MLL translocation-related probes
224321_at	TMEFF2	MLL translocation-related probes
223199_at	MKNK2	MLL translocation-related probes
239930_at	GALNT2	MLL translocation-related probes
219004_s_at	C21orf45	MLL translocation-related probes
201015_s_at	JUP	MLL translocation-related probes
226869_at	MEGF6	MLL translocation-related probes
208663_s_at	TTC3	MLL translocation-related probes
204805_s_at	H1FX	MLL translocation-related probes
228155_at	C10orf58	MLL translocation-related probes
242028_at	NA	MLL translocation-related probes
239740_at	ETV6	MLL translocation-related probes
236114_at	RUNX1	MLL translocation-related probes
200951_s_at	CCND2	MLL translocation-related probes
231940_at	ZNF529	MLL translocation-related probes
213541_s_at	ERG	MLL translocation-related probes
1563473_at	PPP1R16B	MLL translocation-related probes
232693_s_at	ZNF395	MLL translocation-related probes
201549_x_at	JARID1B	MLL translocation-related probes
218825_at	EGFL7	MLL translocation-related probes
235094_at	TPM4	MLL translocation-related probes
1554628_at	ZNF57	MLL translocation-related probes
223714_at	ZNF256	MLL translocation-related probes
204334_at	KLF7	MLL translocation-related probes
221191_at	STAG3L1	MLL translocation-related probes
1558173_a_at	LUZP1	MLL translocation-related probes
201669_s_at	MARCKS	MLL translocation-related probes
213908_at	WHDC1L1	MLL translocation-related probes
1555846_a_at	NA	MLL translocation-related probes
208056_s_at	CBFA2T3	MLL translocation-related probes
206707_x_at	C6orf32	MLL translocation-related probes
211202_s_at	JARID1B	MLL translocation-related probes
225897_at	MARCKS	MLL translocation-related probes
209398_at	HIST1H1C	MLL translocation-related probes
228263_at	GRASP	MLL translocation-related probes
231406_at	POLR2J2	MLL translocation-related probes
243109_at	MCTP2	MLL translocation-related probes
1559477_s_at	MEIS1	MLL translocation-related probes
219463_at	C20orf103	MLL translocation-related probes
1555691_a_at	KLRK1	MLL translocation-related probes
228834_at	TOB1	MLL translocation-related probes
220132_s_at	CLEC2D	MLL translocation-related probes
218659_at	ASXL2	MLL translocation-related probes
230466_s_at	NA	MLL translocation-related probes
230233_at	NA	MLL translocation-related probes
233500_x_at	CLEC2D	MLL translocation-related probes
230621_at	IAH1	MLL translocation-related probes
236223_s_at	RIT1	MLL translocation-related probes
205996_s_at	AK2	MLL translocation-related probes
210338_s_at	HSPA8	MLL translocation-related probes
227432_s_at	INSR	MLL translocation-related probes
204427_s_at	TMED2	MLL translocation-related probes
204560_at	FKBP5	MLL translocation-related probes
205844_at	VNN1	MLL translocation-related probes
1558080_s_at	LOC144871	MLL translocation-related probes
214895_s_at	ADAM10	MLL translocation-related probes
200008_s_at	GDI2	MLL translocation-related probes
229067_at	SRGAP2P1	MLL translocation-related probes
203836_s_at	MAP3K5	MLL translocation-related probes
229841_at	NA	MLL translocation-related probes
235744_at	PPTC7	MLL translocation-related probes
236191_at	CD38	MLL translocation-related probes
229905_at	NA	MLL translocation-related probes
229713_at	NA	MLL translocation-related probes
230352_at	PRPS2	MLL translocation-related probes
34031_i_at	KRIT1	MLL translocation-related probes
222487_s_at	RPS27L	MLL translocation-related probes
211672_s_at	ARPC4	MLL translocation-related probes
236224_at	RIT1	MLL translocation-related probes
216609_at	TXN	MLL translocation-related probes
231576_at	ETNK1	MLL translocation-related probes
221676_s_at	CORO1C	MLL translocation-related probes
1555830_s_at	FAM62B	MLL translocation-related probes
203300_x_at	AP1S2	MLL translocation-related probes
211922_s_at	CAT	MLL translocation-related probes
213566_at	RNASE6	MLL translocation-related probes
224856_at	FKBP5	MLL translocation-related probes
228487_s_at	RREB1	MLL translocation-related probes
217294_s_at	ENO1	MLL translocation-related probes
228030_at	RBM6	MLL translocation-related probes
204808_s_at	TMEM5	MLL translocation-related probes
239296_at	ZEB2	MLL translocation-related probes
228365_at	CPNE8	MLL translocation-related probes
201742_x_at	SFRS1	MLL translocation-related probes
223098_s_at	LONP2	MLL translocation-related probes
222620_s_at	DNAJC1	MLL translocation-related probes
211450_s_at	MSH6	MLL translocation-related probes
227621_at	WTAP	MLL translocation-related probes
234987_at	C20orf118	MLL translocation-related probes
239131_at	ADNP	MLL translocation-related probes
222621_at	DNAJC1	MLL translocation-related probes
205884_at	ITGA4	MLL translocation-related probes
203760_s_at	SLA	MLL translocation-related probes
228855_at	NUDT7	MLL translocation-related probes
1555226_s_at	C1orf43	MLL translocation-related probes
203767_s_at	STS	MLL translocation-related probes
211825_s_at	EWSR1	MLL translocation-related probes
200897_s_at	PALLD	MLL translocation-related probes
235964_x_at	C20orf118	MLL translocation-related probes
1552691_at	ARL11	MLL translocation-related probes
1552516_a_at	HIPK1	MLL translocation-related probes
235529_x_at	C20orf118	MLL translocation-related probes
1552978_a_at	SCAMP1	MLL translocation-related probes
230795_at	NA	MLL translocation-related probes
202069_s_at	IDH3A	MLL translocation-related probes
225019_at	CAMK2D	MLL translocation-related probes
224046_s_at	PDE7A	MLL translocation-related probes
208097_s_at	TXNDC1	MLL translocation-related probes
232392_at	SFRS3	MLL translocation-related probes
205401_at	AGPS	MLL translocation-related probes
204896_s_at	PTGER4	MLL translocation-related probes
243495_s_at	NA	MLL translocation-related probes
244267_at	NA	MLL translocation-related probes
228123_s_at	ABHD12	MLL translocation-related probes
210154_at	ME2	MLL translocation-related probes
1564494_s_at	P4HB	MLL translocation-related probes
1565717_s_at	FUS	MLL translocation-related probes
1565868_at	CD44	MLL translocation-related probes
228498_at	NA	MLL translocation-related probes
201551_s_at	LAMP1	MLL translocation-related probes
233878_s_at	XRN2	MLL translocation-related probes
218036_x_at	NMD3	MLL translocation-related probes
222532_at	SRPRB	MLL translocation-related probes
211098_x_at	TMCO1	MLL translocation-related probes
227897_at	RAP2B	MLL translocation-related probes
200900_s_at	M6PR	MLL translocation-related probes
230413_s_at	AP1S2	MLL translocation-related probes
231274_s_at	SLC25A37	MLL translocation-related probes
210786_s_at	FLI1	MLL translocation-related probes
224989_at	NA	MLL translocation-related probes
1552690_a_at	CACNA2D4	MLL translocation-related probes
209754_s_at	TMPO	MLL translocation-related probes
210916_s_at	CD44	MLL translocation-related probes
206067_s_at	WT1	MLL translocation-related probes
205885_s_at	ITGA4	MLL translocation-related probes
227514_at	LOC162073	MLL translocation-related probes
228251_at	UBXD1	MLL translocation-related probes
1555812_a_at	ARHGDIB	MLL translocation-related probes
211367_s_at	CASP1	MLL translocation-related probes
1558111_at	MBNL1	MLL translocation-related probes
1557905_s_at	CD44	MLL translocation-related probes
202902_s_at	CTSS	MLL translocation-related probes
1555372_at	BCL2L11	MLL translocation-related probes
209006_s_at	C1orf63	MLL translocation-related probes
242379_at	LONRF1	MLL translocation-related probes
203186_s_at	S100A4	MLL translocation-related probes
1556658_a_at	MBNL1	MLL translocation-related probes
200890_s_at	SSR1	MLL translocation-related probes
202593_s_at	GDE1	MLL translocation-related probes
217356_s_at	PGK1	MLL translocation-related probes
206761_at	CD96	MLL translocation-related probes
200769_s_at	MAT2A	MLL translocation-related probes
238610_s_at	HNRPM	MLL translocation-related probes
232591_s_at	TMEM30A	MLL translocation-related probes
207782_s_at	PSEN1	MLL translocation-related probes
216109_at	MED13L	MLL translocation-related probes
236778_at	ATRX	MLL translocation-related probes
1568619_s_at	LOC162073	MLL translocation-related probes
229074_at	NA	MLL translocation-related probes
218501_at	ARHGEF3	MLL translocation-related probes
231370_at	PPM1A	MLL translocation-related probes
202444_s_at	ERLIN1	MLL translocation-related probes
219607_s_at	MS4A4A	MLL translocation-related probes
244669_at	SNHG5	MLL translocation-related probes
200604_s_at	PRKAR1A	MLL translocation-related probes
208310_s_at	FSTL1	MLL translocation-related probes
231747_at	CYSLTR1	MLL translocation-related probes
216064_s_at	AGA	MLL translocation-related probes
210148_at	HIPK3	MLL translocation-related probes
202878_s_at	CD93	MLL translocation-related probes
220494_s_at	NA	MLL translocation-related probes
224407_s_at		MLL translocation-related probes
1554508_at	PIK3AP1	MLL translocation-related probes
210667_s_at	C21orf33	MLL translocation-related probes
1555419_a_at	ASAH1	MLL translocation-related probes
1555120_at	CD96	MLL translocation-related probes
226432_at	ETNK1	MLL translocation-related probes
1555167_s_at	NAMPT	MLL translocation-related probes
208953_at	LARP5	MLL translocation-related probes
208885_at	LCP1	MLL translocation-related probes
242523_at	NA	MLL translocation-related probes
228353_x_at	UBASH3B	MLL translocation-related probes
217388_s_at	KYNU	MLL translocation-related probes
205770_at	GSR	MLL translocation-related probes
214359_s_at	HSP90AB1	MLL translocation-related probes
236356_at	NDUFS1	MLL translocation-related probes
238611_at	HNRPM	MLL translocation-related probes
204620_s_at	VCAN	MLL translocation-related probes
217523_at	CD44	MLL translocation-related probes
238909_at	S100A10	MLL translocation-related probes
202877_s_at	CD93	MLL translocation-related probes
222559_s_at	P15RS	MLL translocation-related probes
209734_at	NCKAP1L	MLL translocation-related probes
1553117_a_at	STK38	MLL translocation-related probes
243739_at	RANBP9	MLL translocation-related probes
221208_s_at	C11orf61	MLL translocation-related probes
212174_at	AK2	MLL translocation-related probes
212595_s_at	DAZAP2	MLL translocation-related probes
205552_s_at	OAS1	MLL translocation-related probes
212335_at	GNS	MLL translocation-related probes
221428_s_at	TBL1XR1	MLL translocation-related probes
205859_at	LY86	MLL translocation-related probes
209750_at	NR1D2	MLL translocation-related probes
211368_s_at	CASP1	MLL translocation-related probes
205842_s_at	JAK2	MLL translocation-related probes
226789_at	LOC647121	MLL translocation-related probes
209628_at	NXT2	MLL translocation-related probes
1554627_a_at	ASCC1	MLL translocation-related probes
211986_at	AHNAK	MLL translocation-related probes
204493_at	BID	MLL translocation-related probes
1564776_at	LENG10	MLL translocation-related probes
212175_s_at	AK2	MLL translocation-related probes
208703_s_at	APLP2	MLL translocation-related probes
204502_at	SAMHD1	MLL translocation-related probes
224516_s_at	CXXC5	MLL translocation-related probes
229193_at	CROP	MLL translocation-related probes
208967_s_at	AK2	MLL translocation-related probes
202654_x_at	39514	MLL translocation-related probes
201490_s_at	PPIF	MLL translocation-related probes
207419_s_at	RAC2	MLL translocation-related probes
1555736_a_at	AGTRAP	MLL translocation-related probes
222386_s_at	COPZ1	MLL translocation-related probes
207180_s_at	HTATIP2	MLL translocation-related probes
235851_s_at	GNAS	MLL translocation-related probes
228083_at	CACNA2D4	MLL translocation-related probes
224582_s_at	NA	MLL translocation-related probes
218404_at	SNX10	MLL translocation-related probes
202129_s_at	RIOK3	MLL translocation-related probes
208018_s_at	HCK	MLL translocation-related probes
209288_s_at	CDC42EP3	MLL translocation-related probes
201309_x_at	C5orf13	MLL translocation-related probes
211366_x_at	CASP1	MLL translocation-related probes
208453_s_at	XPNPEP1	MLL translocation-related probes
214835_s_at	SUCLG2	MLL translocation-related probes
200628_s_at	WARS	MLL translocation-related probes
1552665_at	MGC14425	MLL translocation-related probes
1555106_a_at	CTDSPL2	MLL translocation-related probes
