Gene	WIPF1 correlation p value Aronow data	WIPF1 correlation p value Ayers data	WIPF1 correlation p value Staub data	Cox regression Wald test p value Wang data	Cox regression Wald test p value Phillips data
ABCG2	8.86E-11	3.10E-06	0.030965831	0.555446767	0.854185423
ABTB2	2.90E-08	1.14E-07	0.111113579	0.712170272	0.438625025
ACCN4	2.70E-07	1.18E-06	0.205845158	0.8336793	0.052119903
ADAM19	1.28E-07	1.04E-06	0.424017988	0.402857646	0.899396441
AGGF1	1.01E-09	6.40E-06	0.006656514	0.473501369	0.77372572
ANKRD40	4.64E-11	2.20E-07	0.101285431	0.187643315	0.016524015
ANPEP	3.57E-14	2.77E-10	0.783269756	0.003681094	0.009213992
AR	5.94E-10	7.98E-09	0.265768452	0.537705714	0.673271844
ARL1	4.44E-16	4.36E-07	0.273728326	0.300089937	8.70E-07
ARL6IP4	7.24E-08	3.41E-07	0.659114589	0.712654552	0.078211996
ARMC9	9.04E-14	7.71E-07	0.698309898	0.008467931	0.0074915
ASCL3	1.14E-08	8.06E-06	0.070426241	3.39E-06	0.000223658
ASNS	9.44E-13	7.74E-07	0.034966032	0.997263007	0.000283312
ATN1	5.07E-08	5.68E-06	0.648429944	0.9619943	0.751648931
AVEN	1.87E-10	1.04E-08	9.21E-08	0.000123394	0.000637347
AXL	3.15E-07	4.18E-06	0.000127442	0.090968345	2.23E-05
B4GALNT1	7.70E-09	3.31E-06	0.112315652	0.065043362	0.18318425
BACH2	4.00E-10	5.71E-09	0.049470797	0.006321082	2.03E-06
BAX	4.76E-10	1.15E-06	0.298020088	0.532055771	0.011492907
BIN1	9.45E-08	4.09E-08	0.000156704	0.08258574	0.010109207
BIRC5	2.06E-12	3.96E-06	0.439167874	0.946878855	0.193681857
BTG2	1.06E-08	2.17E-06	0.157852339	0.893167864	0.079277424
C12orf29	9.28E-07	4.99E-07	0.00093085	0.04751069	7.31E-06
C12orf43	9.05E-12	1.61E-09	0.003273397	0.024593177	0.000135457
C19orf2	9.52E-08	8.35E-06	0.133034227	0.961930266	0.000658162
