Gene ID	Gene Name	Final Expression
K1	NA	0.409115579
C4BPB	C4BPB	2.25112473
ORF6	ssDNA binding protein	4.912880659
ORF7	Transport protein	5.517271925
ORF8	Glycoprotein B	2.66746172
ORF9	DNA polymerase	3.211992475
ORF10	NA	4.683428899
ORF11	NA	5.753356185
K2	IL6ST	5.220055082
ORF2	DHFR	3.119277582
K3	IE-1B	1.567581063
ORF70	Thymidylate Synthase	2.704082963
K4	MIP-II;MIP-1A	4.364539973
K4.1	MIP-III;MIP-1B	3.255116384
K4.2	NA	2.086900595
K5	IE-1A	3.785229439
K6	MIP-I;MIP-1A	4.982219052
K7	NA	12.99775432
T1.1	nut-1 / PAN RNA	11.89827905
ORF16	BCL-2	6.429972857
ORF17	Protease / assembly protein	2.918859478
ORF18	NA	1.585134334
ORF19	Tegument protein	2.342145738
ORF20	Putative fusion protein	2.463948059
ORF21	Thymidine kinase	2.72012966
ORF22	Glycoprotein H	1.547454074
ORF23	NA	0.614209157
ORF24	NA	1.477274909
ORF25	Major capsid protein	2.789466234
ORF26	Minor capsid protein	2.669510753
ORF27	NA	3.508671209
ORF28	NA	1.932794068
ORF29b	Packaging protein	1.183154866
ORF30	NA	1.001566992
ORF31	NA	1.818762871
ORF32	Putative tegument protein	0.731031821
ORF29a	Packaging protein	0.733104738
ORF34	NA	2.666615668
ORF36	Phosphotransferase / protein kinase	0.782122797
ORF37	Alkaline exonuclease	1.567591904
ORF38	Putative tegument protein	3.933888671
ORF39	Glycoprotein M	3.127473081
ORF40	Helicase/primase subunit	4.404558854
ORF41	Helicase/primase subunit	4.489216887
ORF42	NA	1.939862522
ORF43	Minor capsid protein	0.20150472
ORF44	Helicase/primase subunit	3.901876938
ORF45	NA	4.453453571
ORF46	Uracil DNA glucosidase	7.266287792
ORF47	Glycoprotein L	2.014669829
ORF48	Putative glycoprotein	4.807637745
ORF49	NA	2.933762381
K8 exon 1	K-bZIP	4.862916305
K8.1 exon 1	Glycoprotein gp35-37	1.808354363
K8 / K8.1 shared exon	NA	5.890351046
ORF52	NA	2.833721701
ORF53	NA	3.018069661
ORF54	dUTPase	1.292710172
ORF55	NA	3.612224958
ORF56	Primase	3.217669504
ORF57	KS-SM	4.510446935
K9	IRF1	2.43919796
K10	NA	5.793944989
K10.1	Potential IRF homolog	2.465032015
Putative ORF	NA	3.067270592
K11	NA	2.08227891
IRF homolog	IRF2	1.57081517
ORF58	NA	7.464805903
ORF59	Processivity factor, PF-8	5.238452471
ORF61	Ribonucleotide Reductase large su	3.134510358
ORF62	Assembly / DNA maturation protein	2.420194046
ORF63	Tegument protein	1.572564616
ORF64	Tegument protein	2.871093751
ORF65	Small viral capsid antigen, sVCA	3.75369397
ORF66	NA	3.607967019
ORF67	Tegument protein	5.753367721
ORF69	NA	4.730757675
T0.7 RNA	NA	5.25705107
K12	Kaposin	6.519554449
ORF71	FLIP	4.000134068
ORF72	cyclin	5.659400016
K14	Ox-2;Adh	10.98530116
ORF74	GCR;IL-8	3.949655709
ORF75	Tegument Protein / FGARAT	1.242821802
K14.1	NA	2.667597987
K15 exons 4-6	NA	1.038718441
K15 exons 2-3	NA	2.091703234
NA	Ubiquitin	5.492148799
NA	Ubiquitin	5.474555689
NA	Tyrosine 3-monooxygenase activation protein	1.990195305
NA	Tyrosine 3-monooxygenase activation protein	2.242191918
NA	Pyrophosphate phosphoribosyltransferase	1.748571029
NA	Pyrophosphate phosphoribosyltransferase	1.524277125
NA	lyceraldehyde 3-phosphate dehydrogenase	5.437253731
NA	lyceraldehyde 3-phosphate dehydrogenase	5.486206201
NA	Alpha-tubulin	4.310105552
NA	Alpha-tubulin	4.4393522
NA	MHC class I HLA-C	5.996568586
NA	MHC class I HLA-C	6.002566483
NA	Beta-actin	2.166897372
NA	Beta-actin	2.275078332
NA	Highly basic protein	5.684415701
NA	Highly basic protein	5.606733313
NA	Ribosomal protein S9	4.237356387
NA	Ribosomal protein S9	4.173849964
