GenBank	Gene name	Fold Change	p-value
NM_003880	WNT1 inducible signaling pathway protein 3 (WISP3)	27.2	0.012
NM_002760	protein kinase, X-linked (PRKX)	26.46	0.012
NM_002982	chemokine (C-C motif) ligand 2 (CCL2)	24.04	0.036
NM_004703	rabaptin, RAB GTPase binding effector protein 1 (RABEP1)	18.9	0.012
NM_000508	fibrinogen, A alpha polypeptide (FGA)	18.5	0.012
NM_005874	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 (LILRB2)	18.21	0.036
NM_006043	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 (HS3ST2)	17.92	0.036
NM_152331	peroxisomal acyl-CoA thioesterase 2B (PTE2B)	17.3	0.036
NM_002988	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) (CCL18)	16.44	0.036
NM_002959	sortilin 1 (SORT1)	15.62	0.012
