Agilent ProbeName	GeneID	GeneName	logFC	P.Value	adj.P.Val
A_17_P10404642	TBX2	T-BOX 2	1.728029867	3.06E-13	2.07E-08
A_17_P16479842	ANKRD42	ANKYRIN REPEAT DOMAIN 42	1.554420688	2.86E-12	9.64E-08
A_17_P16121989	KLF10	KRUPPEL-LIKE FACTOR 10	1.349537101	3.80E-11	8.55E-07
A_17_P16836882	LOC146325	SIMILAR TO HYPOTHETICAL PROTEIN FLJ13841	1.514565468	1.51E-10	2.54E-06
A_17_P16268158	PRDM12	PR DOMAIN CONTAINING 12	1.48177864	2.56E-10	3.45E-06
A_17_P15647347	FAT	FAT TUMOR SUPPRESSOR HOMOLOG 1 (DROSOPHILA)	1.375002373	5.83E-10	4.92E-06
A_17_P16907772	CDH3	CADHERIN 3, TYPE 1, P-CADHERIN (PLACENTAL)	1.123169739	5.70E-10	4.92E-06
A_17_P16496001	YAP1	YES-ASSOCIATED PROTEIN 1, 65KDA	1.847838783	4.96E-10	4.92E-06
A_17_P09533609	C14orf79	CHROMOSOME 14 OPEN READING FRAME 79	1.642848012	1.14E-09	8.02E-06
A_17_P11009837	ZNF416-ZIK1	ZINC FINGER PROTEIN 416 - ZINC FINGER PROTEIN INTERACTING WITH K PROTEIN 1 HOMOLOG	1.357087641	1.25E-09	8.02E-06
A_17_P16837632	CCDC78-HAGHL	COILED-COIL DOMAIN CONTAINING 78 - HYDROXYACYLGLUTATHIONE HYDROLASE-LIKE	1.36448896	1.31E-09	8.02E-06
A_17_P17197910	DDX27	DEAD (ASP-GLU-ALA-ASP) BOX POLYPEPTIDE 27	1.564017947	1.43E-09	8.02E-06
A_17_P08351550	ACVRL1	ACTIVIN A RECEPTOR TYPE II-LIKE 1	1.310984506	1.72E-09	8.54E-06
A_17_P16463698	B3GNT1	UDP-GLCNAC:BETAGAL BETA-1,3-N-ACETYLGLUCOSAMINYLTRANSFERASE 1	1.194797991	1.77E-09	8.54E-06
A_17_P15022194	CTNNBIP1	CATENIN, BETA INTERACTING PROTEIN 1	1.386342308	1.91E-09	8.57E-06
A_17_P05676528	LAMB1	LAMININ, BETA 1	1.399750426	2.56E-09	1.08E-05
A_17_P17096832	C19orf35	CHROMOSOME 19 OPEN READING FRAME 35	1.154605226	3.33E-09	1.16E-05
A_17_P16259575	FBXW2	F-BOX AND WD-40 DOMAIN PROTEIN 2	1.2466732	3.66E-09	1.16E-05
A_17_P17100705	TNFAIP8L1	TUMOR NECROSIS FACTOR, ALPHA-INDUCED PROTEIN 8-LIKE 1	1.628315857	2.93E-09	1.16E-05
A_17_P10868066	NRTN	NEURTURIN	1.228348218	3.79E-09	1.16E-05
