GeneSymbol	Common Name	EntrezID	Fold Change	P-value
Tmem46	transmembrane protein 46	219134	-2.95	0.0005
D0H4S114	DNA segment, human D4S114	27528	-2.56	0.0024
Oaf	OAF homolog (Drosophila)	102644	-2.51	0.0251
Lmnb2	lamin B2	16907	-2.49	0.0041
Igf1	insulin-like growth factor 1	16000	-2.39	0.0028
Mmp3	matrix metallopeptidase 3	17392	-2.38	0.0041
Tcf19	transcription factor 19	106795	-2.38	0.0008
Gtf2e1	general transcription factor II E, polypeptide 1 (alpha subunit)	74197	-2.36	0.0147
Plekha6	pleckstrin homology domain containing, family A member 6	240753	-2.34	0.0024
Col14a1	procollagen, type XIV, alpha 1	12818	-2.29	0.0008
Plekha4	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4	69217	-2.27	0.003
Mcm10	minichromosome maintenance deficient 10 (S. cerevisiae)	70024	-2.21	0.0027
E130112L23Rik	RIKEN cDNA E130112L23 gene	268739	-2.21	0.039
Slc38a2	solute carrier family 38, member 2	67760	-2.15	0.0211
AU041783	expressed sequence AU041783	226250	-2.15	0.0012
Txk	TXK tyrosine kinase	22165	-2.14	0.005
Rrm2	ribonucleotide reductase M2	20135	-2.12	0.0059
Rdh11	retinol dehydrogenase 11	17252	-2.11	0.0045
2210008N01Rik	RIKEN cDNA 2210008N01 gene	76579	-2.11	0.0301
Mad1l1	mitotic arrest deficient 1-like 1	17120	-2.11	0.0253
E2f7	E2F transcription factor 7	52679	-2.11	0.0213
2310022B05Rik	RIKEN cDNA 2310022B05 gene	69551	-2.11	0.0369
3110032G18Rik	RIKEN cDNA 3110032G18 gene	73121	-2.1	0.0038
Mest	mesoderm specific transcript	17294	-2.1	0.0012
Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2	56363	-2.1	0.043
Sh3kbp1	SH3-domain kinase binding protein 1	58194	-2.1	0.0432
Atp13a4	ATPase type 13A4	224079	-2.1	0.0403
Sesn3	sestrin 3	75747	-2.09	0.0351
Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	76123	-2.09	0.0039
Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	27416	-2.08	0.0046
Brca2	breast cancer 2	12190	-2.08	0.0049
