Gene Title	Gene Symbol	logFc	T	P.Value	adj.P.Val	B
MAD2 mitotic arrest deficient-like 2 (yeast)	MAD2L2	-0.417	-5.849	0.000	0.477	1.239
olfactory receptor, family 2, subfamily A, member 7	OR2A7	0.912	5.445	0.000	0.477	0.786
tubulin tyrosine ligase-like family, member 7	TTLL7	0.669	5.378	0.000	0.477	0.707
G protein-coupled receptor 68	GPR68	-0.603	-5.179	0.000	0.477	0.471
T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	TCIRG1	-0.543	-5.099	0.000	0.477	0.373
PYD and CARD domain containing	PYCARD	-0.451	-4.993	0.000	0.477	0.243
SRY (sex determining region Y)-box 5	SOX5	0.461	4.982	0.000	0.477	0.229
thymidine phosphorylase /// outer dense fiber of sperm tails 3B	TYMP /// ODF3B	-0.654	-4.935	0.000	0.477	0.170
ribonuclease, Rnase A family, k6	RNASE6	-1.015	-4.816	0.000	0.477	0.020
Wiskott-Aldrich syndrome (eczema-thhromocytopenia)	WAS	-0.386	-4.746	0.000	0.477	-0.070
proline rich 11	PRR11	-0.499	-4.738	0.000	0.477	-0.080
acyl-CoA thioesterase 7 /// acyl-CoA thioesterase 7 pseudogene	ACOT7 /// LOC344967	-0.565	-4.705	0.000	0.477	-0.122
coactosin-like 1 (Dictyostelium)	COTL1	-0.649	-4.578	0.000	0.477	-0.288
antigen identified by monoclonal antibody Ki-67	MKI67	-0.631	-4.563	0.000	0.477	-0.308
mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	MGAT1	-0.510	-4.550	0.000	0.477	-0.325
tumor necrosis factor, alpha-induced protein 2	TNFAIP2	-0.766	-4.530	0.000	0.477	-0.351
hypothetical LOC349196	LOC349196	0.495	4.497	0.000	0.477	-0.395
tweety homolog 3 (Drosophila)	TTYH3	-0.735	-4.485	0.000	0.477	-0.411
cerebral cavernous malformation 2	CCM2	-0.377	-4.473	0.000	0.477	-0.428
serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	-1.046	-4.438	0.001	0.477	-0.474
