Average Fold Increase	Gene Symbol	Gene Title
238.9	CXCL5	chemokine (C-X-C motif) ligand 5
222.9	CCL20	chemokine (C-C motif) ligand 20
87.4	CST1	cystatin SN
64.0	IL1A	interleukin 1, alpha
64.0	IL1B	interleukin 1, beta
61.8	CXCL3	chemokine (C-X-C motif) ligand 3
61.8	SERPINB3	serine (or cysteine) proteinase inhibitor, clade B, member 3
53.8	MYO1D	myosin ID
52.0	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15
48.5	DUSP4	dual specificity phosphatase 4
43.7	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2
42.2	COL10A1	collagen, type X, alpha 1
40.8	DKK2	dickkopf homolog 2
40.8	VNN1	vanin 1
35.5	CXCL2	chemokine (C-X-C motif) ligand 2
34.3	CSF3	colony stimulating factor 3
33.1	xp33	skin-specific protein
30.9	EHF	ets homologous factor
29.9	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1
26.9	GDF15	growth differentiation factor 15
26.9	CYP3A7	cytochrome P450, family 3, subfamily A, polypeptide 7
26.0	NRG1	neuregulin 1
25.1	CCL3	chemokine (C-C motif) ligand 3
21.1	PMS2L6	postmeiotic segregation increased 2-like 6
20.4	TSGA10	testis specific, 10
20.4	SPRL1B	small proline rich-like 1B
18.4	CSF2	colony stimulating factor 2
18.4	ANGPT2	angiopoietin 2
18.4	CPE	carboxypeptidase E
18.4	QPCT	glutaminyl-peptide cyclotransferase
17.1	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, INK4B)
16.0	L1CAM	L1 cell adhesion molecule
15.5	RNF128	ring finger protein 128
14.9	SLC6A15	solute carrier family 6, member 15
14.4	HIST1H2BC	histone 1, H2bc
14.4	TIE	tyrosine kinase with immunoglobulin and epidermal growth factor homology domains
13.9	IL8	interleukin 8
12.6	SLC16A6	solute carrier family 16, member 6
12.6	CES1	carboxylesterase 1
11.7	OTUB2	OTU domain, ubiquitin aldehyde binding 2
10.9	RRAD	Ras-related associated with diabetes
10.9	PTGS2	prostaglandin-endoperoxide synthase 2
10.6	CYP3A43	cytochrome P450, family 3, subfamily A, polypeptide 43
10.6	RGS5	regulator of G-protein signalling 5
10.6	SAA1	serum amyloid A1
10.2	IL1RAPL1	interleukin 1 receptor accessory protein-like 1
10.2	MYOZ2	myozenin 2
10.2	NR4A3	nuclear receptor subfamily 4, group A, member 3
10.2	EPN2	epsin 2
10.2	SERPINA1	serine (or cysteine) proteinase inhibitor, clade A, member 1
9.8	CHST11	carbohydrate sulfotransferase 11
9.8	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
9.5	PPBP	pro-platelet basic protein
9.5	CTSS	cathepsin S
9.2	HIST1H4H	histone 1, H4h
9.2	ACPP	acid phosphatase
9.2	THBD	thrombomodulin
8.9	KYNU	kynureninase
8.9	SGCG	sarcoglycan, gamma
8.9	PDE4B	phosphodiesterase 4B
