Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
206140_at	-5	-4.7	LIM homeobox protein 2	LHX2
213730_x_at	NA	-1	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12E47)	TCF3
209153_s_at	NA	-1.3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12E47)	TCF3
221016_s_at	-1.5	NA	HMG-box transcription factor TCF-3	TCF3
204712_at	-6.6	-3.8	Wnt inhibitory factor-1	WIF-1
218502_s_at	-2	-1.6	trichorhinophalangeal syndrome I gene	TRPS1
221234_s_at	-1.1	NA	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2
212865_s_at	-1.3	-1.1	collagen, type XIV, alpha 1 (undulin)	COL14A1
202729_s_at	-0.8	-1.1	latent transforming growth factor beta binding protein 1	LTBP1
201431_s_at	-1.4	NA	dihydropyrimidinase-like 3	DSLY3
213880_at	-1.6	-2	G protein-coupled receptor 49	GPR49
209291_at	NA	-1	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4
205066_s_at	-1.6	-2.1	ectonucleotide pyrophosphatasephosphodiesterase 1	ENPP1
203184_at	-1	NA	fibrillin 2 (congenital contractural arachnodactyly)	FBN2
220048_at	P	NA	ectodysplasin 1, anhidrotic receptor	EDAR
213260_at	-1	-1.7	forkhead box C1	FOXC1
201426_s_at	-1.7	NA	vimentin	VIM
206028_s_at	-1.5	NA	c-mer proto-oncogene tyrosine kinase	MERTK
205489_at	-1	-1.5	crystallin, mu	CRYM
213436_at	-1.4	NA	cannabinoid receptor 1 (brain)	CNR1
200832_s_at	-2	NA	Scd mRNA for stearoyl-CoA desaturase	Scd
205338_s_at	-2.2	NA	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
205337_at	-2.5	-1.2	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
216512_s_at	-1.1	NA	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
204273_at	-2.8	-1.3	endothelin receptor type B	EDNRB
204121_at	-1.2	NA	growth arrest and DNA-damage-inducible, gamma	GADD45G
210365_at	-1.8	-1.5	AML1 mRNA for AML1a protein (alternatively spliced product)	AML1
209360_s_at	-2.3	-1.4	AML1 mRNA for AML1b protein (alternatively spliced product)	AML1
205255_x_at	-1.1	NA	transcription factor 7 (T-cell specific, HMG-box)	TCF7
201117_s_at	-1.9	-1.3	carboxypeptidase E precursor	CPE
209167_at	-2	NA	glycoprotein M6B	GPM6B
209168_at	-1.5	-1.3	glycoprotein M6B	GPM6B
209169_at	-1.9	NA	glycoprotein M6B	GPM6B
209170_s_at	-2.5	-1.7	glycoprotein M6B	m6b1
211535_s_at	NA	-2.5	fibroblast growth factor receptor	FGFR1
220792_at	-1.5	NA	PR domain containing 5	PRDM5
210105_s_at	-1.6	-1.8	FYN oncogene related to SRC, FGR, YES	FYN
201163_s_at	-2.2	-1.6	insulin-like growth factor binding protein 7	IGFBP7
210162_s_at	-1.1	-1.7	NF-ATc mRNA	NFATC1
204736_s_at	NA	-2.1	melanoma-associated chondroitin sulfateproteoglycan 4	CSPG4
221731_x_at	-1.5	NA	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
204620_s_at	-2	-1.4	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
203945_at	NA	-1.4	arginase, type II, nuclear gene encoding mitochondrial protein, mRNA	ARG2
209583_s_at	-2.9	-1.5	brain my033 protein mRNA	MOX2
207147_at	NA	-1.8	distal-less homeo box 2	DLX2
219935_at	-1.6	NA	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	ADAMTS5
217996_at	-1	NA	pleckstrin homology-like domain, family A, member 1	PHLDA1
203706_s_at	-1.1	-1.5	frizzled (Drosophila) homolog 7	FZD7
203817_at	NA	-1.5	guanylate cyclase 1, soluble, beta 3	GUCY1B3
206630_at	-2.1	NA	tyrosinase (oculocutaneous albinism IA)	TYR
202403_s_at	-1.3	-2	collagen, type I, alpha 2	COL1A2
206002_at	-2.1	-2.3	G protein-coupled receptor 64	GPR64
205752_s_at	-1	-1.2	glutathione S-transferase M5	GSTM5
212226_s_at	NA	-1.2	phosphatidic acid phosphatase type 2B	PPAP2B
212230_at	-1.6	-1.3	phosphatidic acid phosphatase type 2B	PPAP2B
