IMAGE Clone	GENES	HBL100	BT474	MCF7	MDA MB-134	Kato-III	Yusit-1	Function
162997	B61: Immediate Early Response Protein B61 Precursor;	0.6	2	1.6	0.8	4.8	0.1	Growth Factors and Cytokines
124554	CSF1: Macrophage Colony Stimulating Factor 1 Precursor	2.5	0	0.2	0.3	0.5	0.5	Growth Factors and Cytokines
187547	HEP BINDING EGF LIKE GF: Heparin Binding EGF-like Growth Factor Precursor	1.5	0	0.3	0.4	3.9	0.1	Growth Factors and Cytokines
155716	HGL/NDF: Heregulin-Alpha Precursor	0.4	0	0.1	0.1	0.1	0.1	Growth Factors and Cytokines
126233	IGF2: Insulin-like Growth Factor 2 Precursor	0.4	0.4	0.5	0.7	0.7	0.2	Growth Factors and Cytokines
132109	MIF: Macrophage Migration Inhibitory Factor	7.5	5.9	5.1	13.2	17.5	11.8	Growth Factors and Cytokines
187433	TGFb2: Tansforming Growth Factor Beta 2 Precursor	0.3	0.1	0.2	0	0	0	Growth Factors and Cytokines
204653	CSF1R: Macrophage Colony Stimulating Factor 1 Receptor	0.3	0.3	0.3	0.3	0.4	0	Growth Factor Receptors
154472	FGFR1: Basic Fibroblast Growth Factor Receptor 1 Precursor	1.3	0.5	0.7	109.4	0.2	0.7	Growth Factor Receptors
110387	FGFR2: Fibroblast Growth Factor Receptor 2 Precursor	0.1	0.2	0.3	0.8	238.3	0.1	Growth Factor Receptors
138797	FLT1: Vascular Endothelial Growth Factor Receptor 1	0.3	0.2	0.4	0.4	0.3	0.3	Growth Factor Receptors
230933	FLT4: Tyrosine-Protein Kinase Receptor FLT4 Precursor	0.8	0.3	0.3	0.8	0.5	0.6	Growth Factor Receptors
141115	GMCSFRb: Granulocyte Macrophage Colony Stimulating Factor Beta Chain	0.6	0.4	0.6	0.8	0.5	0.4	Growth Factor Receptors
150361	IGF1R: Insulin-like Growth Factor 1 Receptor Precursor	0.3	0	0.2	0.3	0.2	0.2	Growth Factor Receptors
195022	IL2Rg: Interleukin 2 Receptor Gamma Chain Precursor	0	0	0	0	0.6	0	Growth Factor Receptors
129059	IL7Ra: Interleukin 7 Receptor Alpha Chain Precursor	6.9	9.6	3.1	7.4	9	4.9	Growth Factor Receptors
155691	MSHR: Melanocyte Stimulating Hormone Receptor	6.6	6.4	5.1	17.8	18.3	11	Growth Factor Receptors
364750	RYK: Tyrosine-Protein Kinase RYK	0.9	0.7	0.9	0.8	1.7	0.4	Growth Factor Receptors
151501	TEK:Tyrosine-Protein Kinase Receptor TEK Precursor	0.3	0.1	0.2	0	0.2	0.1	Growth Factor Receptors
153350	TGFbR1: Human Tansforming Growth Factor Beta Superfamily Receptor Type 1	0.4	0.2	0.5	0.2	0.6	0.2	Growth Factor Receptors
112500	UFO: Tyrosine-Protein Kinase Receptor UFO Precursor	0.5	0	0.1	0	0.2	0	Growth Factor Receptors
