ID	Symbol	Name	Synonyms	Chromosome
915	CD3D	CD3d molecule, delta (CD3-TCR complex)	CD3-DELTA|T3D	11
916	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	FLJ18683|T3E|TCRE	11
917	CD3G	CD3g molecule, gamma (CD3-TCR complex)	CD3-GAMMA|FLJ17620|FLJ17664|FLJ79544|FLJ94613|MGC138597|T3G	11
919	CD247	CD247 molecule	CD3-ZETA|CD3H|CD3Q|CD3Z|T3Z|TCRZ	1
920	CD4	CD4 molecule	CD4mut	12
925	CD8A	CD8a molecule	CD8|Leu2|MAL|p32	2
926	CD8B	CD8b molecule	CD8B1|LYT3|Leu2|Ly3|MGC119115	2
5788	PTPRC	protein tyrosine phosphatase, receptor type, C	B220|CD45|CD45R|GP180|LCA|LY5|T200	1
3932	LCK	lymphocyte-specific protein tyrosine kinase	YT16|p56lck|pp58lck	1
2534	FYN	FYN oncogene related to SRC, FGR, YES	MGC45350|SLK|SYN	6
7535	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	FLJ17670|FLJ17679|SRK|STD|TZK|ZAP-70	2
3937	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	SLP-76|SLP76	5
27040	LAT	linker for activation of T cells	LAT1|pp36	16
3702	ITK	IL2-inducible T-cell kinase	EMT|LYK|MGC126257|MGC126258|PSCTK2	5
7006	TEC	tec protein tyrosine kinase	MGC126760|MGC126762|PSCTK4	4
4690	NCK1	NCK adaptor protein 1	MGC12668|NCK|NCKalpha	3
8440	NCK2	NCK adaptor protein 2	GRB4|NCKbeta	2
10451	VAV3	vav 3 guanine nucleotide exchange factor	FLJ40431	1
7409	VAV1	vav 1 guanine nucleotide exchange factor	VAV	19
7410	VAV2	vav 2 guanine nucleotide exchange factor	-	9
9402	GRAP2	GRB2-related adaptor protein 2	GADS|GRAP-2|GRB2L|GRBLG|GRID|GRPL|GrbX|Grf40|Mona|P38	22
2885	GRB2	growth factor receptor-bound protein 2	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084	17
5058	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1	MGC130000|MGC130001|PAKalpha	11
5062	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	PAK65|PAKgamma	3
5063	PAK3	p21 protein (Cdc42/Rac)-activated kinase 3	CDKN1A|MRX30|MRX47|OPHN3|PAK3beta|bPAK|hPAK3	X
10298	PAK4	p21 protein (Cdc42/Rac)-activated kinase 4	-	19
56924	PAK6	p21 protein (Cdc42/Rac)-activated kinase 6	PAK5	15
57144	PAK7	p21 protein (Cdc42/Rac)-activated kinase 7	KIAA1264|MGC26232|PAK5	20
387	RHOA	ras homolog gene family, member A	ARH12|ARHA|RHO12|RHOH12	3
998	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42Hs|G25K	1
5530	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	CALN|CALNA|CALNA1|CCN1|CNA1|PPP2B	4
5532	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	CALNA2|CALNB	10
